"","season","position","water_year","Node","Season","value","Species","Life_Stage","Hydraulic"
"1","non_critical","MC",2010,"F319","Seasonal",99.9803420483586,"Cladophora","Adult","Shear Stress"
"2","critical","MC",2010,"F319","Seasonal",99.9727668845316,"Cladophora","Adult","Shear Stress"
"3","non_critical","MC",2011,"F319","Seasonal",100,"Cladophora","Adult","Shear Stress"
"4","critical","MC",2011,"F319","Seasonal",100,"Cladophora","Adult","Shear Stress"
"5","non_critical","MC",2012,"F319","Seasonal",100,"Cladophora","Adult","Shear Stress"
"6","critical","MC",2012,"F319","Seasonal",100,"Cladophora","Adult","Shear Stress"
"7","non_critical","MC",2013,"F319","Seasonal",100,"Cladophora","Adult","Shear Stress"
"8","critical","MC",2013,"F319","Seasonal",100,"Cladophora","Adult","Shear Stress"
"9","non_critical","MC",2014,"F319","Seasonal",100,"Cladophora","Adult","Shear Stress"
"10","critical","MC",2014,"F319","Seasonal",100,"Cladophora","Adult","Shear Stress"
"11","non_critical","MC",2015,"F319","Seasonal",100,"Cladophora","Adult","Shear Stress"
"12","critical","MC",2015,"F319","Seasonal",100,"Cladophora","Adult","Shear Stress"
"13","non_critical","MC",2016,"F319","Seasonal",99.8624213836478,"Cladophora","Adult","Shear Stress"
"14","critical","MC",2016,"F319","Seasonal",100,"Cladophora","Adult","Shear Stress"
