"","season","position","water_year","Node","Season","value","Species","Life_Stage","Hydraulic"
"1","non_critical","LOB",2010,"F37B_Low","Seasonal",5.42559465303715,"Cladophora","Adult","Shear Stress"
"2","critical","LOB",2010,"F37B_Low","Seasonal",2.20588235294118,"Cladophora","Adult","Shear Stress"
"3","non_critical","LOB",2011,"F37B_Low","Seasonal",1.72143974960876,"Cladophora","Adult","Shear Stress"
"4","critical","LOB",2011,"F37B_Low","Seasonal",2.15141612200436,"Cladophora","Adult","Shear Stress"
"5","non_critical","LOB",2012,"F37B_Low","Seasonal",2.10298742138365,"Cladophora","Adult","Shear Stress"
"6","critical","LOB",2012,"F37B_Low","Seasonal",0.517429193899782,"Cladophora","Adult","Shear Stress"
"7","non_critical","LOB",2013,"F37B_Low","Seasonal",1.12028301886792,"Cladophora","Adult","Shear Stress"
"8","critical","LOB",2013,"F37B_Low","Seasonal",0.571895424836601,"Cladophora","Adult","Shear Stress"
"9","non_critical","LOB",2014,"F37B_Low","Seasonal",2.37814465408805,"Cladophora","Adult","Shear Stress"
"10","critical","LOB",2014,"F37B_Low","Seasonal",1.03485838779956,"Cladophora","Adult","Shear Stress"
"11","non_critical","LOB",2015,"F37B_Low","Seasonal",1.76056338028169,"Cladophora","Adult","Shear Stress"
"12","critical","LOB",2015,"F37B_Low","Seasonal",0.925925925925926,"Cladophora","Adult","Shear Stress"
"13","non_critical","LOB",2016,"F37B_Low","Seasonal",5.93553459119497,"Cladophora","Adult","Shear Stress"
"14","critical","LOB",2016,"F37B_Low","Seasonal",0.136165577342048,"Cladophora","Adult","Shear Stress"
"15","non_critical","MC",2010,"F37B_Low","Seasonal",44.1714173383133,"Cladophora","Adult","Shear Stress"
"16","critical","MC",2010,"F37B_Low","Seasonal",18.1372549019608,"Cladophora","Adult","Shear Stress"
"17","non_critical","MC",2011,"F37B_Low","Seasonal",23.7089201877934,"Cladophora","Adult","Shear Stress"
"18","critical","MC",2011,"F37B_Low","Seasonal",18.1100217864924,"Cladophora","Adult","Shear Stress"
"19","non_critical","MC",2012,"F37B_Low","Seasonal",33.8246855345912,"Cladophora","Adult","Shear Stress"
"20","critical","MC",2012,"F37B_Low","Seasonal",7.02614379084967,"Cladophora","Adult","Shear Stress"
"21","non_critical","MC",2013,"F37B_Low","Seasonal",18.0031446540881,"Cladophora","Adult","Shear Stress"
"22","critical","MC",2013,"F37B_Low","Seasonal",9.50435729847494,"Cladophora","Adult","Shear Stress"
"23","non_critical","MC",2014,"F37B_Low","Seasonal",26.0416666666667,"Cladophora","Adult","Shear Stress"
"24","critical","MC",2014,"F37B_Low","Seasonal",12.5272331154684,"Cladophora","Adult","Shear Stress"
"25","non_critical","MC",2015,"F37B_Low","Seasonal",24.5500782472613,"Cladophora","Adult","Shear Stress"
"26","critical","MC",2015,"F37B_Low","Seasonal",15.3050108932462,"Cladophora","Adult","Shear Stress"
"27","non_critical","MC",2016,"F37B_Low","Seasonal",45.5581761006289,"Cladophora","Adult","Shear Stress"
"28","critical","MC",2016,"F37B_Low","Seasonal",9.04139433551198,"Cladophora","Adult","Shear Stress"
"29","non_critical","ROB",2010,"F37B_Low","Seasonal",44.9773933556123,"Cladophora","Adult","Shear Stress"
"30","critical","ROB",2010,"F37B_Low","Seasonal",19.0904139433551,"Cladophora","Adult","Shear Stress"
"31","non_critical","ROB",2011,"F37B_Low","Seasonal",24.745696400626,"Cladophora","Adult","Shear Stress"
"32","critical","ROB",2011,"F37B_Low","Seasonal",18.1644880174292,"Cladophora","Adult","Shear Stress"
"33","non_critical","ROB",2012,"F37B_Low","Seasonal",34.2767295597484,"Cladophora","Adult","Shear Stress"
"34","critical","ROB",2012,"F37B_Low","Seasonal",7.05337690631808,"Cladophora","Adult","Shear Stress"
"35","non_critical","ROB",2013,"F37B_Low","Seasonal",18.4748427672956,"Cladophora","Adult","Shear Stress"
"36","critical","ROB",2013,"F37B_Low","Seasonal",9.6677559912854,"Cladophora","Adult","Shear Stress"
"37","non_critical","ROB",2014,"F37B_Low","Seasonal",26.7099056603774,"Cladophora","Adult","Shear Stress"
"38","critical","ROB",2014,"F37B_Low","Seasonal",12.6089324618736,"Cladophora","Adult","Shear Stress"
"39","non_critical","ROB",2015,"F37B_Low","Seasonal",25.3716744913928,"Cladophora","Adult","Shear Stress"
"40","critical","ROB",2015,"F37B_Low","Seasonal",15.3867102396514,"Cladophora","Adult","Shear Stress"
"41","non_critical","ROB",2016,"F37B_Low","Seasonal",45.9316037735849,"Cladophora","Adult","Shear Stress"
"42","critical","ROB",2016,"F37B_Low","Seasonal",9.0958605664488,"Cladophora","Adult","Shear Stress"
