"","season","position","water_year","Node","Probability_Threshold","value","Species","Life_Stage","Hydraulic"
"1","non_critical","LOB",2010,"F57C","Low",0,"Cladophora","Adult","Velocity"
"2","critical","LOB",2010,"F57C","Low",0,"Cladophora","Adult","Velocity"
"3","non_critical","LOB",2011,"F57C","Low",0,"Cladophora","Adult","Velocity"
"4","critical","LOB",2011,"F57C","Low",0,"Cladophora","Adult","Velocity"
"5","non_critical","LOB",2012,"F57C","Low",0,"Cladophora","Adult","Velocity"
"6","critical","LOB",2012,"F57C","Low",0,"Cladophora","Adult","Velocity"
"7","non_critical","LOB",2013,"F57C","Low",0,"Cladophora","Adult","Velocity"
"8","critical","LOB",2013,"F57C","Low",0,"Cladophora","Adult","Velocity"
"9","non_critical","LOB",2014,"F57C","Low",0,"Cladophora","Adult","Velocity"
"10","critical","LOB",2014,"F57C","Low",0,"Cladophora","Adult","Velocity"
"11","non_critical","LOB",2015,"F57C","Low",0,"Cladophora","Adult","Velocity"
"12","critical","LOB",2015,"F57C","Low",0,"Cladophora","Adult","Velocity"
"13","non_critical","LOB",2016,"F57C","Low",0,"Cladophora","Adult","Velocity"
"14","critical","LOB",2016,"F57C","Low",0,"Cladophora","Adult","Velocity"
"15","non_critical","MC",2010,"F57C","Low",8.10594816759904,"Cladophora","Adult","Velocity"
"16","critical","MC",2010,"F57C","Low",8.10594816759904,"Cladophora","Adult","Velocity"
"17","non_critical","MC",2011,"F57C","Low",1.96948998178506,"Cladophora","Adult","Velocity"
"18","critical","MC",2011,"F57C","Low",1.96948998178506,"Cladophora","Adult","Velocity"
"19","non_critical","MC",2012,"F57C","Low",2.44292237442922,"Cladophora","Adult","Velocity"
"20","critical","MC",2012,"F57C","Low",2.44292237442922,"Cladophora","Adult","Velocity"
"21","non_critical","MC",2013,"F57C","Low",1.17579908675799,"Cladophora","Adult","Velocity"
"22","critical","MC",2013,"F57C","Low",1.17579908675799,"Cladophora","Adult","Velocity"
"23","non_critical","MC",2014,"F57C","Low",2.02054794520548,"Cladophora","Adult","Velocity"
"24","critical","MC",2014,"F57C","Low",2.02054794520548,"Cladophora","Adult","Velocity"
"25","non_critical","MC",2015,"F57C","Low",1.63934426229508,"Cladophora","Adult","Velocity"
"26","critical","MC",2015,"F57C","Low",1.63934426229508,"Cladophora","Adult","Velocity"
"27","non_critical","MC",2016,"F57C","Low",4.10958904109589,"Cladophora","Adult","Velocity"
"28","critical","MC",2016,"F57C","Low",4.10958904109589,"Cladophora","Adult","Velocity"
"29","non_critical","ROB",2010,"F57C","Low",0.468089964607832,"Cladophora","Adult","Velocity"
"30","critical","ROB",2010,"F57C","Low",0.468089964607832,"Cladophora","Adult","Velocity"
"31","non_critical","ROB",2011,"F57C","Low",0.216302367941712,"Cladophora","Adult","Velocity"
"32","critical","ROB",2011,"F57C","Low",0.216302367941712,"Cladophora","Adult","Velocity"
"33","non_critical","ROB",2012,"F57C","Low",0.0570776255707763,"Cladophora","Adult","Velocity"
"34","critical","ROB",2012,"F57C","Low",0.0570776255707763,"Cladophora","Adult","Velocity"
"35","non_critical","ROB",2013,"F57C","Low",0.125570776255708,"Cladophora","Adult","Velocity"
"36","critical","ROB",2013,"F57C","Low",0.125570776255708,"Cladophora","Adult","Velocity"
"37","non_critical","ROB",2014,"F57C","Low",0.125570776255708,"Cladophora","Adult","Velocity"
"38","critical","ROB",2014,"F57C","Low",0.125570776255708,"Cladophora","Adult","Velocity"
"39","non_critical","ROB",2015,"F57C","Low",0.193533697632058,"Cladophora","Adult","Velocity"
"40","critical","ROB",2015,"F57C","Low",0.193533697632058,"Cladophora","Adult","Velocity"
"41","non_critical","ROB",2016,"F57C","Low",0.399543378995434,"Cladophora","Adult","Velocity"
"42","critical","ROB",2016,"F57C","Low",0.399543378995434,"Cladophora","Adult","Velocity"
"43","non_critical","LOB",2010,"F57C","Medium",0,"Cladophora","Adult","Velocity"
"44","critical","LOB",2010,"F57C","Medium",0,"Cladophora","Adult","Velocity"
"45","non_critical","LOB",2011,"F57C","Medium",0,"Cladophora","Adult","Velocity"
"46","critical","LOB",2011,"F57C","Medium",0,"Cladophora","Adult","Velocity"
"47","non_critical","LOB",2012,"F57C","Medium",0,"Cladophora","Adult","Velocity"
"48","critical","LOB",2012,"F57C","Medium",0,"Cladophora","Adult","Velocity"
"49","non_critical","LOB",2013,"F57C","Medium",0,"Cladophora","Adult","Velocity"
"50","critical","LOB",2013,"F57C","Medium",0,"Cladophora","Adult","Velocity"
"51","non_critical","LOB",2014,"F57C","Medium",0,"Cladophora","Adult","Velocity"
"52","critical","LOB",2014,"F57C","Medium",0,"Cladophora","Adult","Velocity"
"53","non_critical","LOB",2015,"F57C","Medium",0,"Cladophora","Adult","Velocity"
"54","critical","LOB",2015,"F57C","Medium",0,"Cladophora","Adult","Velocity"
"55","non_critical","LOB",2016,"F57C","Medium",0,"Cladophora","Adult","Velocity"
"56","critical","LOB",2016,"F57C","Medium",0,"Cladophora","Adult","Velocity"
"57","non_critical","MC",2010,"F57C","Medium",3.66480191802717,"Cladophora","Adult","Velocity"
"58","critical","MC",2010,"F57C","Medium",3.66480191802717,"Cladophora","Adult","Velocity"
