"","V1","V2","V3","Type","Species","Life_Stage","Hydraulic","Node"
"1",11106.7988921787,14165.2534257346,12342.6447491562,"Q_limit","Cladophora","Adult","Depth","GLEN"
"2",NA,NA,NA,"Q_limit","Cladophora","Adult","Depth","GLEN"
"3",NA,NA,NA,"Q_limit","Cladophora","Adult","Depth","GLEN"
"4",NA,NA,NA,"Q_limit","Cladophora","Adult","Depth","GLEN"
"5",3984.72665030791,5941.46036236797,4758.85156316137,"Q_limit","Cladophora","Adult","Depth","GLEN"
"6",NA,NA,NA,"Q_limit","Cladophora","Adult","Depth","GLEN"
"7",NA,NA,NA,"Q_limit","Cladophora","Adult","Depth","GLEN"
"8",NA,NA,NA,"Q_limit","Cladophora","Adult","Depth","GLEN"
"9",774.108189194115,1787.66687427192,1149.34930253888,"Q_limit","Cladophora","Adult","Depth","GLEN"
"10",NA,NA,NA,"Q_limit","Cladophora","Adult","Depth","GLEN"
"11",NA,NA,NA,"Q_limit","Cladophora","Adult","Depth","GLEN"
"12",NA,NA,NA,"Q_limit","Cladophora","Adult","Depth","GLEN"
"13",318.165648957059,318.165472714897,318.165368696563,"Hydraulic_limit","Cladophora","Adult","Depth","GLEN"
"14",NA,NA,NA,"Hydraulic_limit","Cladophora","Adult","Depth","GLEN"
"15",NA,NA,NA,"Hydraulic_limit","Cladophora","Adult","Depth","GLEN"
"16",NA,NA,NA,"Hydraulic_limit","Cladophora","Adult","Depth","GLEN"
"17",186.733364386088,186.733418717019,186.733365565163,"Hydraulic_limit","Cladophora","Adult","Depth","GLEN"
"18",NA,NA,NA,"Hydraulic_limit","Cladophora","Adult","Depth","GLEN"
"19",NA,NA,NA,"Hydraulic_limit","Cladophora","Adult","Depth","GLEN"
"20",NA,NA,NA,"Hydraulic_limit","Cladophora","Adult","Depth","GLEN"
"21",80.6024072537313,80.6024159980123,80.6024109995234,"Hydraulic_limit","Cladophora","Adult","Depth","GLEN"
"22",NA,NA,NA,"Hydraulic_limit","Cladophora","Adult","Depth","GLEN"
"23",NA,NA,NA,"Hydraulic_limit","Cladophora","Adult","Depth","GLEN"
"24",NA,NA,NA,"Hydraulic_limit","Cladophora","Adult","Depth","GLEN"
