"","LOB","MC","ROB","Species","Life_Stage","Hydraulic","Node"
"1",68.6949376812095,189.806456862375,138.723057525584,"Cladophora","Adult","Velocity","GLEN"
"2",NA,300.002857210836,NA,"Cladophora","Adult","Velocity","GLEN"
"3",NA,992.354271927954,NA,"Cladophora","Adult","Velocity","GLEN"
"4",NA,NA,NA,"Cladophora","Adult","Velocity","GLEN"
"5",185.026597921822,1886.90798288322,277.1420594796,"Cladophora","Adult","Velocity","GLEN"
"6",NA,NA,NA,"Cladophora","Adult","Velocity","GLEN"
"7",NA,NA,NA,"Cladophora","Adult","Velocity","GLEN"
"8",NA,NA,NA,"Cladophora","Adult","Velocity","GLEN"
"9",386.068327884119,3039.30904787543,468.076411277346,"Cladophora","Adult","Velocity","GLEN"
"10",NA,NA,NA,"Cladophora","Adult","Velocity","GLEN"
"11",NA,NA,NA,"Cladophora","Adult","Velocity","GLEN"
"12",NA,NA,NA,"Cladophora","Adult","Velocity","GLEN"
