"","season","position","water_year","Node","Probability_Threshold","value","Species","Life_Stage","Hydraulic"
"1","critical","LOB",2010,"LA202","Low",0.114168284050691,"Cladophora","Adult","Depth"
"2","critical","LOB",2011,"LA202","Low",0.0341530054644809,"Cladophora","Adult","Depth"
"3","critical","LOB",2012,"LA202","Low",0,"Cladophora","Adult","Depth"
"4","critical","LOB",2013,"LA202","Low",0.0570776255707763,"Cladophora","Adult","Depth"
"5","critical","LOB",2014,"LA202","Low",0.0342465753424658,"Cladophora","Adult","Depth"
"6","critical","LOB",2015,"LA202","Low",0.0341530054644809,"Cladophora","Adult","Depth"
"7","critical","LOB",2016,"LA202","Low",0.136986301369863,"Cladophora","Adult","Depth"
"8","critical","MC",2010,"LA202","Low",99.9200822011645,"Cladophora","Adult","Depth"
"9","critical","MC",2011,"LA202","Low",99.9886156648452,"Cladophora","Adult","Depth"
"10","critical","MC",2012,"LA202","Low",100,"Cladophora","Adult","Depth"
"11","critical","MC",2013,"LA202","Low",99.9543378995434,"Cladophora","Adult","Depth"
"12","critical","MC",2014,"LA202","Low",99.9885844748858,"Cladophora","Adult","Depth"
"13","critical","MC",2015,"LA202","Low",99.8861566484517,"Cladophora","Adult","Depth"
"14","critical","MC",2016,"LA202","Low",99.8972602739726,"Cladophora","Adult","Depth"
"15","critical","ROB",2010,"LA202","Low",0.114168284050691,"Cladophora","Adult","Depth"
"16","critical","ROB",2011,"LA202","Low",0.0341530054644809,"Cladophora","Adult","Depth"
"17","critical","ROB",2012,"LA202","Low",0,"Cladophora","Adult","Depth"
"18","critical","ROB",2013,"LA202","Low",0.0570776255707763,"Cladophora","Adult","Depth"
"19","critical","ROB",2014,"LA202","Low",0.0342465753424658,"Cladophora","Adult","Depth"
"20","critical","ROB",2015,"LA202","Low",0.0341530054644809,"Cladophora","Adult","Depth"
"21","critical","ROB",2016,"LA202","Low",0.148401826484018,"Cladophora","Adult","Depth"
"22","critical","LOB",2010,"LA202","Medium",0.102751455645622,"Cladophora","Adult","Depth"
"23","critical","LOB",2011,"LA202","Medium",0.0227686703096539,"Cladophora","Adult","Depth"
"24","critical","LOB",2012,"LA202","Medium",0,"Cladophora","Adult","Depth"
"25","critical","LOB",2013,"LA202","Medium",0.0570776255707763,"Cladophora","Adult","Depth"
"26","critical","LOB",2014,"LA202","Medium",0.0342465753424658,"Cladophora","Adult","Depth"
"27","critical","LOB",2015,"LA202","Medium",0.0341530054644809,"Cladophora","Adult","Depth"
"28","critical","LOB",2016,"LA202","Medium",0.114155251141553,"Cladophora","Adult","Depth"
"29","critical","MC",2010,"LA202","Medium",99.7488297750885,"Cladophora","Adult","Depth"
"30","critical","MC",2011,"LA202","Medium",99.8406193078324,"Cladophora","Adult","Depth"
"31","critical","MC",2012,"LA202","Medium",99.9657534246575,"Cladophora","Adult","Depth"
"32","critical","MC",2013,"LA202","Medium",99.9086757990868,"Cladophora","Adult","Depth"
"33","critical","MC",2014,"LA202","Medium",99.9086757990868,"Cladophora","Adult","Depth"
"34","critical","MC",2015,"LA202","Medium",99.7495446265938,"Cladophora","Adult","Depth"
"35","critical","MC",2016,"LA202","Medium",99.6689497716895,"Cladophora","Adult","Depth"
"36","critical","ROB",2010,"LA202","Medium",0.102751455645622,"Cladophora","Adult","Depth"
"37","critical","ROB",2011,"LA202","Medium",0.0227686703096539,"Cladophora","Adult","Depth"
"38","critical","ROB",2012,"LA202","Medium",0,"Cladophora","Adult","Depth"
"39","critical","ROB",2013,"LA202","Medium",0.0570776255707763,"Cladophora","Adult","Depth"
"40","critical","ROB",2014,"LA202","Medium",0.0342465753424658,"Cladophora","Adult","Depth"
"41","critical","ROB",2015,"LA202","Medium",0.0341530054644809,"Cladophora","Adult","Depth"
"42","critical","ROB",2016,"LA202","Medium",0.114155251141553,"Cladophora","Adult","Depth"
"43","critical","LOB",2010,"LA202","High",0.0685009704304144,"Cladophora","Adult","Depth"
"44","critical","LOB",2011,"LA202","High",0.0227686703096539,"Cladophora","Adult","Depth"
"45","critical","LOB",2012,"LA202","High",0,"Cladophora","Adult","Depth"
"46","critical","LOB",2013,"LA202","High",0.045662100456621,"Cladophora","Adult","Depth"
"47","critical","LOB",2014,"LA202","High",0.0342465753424658,"Cladophora","Adult","Depth"
"48","critical","LOB",2015,"LA202","High",0.0227686703096539,"Cladophora","Adult","Depth"
"49","critical","LOB",2016,"LA202","High",0.045662100456621,"Cladophora","Adult","Depth"
"50","critical","MC",2010,"LA202","High",97.853636259847,"Cladophora","Adult","Depth"
"51","critical","MC",2011,"LA202","High",99.1689435336976,"Cladophora","Adult","Depth"
"52","critical","MC",2012,"LA202","High",99.2694063926941,"Cladophora","Adult","Depth"
"53","critical","MC",2013,"LA202","High",99.6118721461187,"Cladophora","Adult","Depth"
"54","critical","MC",2014,"LA202","High",99.2694063926941,"Cladophora","Adult","Depth"
"55","critical","MC",2015,"LA202","High",99.3852459016393,"Cladophora","Adult","Depth"
"56","critical","MC",2016,"LA202","High",98.3447488584475,"Cladophora","Adult","Depth"
"57","critical","ROB",2010,"LA202","High",0.0685009704304144,"Cladophora","Adult","Depth"
"58","critical","ROB",2011,"LA202","High",0.0227686703096539,"Cladophora","Adult","Depth"
"59","critical","ROB",2012,"LA202","High",0,"Cladophora","Adult","Depth"
"60","critical","ROB",2013,"LA202","High",0.0342465753424658,"Cladophora","Adult","Depth"
"61","critical","ROB",2014,"LA202","High",0.0342465753424658,"Cladophora","Adult","Depth"
"62","critical","ROB",2015,"LA202","High",0.0227686703096539,"Cladophora","Adult","Depth"
"63","critical","ROB",2016,"LA202","High",0.0570776255707763,"Cladophora","Adult","Depth"
"64","critical","LOB",2010,"LA202","Low.Seasonal",0.114168284050691,"Cladophora","Adult","Depth"
"65","critical","LOB",2011,"LA202","Low.Seasonal",0.0341530054644809,"Cladophora","Adult","Depth"
"66","critical","LOB",2012,"LA202","Low.Seasonal",0,"Cladophora","Adult","Depth"
"67","critical","LOB",2013,"LA202","Low.Seasonal",0.0570776255707763,"Cladophora","Adult","Depth"
"68","critical","LOB",2014,"LA202","Low.Seasonal",0.0342465753424658,"Cladophora","Adult","Depth"
"69","critical","LOB",2015,"LA202","Low.Seasonal",0.0341530054644809,"Cladophora","Adult","Depth"
"70","critical","LOB",2016,"LA202","Low.Seasonal",0.136986301369863,"Cladophora","Adult","Depth"
"71","critical","MC",2010,"LA202","Low.Seasonal",99.9200822011645,"Cladophora","Adult","Depth"
"72","critical","MC",2011,"LA202","Low.Seasonal",99.9886156648452,"Cladophora","Adult","Depth"
"73","critical","MC",2012,"LA202","Low.Seasonal",100,"Cladophora","Adult","Depth"
"74","critical","MC",2013,"LA202","Low.Seasonal",99.9543378995434,"Cladophora","Adult","Depth"
"75","critical","MC",2014,"LA202","Low.Seasonal",99.9885844748858,"Cladophora","Adult","Depth"
"76","critical","MC",2015,"LA202","Low.Seasonal",99.8861566484517,"Cladophora","Adult","Depth"
"77","critical","MC",2016,"LA202","Low.Seasonal",99.8972602739726,"Cladophora","Adult","Depth"
"78","critical","ROB",2010,"LA202","Low.Seasonal",0.114168284050691,"Cladophora","Adult","Depth"
"79","critical","ROB",2011,"LA202","Low.Seasonal",0.0341530054644809,"Cladophora","Adult","Depth"
"80","critical","ROB",2012,"LA202","Low.Seasonal",0,"Cladophora","Adult","Depth"
"81","critical","ROB",2013,"LA202","Low.Seasonal",0.0570776255707763,"Cladophora","Adult","Depth"
"82","critical","ROB",2014,"LA202","Low.Seasonal",0.0342465753424658,"Cladophora","Adult","Depth"
"83","critical","ROB",2015,"LA202","Low.Seasonal",0.0341530054644809,"Cladophora","Adult","Depth"
"84","critical","ROB",2016,"LA202","Low.Seasonal",0.148401826484018,"Cladophora","Adult","Depth"
"85","critical","LOB",2010,"LA202","Medium.Seasonal",0.102751455645622,"Cladophora","Adult","Depth"
"86","critical","LOB",2011,"LA202","Medium.Seasonal",0.0227686703096539,"Cladophora","Adult","Depth"
"87","critical","LOB",2012,"LA202","Medium.Seasonal",0,"Cladophora","Adult","Depth"
"88","critical","LOB",2013,"LA202","Medium.Seasonal",0.0570776255707763,"Cladophora","Adult","Depth"
"89","critical","LOB",2014,"LA202","Medium.Seasonal",0.0342465753424658,"Cladophora","Adult","Depth"
"90","critical","LOB",2015,"LA202","Medium.Seasonal",0.0341530054644809,"Cladophora","Adult","Depth"
"91","critical","LOB",2016,"LA202","Medium.Seasonal",0.114155251141553,"Cladophora","Adult","Depth"
"92","critical","MC",2010,"LA202","Medium.Seasonal",99.7488297750885,"Cladophora","Adult","Depth"
"93","critical","MC",2011,"LA202","Medium.Seasonal",99.8406193078324,"Cladophora","Adult","Depth"
"94","critical","MC",2012,"LA202","Medium.Seasonal",99.9657534246575,"Cladophora","Adult","Depth"
"95","critical","MC",2013,"LA202","Medium.Seasonal",99.9086757990868,"Cladophora","Adult","Depth"
"96","critical","MC",2014,"LA202","Medium.Seasonal",99.9086757990868,"Cladophora","Adult","Depth"
"97","critical","MC",2015,"LA202","Medium.Seasonal",99.7495446265938,"Cladophora","Adult","Depth"
"98","critical","MC",2016,"LA202","Medium.Seasonal",99.6689497716895,"Cladophora","Adult","Depth"
"99","critical","ROB",2010,"LA202","Medium.Seasonal",0.102751455645622,"Cladophora","Adult","Depth"
"100","critical","ROB",2011,"LA202","Medium.Seasonal",0.0227686703096539,"Cladophora","Adult","Depth"
"101","critical","ROB",2012,"LA202","Medium.Seasonal",0,"Cladophora","Adult","Depth"
"102","critical","ROB",2013,"LA202","Medium.Seasonal",0.0570776255707763,"Cladophora","Adult","Depth"
"103","critical","ROB",2014,"LA202","Medium.Seasonal",0.0342465753424658,"Cladophora","Adult","Depth"
"104","critical","ROB",2015,"LA202","Medium.Seasonal",0.0341530054644809,"Cladophora","Adult","Depth"
"105","critical","ROB",2016,"LA202","Medium.Seasonal",0.114155251141553,"Cladophora","Adult","Depth"
"106","critical","LOB",2010,"LA202","High.Seasonal",0.0685009704304144,"Cladophora","Adult","Depth"
"107","critical","LOB",2011,"LA202","High.Seasonal",0.0227686703096539,"Cladophora","Adult","Depth"
"108","critical","LOB",2012,"LA202","High.Seasonal",0,"Cladophora","Adult","Depth"
"109","critical","LOB",2013,"LA202","High.Seasonal",0.045662100456621,"Cladophora","Adult","Depth"
"110","critical","LOB",2014,"LA202","High.Seasonal",0.0342465753424658,"Cladophora","Adult","Depth"
"111","critical","LOB",2015,"LA202","High.Seasonal",0.0227686703096539,"Cladophora","Adult","Depth"
"112","critical","LOB",2016,"LA202","High.Seasonal",0.045662100456621,"Cladophora","Adult","Depth"
"113","critical","MC",2010,"LA202","High.Seasonal",97.853636259847,"Cladophora","Adult","Depth"
"114","critical","MC",2011,"LA202","High.Seasonal",99.1689435336976,"Cladophora","Adult","Depth"
"115","critical","MC",2012,"LA202","High.Seasonal",99.2694063926941,"Cladophora","Adult","Depth"
"116","critical","MC",2013,"LA202","High.Seasonal",99.6118721461187,"Cladophora","Adult","Depth"
"117","critical","MC",2014,"LA202","High.Seasonal",99.2694063926941,"Cladophora","Adult","Depth"
"118","critical","MC",2015,"LA202","High.Seasonal",99.3852459016393,"Cladophora","Adult","Depth"
"119","critical","MC",2016,"LA202","High.Seasonal",98.3447488584475,"Cladophora","Adult","Depth"
"120","critical","ROB",2010,"LA202","High.Seasonal",0.0685009704304144,"Cladophora","Adult","Depth"
"121","critical","ROB",2011,"LA202","High.Seasonal",0.0227686703096539,"Cladophora","Adult","Depth"
"122","critical","ROB",2012,"LA202","High.Seasonal",0,"Cladophora","Adult","Depth"
"123","critical","ROB",2013,"LA202","High.Seasonal",0.0342465753424658,"Cladophora","Adult","Depth"
"124","critical","ROB",2014,"LA202","High.Seasonal",0.0342465753424658,"Cladophora","Adult","Depth"
"125","critical","ROB",2015,"LA202","High.Seasonal",0.0227686703096539,"Cladophora","Adult","Depth"
"126","critical","ROB",2016,"LA202","High.Seasonal",0.0570776255707763,"Cladophora","Adult","Depth"
