"","LOB","MC","ROB","Species","Life_Stage","Hydraulic","Node"
"1",9883.47865900755,7.15524262594044,15607.0295201045,"Cladophora","Adult","Velocity","LA20_2"
"2",NA,NA,NA,"Cladophora","Adult","Velocity","LA20_2"
"3",NA,NA,NA,"Cladophora","Adult","Velocity","LA20_2"
"4",NA,NA,NA,"Cladophora","Adult","Velocity","LA20_2"
"5",10723.0202608352,15.4510045978944,17259.2025240176,"Cladophora","Adult","Velocity","LA20_2"
"6",NA,NA,NA,"Cladophora","Adult","Velocity","LA20_2"
"7",NA,NA,NA,"Cladophora","Adult","Velocity","LA20_2"
"8",NA,NA,NA,"Cladophora","Adult","Velocity","LA20_2"
"9",11659.9329417429,28.3887739032484,19530.4050250614,"Cladophora","Adult","Velocity","LA20_2"
"10",NA,NA,NA,"Cladophora","Adult","Velocity","LA20_2"
"11",NA,NA,NA,"Cladophora","Adult","Velocity","LA20_2"
"12",NA,NA,NA,"Cladophora","Adult","Velocity","LA20_2"
