"","LOB","MC","ROB","Species","Life_Stage","Hydraulic","Node"
"1",40410.47043261,30820.9952025995,40293.9911683839,"Cladophora","Adult","Depth","LA8"
"2",NA,NA,NA,"Cladophora","Adult","Depth","LA8"
"3",NA,NA,NA,"Cladophora","Adult","Depth","LA8"
"4",NA,NA,NA,"Cladophora","Adult","Depth","LA8"
"5",17225.8662071674,11973.4547670322,17145.6302685571,"Cladophora","Adult","Depth","LA8"
"6",NA,NA,NA,"Cladophora","Adult","Depth","LA8"
"7",NA,NA,NA,"Cladophora","Adult","Depth","LA8"
"8",NA,NA,NA,"Cladophora","Adult","Depth","LA8"
"9",4615.2697405032,2234.41515552497,4584.81040232325,"Cladophora","Adult","Depth","LA8"
"10",NA,NA,NA,"Cladophora","Adult","Depth","LA8"
"11",NA,NA,NA,"Cladophora","Adult","Depth","LA8"
"12",NA,NA,NA,"Cladophora","Adult","Depth","LA8"
