"","year","season","position","water_year","Probability_Threshold","value"
"1",2010,"non_critical","MC",2010,"Low",100
"2",2011,"non_critical","MC",2010,"Low",100
"3",2011,"critical","MC",2010,"Low",100
"4",2011,"non_critical","MC",2011,"Low",99.9544626593807
"5",2012,"non_critical","MC",2011,"Low",99.9544626593807
"6",2012,"critical","MC",2011,"Low",99.9544626593807
"7",2012,"non_critical","MC",2012,"Low",99.5547945205479
"8",2013,"non_critical","MC",2012,"Low",99.5547945205479
"9",2013,"critical","MC",2012,"Low",99.5547945205479
"10",2013,"non_critical","MC",2013,"Low",87.5913242009132
"11",2014,"non_critical","MC",2013,"Low",87.5913242009132
"12",2014,"critical","MC",2013,"Low",87.5913242009132
"13",2014,"non_critical","MC",2014,"Low",97.0319634703196
"14",2015,"non_critical","MC",2014,"Low",97.0319634703196
"15",2015,"critical","MC",2014,"Low",97.0319634703196
"16",2015,"non_critical","MC",2015,"Low",97.233606557377
"17",2016,"non_critical","MC",2015,"Low",97.233606557377
"18",2016,"critical","MC",2015,"Low",97.233606557377
"19",2016,"non_critical","MC",2016,"Low",98.675799086758
"20",2017,"non_critical","MC",2016,"Low",98.675799086758
"21",2017,"critical","MC",2016,"Low",98.675799086758
"22",2010,"non_critical","MC",2010,"Medium",22.5025687863911
"23",2011,"non_critical","MC",2010,"Medium",22.5025687863911
"24",2011,"critical","MC",2010,"Medium",22.5025687863911
"25",2011,"non_critical","MC",2011,"Medium",10.0979052823315
"26",2012,"non_critical","MC",2011,"Medium",10.0979052823315
"27",2012,"critical","MC",2011,"Medium",10.0979052823315
"28",2012,"non_critical","MC",2012,"Medium",12.3173515981735
"29",2013,"non_critical","MC",2012,"Medium",12.3173515981735
"30",2013,"critical","MC",2012,"Medium",12.3173515981735
"31",2013,"non_critical","MC",2013,"Medium",3.39041095890411
"32",2014,"non_critical","MC",2013,"Medium",3.39041095890411
"33",2014,"critical","MC",2013,"Medium",3.39041095890411
"34",2014,"non_critical","MC",2014,"Medium",6.57534246575342
"35",2015,"non_critical","MC",2014,"Medium",6.57534246575342
"36",2015,"critical","MC",2014,"Medium",6.57534246575342
"37",2015,"non_critical","MC",2015,"Medium",6.28415300546448
"38",2016,"non_critical","MC",2015,"Medium",6.28415300546448
"39",2016,"critical","MC",2015,"Medium",6.28415300546448
"40",2016,"non_critical","MC",2016,"Medium",14.0981735159817
"41",2017,"non_critical","MC",2016,"Medium",14.0981735159817
"42",2017,"critical","MC",2016,"Medium",14.0981735159817
"43",2010,"non_critical","MC",2010,"High",11.9762529969175
"44",2011,"non_critical","MC",2010,"High",11.9762529969175
"45",2011,"critical","MC",2010,"High",11.9762529969175
