"","month","water_year","position","days_per_month_low","days_per_month_medium","days_per_month_high"
"1",1,2010,"MC",0,0,25
"2",1,2011,"MC",0,0,28
"3",1,2012,"MC",0,0,23
"4",1,2013,"MC",0,0,30
"5",1,2014,"MC",0,1,25
"6",1,2015,"MC",0,1,24
"7",1,2016,"MC",0,5,11
"8",2,2010,"MC",0,0,18
"9",2,2011,"MC",0,0,26
"10",2,2012,"MC",0,0,24
"11",2,2013,"MC",0,0,22
"12",2,2014,"MC",0,1,3
"13",2,2015,"MC",0,8,26
"14",2,2016,"MC",0,1,12
"15",3,2010,"MC",0,0,14
"16",3,2011,"MC",0,0,26
"17",3,2012,"MC",0,0,28
"18",3,2013,"MC",0,18,22
"19",3,2014,"MC",0,19,27
"20",3,2015,"MC",0,7,14
"21",3,2016,"MC",0,2,22
"22",4,2010,"MC",0,0,22
"23",4,2011,"MC",0,0,22
"24",4,2012,"MC",0,9,29
"25",4,2013,"MC",0,2,24
"26",4,2014,"MC",0,12,27
"27",4,2015,"MC",0,8,24
"28",4,2016,"MC",0,2,12
"29",5,2010,"MC",0,0,28
"30",5,2011,"MC",0,0,29
"31",5,2012,"MC",0,0,24
"32",5,2013,"MC",0,1,1
"33",5,2014,"MC",0,11,20
"34",5,2015,"MC",0,7,29
"35",5,2016,"MC",0,0,28
"36",6,2010,"MC",0,0,30
"37",6,2011,"MC",0,3,30
"38",6,2012,"MC",0,0,30
"39",6,2013,"MC",0,22,26
"40",6,2014,"MC",0,7,12
"41",6,2015,"MC",0,3,30
"42",6,2016,"MC",0,0,30
"43",7,2010,"MC",0,1,31
"44",7,2011,"MC",0,1,31
"45",7,2012,"MC",0,2,22
"46",7,2013,"MC",0,18,24
"47",7,2014,"MC",0,2,27
"48",7,2015,"MC",0,7,22
"49",7,2016,"MC",0,0,31
"50",8,2010,"MC",0,0,31
"51",8,2011,"MC",0,6,31
"52",8,2012,"MC",0,7,21
"53",8,2013,"MC",0,17,31
"54",8,2014,"MC",0,4,31
"55",8,2015,"MC",0,4,14
"56",8,2016,"MC",0,0,31
"57",9,2010,"MC",0,0,30
"58",9,2011,"MC",0,2,30
"59",9,2012,"MC",0,6,10
"60",9,2013,"MC",0,6,30
"61",9,2014,"MC",0,0,29
"62",9,2015,"MC",0,19,30
"63",9,2016,"MC",0,0,30
"64",10,2010,"MC",0,0,15
"65",10,2011,"MC",0,0,26
"66",10,2012,"MC",0,9,13
"67",10,2013,"MC",0,1,1
"68",10,2014,"MC",0,3,21
"69",10,2015,"MC",0,13,24
"70",10,2016,"MC",0,0,26
"71",11,2010,"MC",0,0,24
"72",11,2011,"MC",0,0,18
"73",11,2012,"MC",0,11,22
"74",11,2013,"MC",0,1,2
"75",11,2014,"MC",0,0,27
"76",11,2015,"MC",0,9,12
"77",11,2016,"MC",0,2,22
"78",12,2010,"MC",0,0,13
"79",12,2011,"MC",0,0,25
"80",12,2012,"MC",0,0,11
"81",12,2013,"MC",0,3,7
"82",12,2014,"MC",0,0,20
"83",12,2015,"MC",0,8,10
"84",12,2016,"MC",0,4,8
