"","season","position","water_year","Probability_Threshold","value","Species","Life_Stage","Hydraulic","Node"
"1","summer","ROB",2010,"Low","96.038360543441","SAS","Adult","Velocity","F300"
"2","winter","ROB",2010,"Low","96.038360543441","SAS","Adult","Velocity","F300"
"3","summer","ROB",2011,"Low","98.7249544626594","SAS","Adult","Velocity","F300"
"4","winter","ROB",2011,"Low","98.7249544626594","SAS","Adult","Velocity","F300"
"5","summer","ROB",2012,"Low","98.6643835616438","SAS","Adult","Velocity","F300"
"6","winter","ROB",2012,"Low","98.6643835616438","SAS","Adult","Velocity","F300"
"7","summer","ROB",2013,"Low","99.2694063926941","SAS","Adult","Velocity","F300"
"8","winter","ROB",2013,"Low","99.2694063926941","SAS","Adult","Velocity","F300"
"9","summer","ROB",2014,"Low","98.7557077625571","SAS","Adult","Velocity","F300"
"10","winter","ROB",2014,"Low","98.7557077625571","SAS","Adult","Velocity","F300"
"11","summer","ROB",2015,"Low","99.1575591985428","SAS","Adult","Velocity","F300"
"12","winter","ROB",2015,"Low","99.1575591985428","SAS","Adult","Velocity","F300"
"13","summer","ROB",2016,"Low","97.2488584474886","SAS","Adult","Velocity","F300"
"14","winter","ROB",2016,"Low","97.2488584474886","SAS","Adult","Velocity","F300"
"15","summer","ROB",2010,"Medium","93.058568329718","SAS","Adult","Velocity","F300"
"16","winter","ROB",2010,"Medium","93.058568329718","SAS","Adult","Velocity","F300"
"17","summer","ROB",2011,"Medium","97.4385245901639","SAS","Adult","Velocity","F300"
"18","winter","ROB",2011,"Medium","97.4385245901639","SAS","Adult","Velocity","F300"
"19","summer","ROB",2012,"Medium","98.3447488584475","SAS","Adult","Velocity","F300"
"20","winter","ROB",2012,"Medium","98.3447488584475","SAS","Adult","Velocity","F300"
"21","summer","ROB",2013,"Medium","99.1095890410959","SAS","Adult","Velocity","F300"
"22","winter","ROB",2013,"Medium","99.1095890410959","SAS","Adult","Velocity","F300"
"23","summer","ROB",2014,"Medium","98.0365296803653","SAS","Adult","Velocity","F300"
"24","winter","ROB",2014,"Medium","98.0365296803653","SAS","Adult","Velocity","F300"
"25","summer","ROB",2015,"Medium","98.1898907103825","SAS","Adult","Velocity","F300"
"26","winter","ROB",2015,"Medium","98.1898907103825","SAS","Adult","Velocity","F300"
"27","summer","ROB",2016,"Medium","96.7579908675799","SAS","Adult","Velocity","F300"
"28","winter","ROB",2016,"Medium","96.7579908675799","SAS","Adult","Velocity","F300"
