"","LOB","MC","ROB","Species","Life_Stage","Hydraulic","Node"
"1",NA,1173.2064313422,NA,"SAS","Adult","Velocity","F319"
"2",NA,NA,NA,"SAS","Adult","Velocity","F319"
"3",NA,NA,NA,"SAS","Adult","Velocity","F319"
"4",NA,NA,NA,"SAS","Adult","Velocity","F319"
"5",NA,816.897413422884,NA,"SAS","Adult","Velocity","F319"
"6",NA,NA,NA,"SAS","Adult","Velocity","F319"
"7",NA,NA,NA,"SAS","Adult","Velocity","F319"
"8",NA,NA,NA,"SAS","Adult","Velocity","F319"
"9",NA,90.37228785301,NA,"SAS","Adult","Velocity","F319"
"10",NA,574.276572752018,NA,"SAS","Adult","Velocity","F319"
"11",NA,NA,NA,"SAS","Adult","Velocity","F319"
"12",NA,NA,NA,"SAS","Adult","Velocity","F319"
