"","season","position","water_year","Probability_Threshold","value","Species","Life_Stage","Hydraulic","Node"
"1","non_critical","ROB",2010,"Low","100","SAS","Juvenile","Depth","F319"
"2","critical","ROB",2010,"Low","100","SAS","Juvenile","Depth","F319"
"3","non_critical","ROB",2011,"Low","100","SAS","Juvenile","Depth","F319"
"4","critical","ROB",2011,"Low","100","SAS","Juvenile","Depth","F319"
"5","non_critical","ROB",2012,"Low","100","SAS","Juvenile","Depth","F319"
"6","critical","ROB",2012,"Low","100","SAS","Juvenile","Depth","F319"
"7","non_critical","ROB",2013,"Low","100","SAS","Juvenile","Depth","F319"
"8","critical","ROB",2013,"Low","100","SAS","Juvenile","Depth","F319"
"9","non_critical","ROB",2014,"Low","100","SAS","Juvenile","Depth","F319"
"10","critical","ROB",2014,"Low","100","SAS","Juvenile","Depth","F319"
"11","non_critical","ROB",2015,"Low","100","SAS","Juvenile","Depth","F319"
"12","critical","ROB",2015,"Low","100","SAS","Juvenile","Depth","F319"
"13","non_critical","ROB",2016,"Low","100","SAS","Juvenile","Depth","F319"
"14","critical","ROB",2016,"Low","100","SAS","Juvenile","Depth","F319"
"15","non_critical","ROB",2010,"Medium","0","SAS","Juvenile","Depth","F319"
"16","critical","ROB",2010,"Medium","0","SAS","Juvenile","Depth","F319"
"17","non_critical","ROB",2011,"Medium","0","SAS","Juvenile","Depth","F319"
"18","critical","ROB",2011,"Medium","0","SAS","Juvenile","Depth","F319"
"19","non_critical","ROB",2012,"Medium","0","SAS","Juvenile","Depth","F319"
"20","critical","ROB",2012,"Medium","0","SAS","Juvenile","Depth","F319"
"21","non_critical","ROB",2013,"Medium","0","SAS","Juvenile","Depth","F319"
"22","critical","ROB",2013,"Medium","0","SAS","Juvenile","Depth","F319"
"23","non_critical","ROB",2014,"Medium","0","SAS","Juvenile","Depth","F319"
"24","critical","ROB",2014,"Medium","0","SAS","Juvenile","Depth","F319"
"25","non_critical","ROB",2015,"Medium","0","SAS","Juvenile","Depth","F319"
"26","critical","ROB",2015,"Medium","0","SAS","Juvenile","Depth","F319"
"27","non_critical","ROB",2016,"Medium","0","SAS","Juvenile","Depth","F319"
"28","critical","ROB",2016,"Medium","0","SAS","Juvenile","Depth","F319"
"29","non_critical","ROB",2010,"High","0","SAS","Juvenile","Depth","F319"
"30","critical","ROB",2010,"High","0","SAS","Juvenile","Depth","F319"
"31","non_critical","ROB",2011,"High","0","SAS","Juvenile","Depth","F319"
"32","critical","ROB",2011,"High","0","SAS","Juvenile","Depth","F319"
"33","non_critical","ROB",2012,"High","0","SAS","Juvenile","Depth","F319"
"34","critical","ROB",2012,"High","0","SAS","Juvenile","Depth","F319"
"35","non_critical","ROB",2013,"High","0","SAS","Juvenile","Depth","F319"
"36","critical","ROB",2013,"High","0","SAS","Juvenile","Depth","F319"
"37","non_critical","ROB",2014,"High","0","SAS","Juvenile","Depth","F319"
"38","critical","ROB",2014,"High","0","SAS","Juvenile","Depth","F319"
"39","non_critical","ROB",2015,"High","0","SAS","Juvenile","Depth","F319"
"40","critical","ROB",2015,"High","0","SAS","Juvenile","Depth","F319"
"41","non_critical","ROB",2016,"High","0","SAS","Juvenile","Depth","F319"
"42","critical","ROB",2016,"High","0","SAS","Juvenile","Depth","F319"
"43","non_critical","ROB",2010,"Low.Seasonal","100","SAS","Juvenile","Depth","F319"
"44","critical","ROB",2010,"Low.Seasonal","100","SAS","Juvenile","Depth","F319"
"45","non_critical","ROB",2011,"Low.Seasonal","100","SAS","Juvenile","Depth","F319"
"46","critical","ROB",2011,"Low.Seasonal","100","SAS","Juvenile","Depth","F319"
