"","season","position","water_year","Probability_Threshold","value","Species","Life_Stage","Hydraulic","Node"
"1","summer","ROB",2010,"Low","100","SAS","Adult","Depth","F34D"
"2","winter","ROB",2010,"Low","100","SAS","Adult","Depth","F34D"
"3","summer","ROB",2011,"Low","100","SAS","Adult","Depth","F34D"
"4","winter","ROB",2011,"Low","100","SAS","Adult","Depth","F34D"
"5","summer","ROB",2012,"Low","100","SAS","Adult","Depth","F34D"
"6","winter","ROB",2012,"Low","100","SAS","Adult","Depth","F34D"
"7","summer","ROB",2013,"Low","100","SAS","Adult","Depth","F34D"
"8","winter","ROB",2013,"Low","100","SAS","Adult","Depth","F34D"
"9","summer","ROB",2014,"Low","100","SAS","Adult","Depth","F34D"
"10","winter","ROB",2014,"Low","100","SAS","Adult","Depth","F34D"
"11","summer","ROB",2015,"Low","100","SAS","Adult","Depth","F34D"
"12","winter","ROB",2015,"Low","100","SAS","Adult","Depth","F34D"
"13","summer","ROB",2016,"Low","100","SAS","Adult","Depth","F34D"
"14","winter","ROB",2016,"Low","100","SAS","Adult","Depth","F34D"
"15","summer","ROB",2010,"Medium","0","SAS","Adult","Depth","F34D"
"16","winter","ROB",2010,"Medium","0","SAS","Adult","Depth","F34D"
"17","summer","ROB",2011,"Medium","0","SAS","Adult","Depth","F34D"
"18","winter","ROB",2011,"Medium","0","SAS","Adult","Depth","F34D"
"19","summer","ROB",2012,"Medium","0","SAS","Adult","Depth","F34D"
"20","winter","ROB",2012,"Medium","0","SAS","Adult","Depth","F34D"
"21","summer","ROB",2013,"Medium","0","SAS","Adult","Depth","F34D"
"22","winter","ROB",2013,"Medium","0","SAS","Adult","Depth","F34D"
"23","summer","ROB",2014,"Medium","0","SAS","Adult","Depth","F34D"
"24","winter","ROB",2014,"Medium","0","SAS","Adult","Depth","F34D"
"25","summer","ROB",2015,"Medium","0","SAS","Adult","Depth","F34D"
"26","winter","ROB",2015,"Medium","0","SAS","Adult","Depth","F34D"
"27","summer","ROB",2016,"Medium","0","SAS","Adult","Depth","F34D"
"28","winter","ROB",2016,"Medium","0","SAS","Adult","Depth","F34D"
"29","summer","ROB",2010,"High","0","SAS","Adult","Depth","F34D"
"30","winter","ROB",2010,"High","0","SAS","Adult","Depth","F34D"
"31","summer","ROB",2011,"High","0","SAS","Adult","Depth","F34D"
"32","winter","ROB",2011,"High","0","SAS","Adult","Depth","F34D"
"33","summer","ROB",2012,"High","0","SAS","Adult","Depth","F34D"
"34","winter","ROB",2012,"High","0","SAS","Adult","Depth","F34D"
"35","summer","ROB",2013,"High","0","SAS","Adult","Depth","F34D"
"36","winter","ROB",2013,"High","0","SAS","Adult","Depth","F34D"
"37","summer","ROB",2014,"High","0","SAS","Adult","Depth","F34D"
"38","winter","ROB",2014,"High","0","SAS","Adult","Depth","F34D"
"39","summer","ROB",2015,"High","0","SAS","Adult","Depth","F34D"
"40","winter","ROB",2015,"High","0","SAS","Adult","Depth","F34D"
"41","summer","ROB",2016,"High","0","SAS","Adult","Depth","F34D"
"42","winter","ROB",2016,"High","0","SAS","Adult","Depth","F34D"
"43","summer","ROB",2010,"Low.Seasonal","100","SAS","Adult","Depth","F34D"
"44","winter","ROB",2010,"Low.Seasonal","100","SAS","Adult","Depth","F34D"
"45","summer","ROB",2011,"Low.Seasonal","100","SAS","Adult","Depth","F34D"
"46","winter","ROB",2011,"Low.Seasonal","100","SAS","Adult","Depth","F34D"
"47","summer","ROB",2012,"Low.Seasonal","100","SAS","Adult","Depth","F34D"
"48","winter","ROB",2012,"Low.Seasonal","100","SAS","Adult","Depth","F34D"
"49","summer","ROB",2013,"Low.Seasonal","100","SAS","Adult","Depth","F34D"
"50","winter","ROB",2013,"Low.Seasonal","100","SAS","Adult","Depth","F34D"
"51","summer","ROB",2014,"Low.Seasonal","100","SAS","Adult","Depth","F34D"
"52","winter","ROB",2014,"Low.Seasonal","100","SAS","Adult","Depth","F34D"
"53","summer","ROB",2015,"Low.Seasonal","100","SAS","Adult","Depth","F34D"
"54","winter","ROB",2015,"Low.Seasonal","100","SAS","Adult","Depth","F34D"
"55","summer","ROB",2016,"Low.Seasonal","100","SAS","Adult","Depth","F34D"
"56","winter","ROB",2016,"Low.Seasonal","100","SAS","Adult","Depth","F34D"
"57","summer","ROB",2010,"Medium.Seasonal","0","SAS","Adult","Depth","F34D"
"58","winter","ROB",2010,"Medium.Seasonal","0","SAS","Adult","Depth","F34D"
"59","summer","ROB",2011,"Medium.Seasonal","0","SAS","Adult","Depth","F34D"
"60","winter","ROB",2011,"Medium.Seasonal","0","SAS","Adult","Depth","F34D"
"61","summer","ROB",2012,"Medium.Seasonal","0","SAS","Adult","Depth","F34D"
"62","winter","ROB",2012,"Medium.Seasonal","0","SAS","Adult","Depth","F34D"
"63","summer","ROB",2013,"Medium.Seasonal","0","SAS","Adult","Depth","F34D"
"64","winter","ROB",2013,"Medium.Seasonal","0","SAS","Adult","Depth","F34D"
"65","summer","ROB",2014,"Medium.Seasonal","0","SAS","Adult","Depth","F34D"
"66","winter","ROB",2014,"Medium.Seasonal","0","SAS","Adult","Depth","F34D"
"67","summer","ROB",2015,"Medium.Seasonal","0","SAS","Adult","Depth","F34D"
"68","winter","ROB",2015,"Medium.Seasonal","0","SAS","Adult","Depth","F34D"
"69","summer","ROB",2016,"Medium.Seasonal","0","SAS","Adult","Depth","F34D"
"70","winter","ROB",2016,"Medium.Seasonal","0","SAS","Adult","Depth","F34D"
"71","summer","ROB",2010,"High.Seasonal","0","SAS","Adult","Depth","F34D"
"72","winter","ROB",2010,"High.Seasonal","0","SAS","Adult","Depth","F34D"
"73","summer","ROB",2011,"High.Seasonal","0","SAS","Adult","Depth","F34D"
"74","winter","ROB",2011,"High.Seasonal","0","SAS","Adult","Depth","F34D"
"75","summer","ROB",2012,"High.Seasonal","0","SAS","Adult","Depth","F34D"
"76","winter","ROB",2012,"High.Seasonal","0","SAS","Adult","Depth","F34D"
"77","summer","ROB",2013,"High.Seasonal","0","SAS","Adult","Depth","F34D"
"78","winter","ROB",2013,"High.Seasonal","0","SAS","Adult","Depth","F34D"
"79","summer","ROB",2014,"High.Seasonal","0","SAS","Adult","Depth","F34D"
"80","winter","ROB",2014,"High.Seasonal","0","SAS","Adult","Depth","F34D"
"81","summer","ROB",2015,"High.Seasonal","0","SAS","Adult","Depth","F34D"
"82","winter","ROB",2015,"High.Seasonal","0","SAS","Adult","Depth","F34D"
"83","summer","ROB",2016,"High.Seasonal","0","SAS","Adult","Depth","F34D"
"84","winter","ROB",2016,"High.Seasonal","0","SAS","Adult","Depth","F34D"
"85","summer","ROB",2010,"Node","F34D","SAS","Adult","Depth","F34D"
"86","winter","ROB",2010,"Node","F34D","SAS","Adult","Depth","F34D"
"87","summer","ROB",2011,"Node","F34D","SAS","Adult","Depth","F34D"
"88","winter","ROB",2011,"Node","F34D","SAS","Adult","Depth","F34D"
"89","summer","ROB",2012,"Node","F34D","SAS","Adult","Depth","F34D"
