"","LOB","MC","ROB","Species","Life_Stage","Hydraulic","Node"
"1",NA,10.3261524907645,NA,"SAS","Adult","Velocity","F37B_High"
"2",NA,1868.28213500596,NA,"SAS","Adult","Velocity","F37B_High"
"3",NA,NA,NA,"SAS","Adult","Velocity","F37B_High"
"4",NA,NA,NA,"SAS","Adult","Velocity","F37B_High"
"5",NA,75.7046247202962,NA,"SAS","Adult","Velocity","F37B_High"
"6",NA,1361.47819261305,NA,"SAS","Adult","Velocity","F37B_High"
"7",NA,NA,NA,"SAS","Adult","Velocity","F37B_High"
"8",NA,NA,NA,"SAS","Adult","Velocity","F37B_High"
"9",NA,182.590678260801,NA,"SAS","Adult","Velocity","F37B_High"
"10",NA,998.832725736322,NA,"SAS","Adult","Velocity","F37B_High"
"11",NA,NA,NA,"SAS","Adult","Velocity","F37B_High"
"12",NA,NA,NA,"SAS","Adult","Velocity","F37B_High"
