"","LOB","MC","ROB"
"Low_Prob_1",7.66123008728027,7.66123008728027,7.66123008728027
"Low_Prob_2",39231.75390625,39231.75390625,39231.75390625
"Low_Prob_3",NA,NA,NA
"Low_Prob_4",NA,NA,NA
"Med_Prob_1",432.440679081328,833.558475886886,295.539311629736
"Med_Prob_2",2603.82535421741,3565.2377267447,2018.19820069109
"Med_Prob_3",NA,NA,NA
"Med_Prob_4",NA,NA,NA
"High_Prob_1",716.633868701037,1257.75924423405,504.357115501274
"High_Prob_2",2125.1589475412,3025.69891651778,1619.47607819388
"High_Prob_3",NA,NA,NA
"High_Prob_4",NA,NA,NA
