"","LOB","MC","ROB","Species","Life_Stage","Hydraulic","Node"
"1",62.577335357666,62.577335357666,62.577335357666,"SAS","Juvenile","Depth","LA2"
"2",50922.73828125,50922.73828125,50922.73828125,"SAS","Juvenile","Depth","LA2"
"3",NA,NA,NA,"SAS","Juvenile","Depth","LA2"
"4",NA,NA,NA,"SAS","Juvenile","Depth","LA2"
"5",3195.36363244743,NA,3110.16181942175,"SAS","Juvenile","Depth","LA2"
"6",9065.74634157003,NA,8833.78646550697,"SAS","Juvenile","Depth","LA2"
"7",NA,NA,NA,"SAS","Juvenile","Depth","LA2"
"8",NA,NA,NA,"SAS","Juvenile","Depth","LA2"
"9",4231.06021172345,NA,4119.01317566334,"SAS","Juvenile","Depth","LA2"
"10",8002.42935661288,NA,7795.97134713539,"SAS","Juvenile","Depth","LA2"
"11",NA,NA,NA,"SAS","Juvenile","Depth","LA2"
"12",NA,NA,NA,"SAS","Juvenile","Depth","LA2"
