"","V1","V2","V3","Type","Species","Life_Stage","Hydraulic","Node"
"1",62.577335357666,62.577335357666,62.577335357666,"Q_limit","SAS","Juvenile","Depth","LA2"
"2",50922.73828125,50922.73828125,50922.73828125,"Q_limit","SAS","Juvenile","Depth","LA2"
"3",NA,NA,NA,"Q_limit","SAS","Juvenile","Depth","LA2"
"4",NA,NA,NA,"Q_limit","SAS","Juvenile","Depth","LA2"
"5",2397.62499892679,NA,1416.37401818147,"Q_limit","SAS","Juvenile","Depth","LA2"
"6",4157.1022241076,NA,2741.82946364912,"Q_limit","SAS","Juvenile","Depth","LA2"
"7",NA,NA,NA,"Q_limit","SAS","Juvenile","Depth","LA2"
"8",NA,NA,NA,"Q_limit","SAS","Juvenile","Depth","LA2"
"9",2670.30251187638,NA,1613.8646232151,"Q_limit","SAS","Juvenile","Depth","LA2"
"10",3800.26029427575,NA,2464.58290835966,"Q_limit","SAS","Juvenile","Depth","LA2"
"11",NA,NA,NA,"Q_limit","SAS","Juvenile","Depth","LA2"
"12",NA,NA,NA,"Q_limit","SAS","Juvenile","Depth","LA2"
"13",0,134.800158174716,0,"Hydraulic_limit","SAS","Juvenile","Depth","LA2"
"14",388.994803626346,600.221203626346,415.817203626342,"Hydraulic_limit","SAS","Juvenile","Depth","LA2"
"15",NA,NA,NA,"Hydraulic_limit","SAS","Juvenile","Depth","LA2"
"16",NA,NA,NA,"Hydraulic_limit","SAS","Juvenile","Depth","LA2"
"17",19.2747519586135,NA,19.2748026775265,"Hydraulic_limit","SAS","Juvenile","Depth","LA2"
"18",53.8314652300567,NA,53.830417380858,"Hydraulic_limit","SAS","Juvenile","Depth","LA2"
"19",NA,NA,NA,"Hydraulic_limit","SAS","Juvenile","Depth","LA2"
"20",NA,NA,NA,"Hydraulic_limit","SAS","Juvenile","Depth","LA2"
"21",25.4518761958588,NA,25.4517761077243,"Hydraulic_limit","SAS","Juvenile","Depth","LA2"
"22",47.6530924994357,NA,47.6517601530932,"Hydraulic_limit","SAS","Juvenile","Depth","LA2"
"23",NA,NA,NA,"Hydraulic_limit","SAS","Juvenile","Depth","LA2"
"24",NA,NA,NA,"Hydraulic_limit","SAS","Juvenile","Depth","LA2"
