"","season","position","water_year","Probability_Threshold","value","Species","Life_Stage","Hydraulic","Node"
"1","summer","ROB",2010,"Low","93.7778285192374","SAS","Adult","Velocity","LA8"
"2","winter","ROB",2010,"Low","93.7778285192374","SAS","Adult","Velocity","LA8"
"3","summer","ROB",2011,"Low","98.1785063752277","SAS","Adult","Velocity","LA8"
"4","winter","ROB",2011,"Low","98.1785063752277","SAS","Adult","Velocity","LA8"
"5","summer","ROB",2012,"Low","97.8767123287671","SAS","Adult","Velocity","LA8"
"6","winter","ROB",2012,"Low","97.8767123287671","SAS","Adult","Velocity","LA8"
"7","summer","ROB",2013,"Low","98.9041095890411","SAS","Adult","Velocity","LA8"
"8","winter","ROB",2013,"Low","98.9041095890411","SAS","Adult","Velocity","LA8"
"9","summer","ROB",2014,"Low","98.0593607305936","SAS","Adult","Velocity","LA8"
"10","winter","ROB",2014,"Low","98.0593607305936","SAS","Adult","Velocity","LA8"
"11","summer","ROB",2015,"Low","98.4631147540984","SAS","Adult","Velocity","LA8"
"12","winter","ROB",2015,"Low","98.4631147540984","SAS","Adult","Velocity","LA8"
"13","summer","ROB",2016,"Low","96.1643835616438","SAS","Adult","Velocity","LA8"
"14","winter","ROB",2016,"Low","96.1643835616438","SAS","Adult","Velocity","LA8"
"15","summer","ROB",2010,"Medium","91.2775430985272","SAS","Adult","Velocity","LA8"
"16","winter","ROB",2010,"Medium","91.2775430985272","SAS","Adult","Velocity","LA8"
"17","summer","ROB",2011,"Medium","97.8597449908925","SAS","Adult","Velocity","LA8"
"18","winter","ROB",2011,"Medium","97.8597449908925","SAS","Adult","Velocity","LA8"
"19","summer","ROB",2012,"Medium","97.2831050228311","SAS","Adult","Velocity","LA8"
"20","winter","ROB",2012,"Medium","97.2831050228311","SAS","Adult","Velocity","LA8"
"21","summer","ROB",2013,"Medium","98.7442922374429","SAS","Adult","Velocity","LA8"
"22","winter","ROB",2013,"Medium","98.7442922374429","SAS","Adult","Velocity","LA8"
"23","summer","ROB",2014,"Medium","97.7397260273973","SAS","Adult","Velocity","LA8"
"24","winter","ROB",2014,"Medium","97.7397260273973","SAS","Adult","Velocity","LA8"
"25","summer","ROB",2015,"Medium","98.0988160291439","SAS","Adult","Velocity","LA8"
"26","winter","ROB",2015,"Medium","98.0988160291439","SAS","Adult","Velocity","LA8"
"27","summer","ROB",2016,"Medium","95.4566210045662","SAS","Adult","Velocity","LA8"
"28","winter","ROB",2016,"Medium","95.4566210045662","SAS","Adult","Velocity","LA8"
"29","summer","ROB",2010,"High","89.3709327548807","SAS","Adult","Velocity","LA8"
"30","winter","ROB",2010,"High","89.3709327548807","SAS","Adult","Velocity","LA8"
"31","summer","ROB",2011,"High","97.4954462659381","SAS","Adult","Velocity","LA8"
"32","winter","ROB",2011,"High","97.4954462659381","SAS","Adult","Velocity","LA8"
"33","summer","ROB",2012,"High","96.5296803652968","SAS","Adult","Velocity","LA8"
"34","winter","ROB",2012,"High","96.5296803652968","SAS","Adult","Velocity","LA8"
"35","summer","ROB",2013,"High","98.5844748858448","SAS","Adult","Velocity","LA8"
"36","winter","ROB",2013,"High","98.5844748858448","SAS","Adult","Velocity","LA8"
"37","summer","ROB",2014,"High","97.2716894977169","SAS","Adult","Velocity","LA8"
"38","winter","ROB",2014,"High","97.2716894977169","SAS","Adult","Velocity","LA8"
"39","summer","ROB",2015,"High","97.7003642987249","SAS","Adult","Velocity","LA8"
"40","winter","ROB",2015,"High","97.7003642987249","SAS","Adult","Velocity","LA8"
"41","summer","ROB",2016,"High","94.7374429223744","SAS","Adult","Velocity","LA8"
"42","winter","ROB",2016,"High","94.7374429223744","SAS","Adult","Velocity","LA8"
"43","summer","ROB",2010,"Low.Seasonal","98.5050962627407","SAS","Adult","Velocity","LA8"
"44","winter","ROB",2010,"Low.Seasonal","88.9732965009208","SAS","Adult","Velocity","LA8"
"45","summer","ROB",2011,"Low.Seasonal","99.7735507246377","SAS","Adult","Velocity","LA8"
"46","winter","ROB",2011,"Low.Seasonal","96.5659340659341","SAS","Adult","Velocity","LA8"
"47","summer","ROB",2012,"Low.Seasonal","99.5018115942029","SAS","Adult","Velocity","LA8"
"48","winter","ROB",2012,"Low.Seasonal","96.2246777163904","SAS","Adult","Velocity","LA8"
"49","summer","ROB",2013,"Low.Seasonal","99.9773550724638","SAS","Adult","Velocity","LA8"
"50","winter","ROB",2013,"Low.Seasonal","97.8130755064457","SAS","Adult","Velocity","LA8"
"51","summer","ROB",2014,"Low.Seasonal","99.705615942029","SAS","Adult","Velocity","LA8"
"52","winter","ROB",2014,"Low.Seasonal","96.3858195211786","SAS","Adult","Velocity","LA8"
"53","summer","ROB",2015,"Low.Seasonal","99.5471014492754","SAS","Adult","Velocity","LA8"
"54","winter","ROB",2015,"Low.Seasonal","97.3672161172161","SAS","Adult","Velocity","LA8"
"55","summer","ROB",2016,"Low.Seasonal","99.6150362318841","SAS","Adult","Velocity","LA8"
"56","winter","ROB",2016,"Low.Seasonal","92.6565377532228","SAS","Adult","Velocity","LA8"
"57","summer","ROB",2010,"Medium.Seasonal","97.8708946772367","SAS","Adult","Velocity","LA8"
"58","winter","ROB",2010,"Medium.Seasonal","84.5764272559853","SAS","Adult","Velocity","LA8"
"59","summer","ROB",2011,"Medium.Seasonal","99.7509057971015","SAS","Adult","Velocity","LA8"
"60","winter","ROB",2011,"Medium.Seasonal","95.9478021978022","SAS","Adult","Velocity","LA8"
"61","summer","ROB",2012,"Medium.Seasonal","99.4338768115942","SAS","Adult","Velocity","LA8"
"62","winter","ROB",2012,"Medium.Seasonal","95.0966850828729","SAS","Adult","Velocity","LA8"
