"","month","water_year","position","days_per_month_low","days_per_month_medium","days_per_month_high"
"1",1,2010,"MC",28,28,28
"2",1,2011,"MC",29,29,28
"3",1,2012,"MC",25,25,24
"4",1,2013,"MC",30,30,30
"5",1,2014,"MC",26,26,26
"6",1,2015,"MC",26,26,26
"7",1,2016,"MC",15,14,13
"8",2,2010,"MC",21,21,21
"9",2,2011,"MC",28,28,28
"10",2,2012,"MC",25,25,24
"11",2,2013,"MC",24,23,23
"12",2,2014,"MC",4,4,4
"13",2,2015,"MC",27,27,27
"14",2,2016,"MC",16,16,16
"15",3,2010,"MC",18,16,15
"16",3,2011,"MC",26,26,26
"17",3,2012,"MC",29,29,29
"18",3,2013,"MC",23,23,22
"19",3,2014,"MC",27,27,27
"20",3,2015,"MC",17,16,15
"21",3,2016,"MC",22,22,22
"22",4,2010,"MC",30,27,25
"23",4,2011,"MC",25,24,22
"24",4,2012,"MC",29,29,29
"25",4,2013,"MC",26,25,24
"26",4,2014,"MC",28,28,28
"27",4,2015,"MC",27,26,26
"28",4,2016,"MC",12,12,12
"29",5,2010,"MC",28,28,28
"30",5,2011,"MC",31,31,30
"31",5,2012,"MC",24,24,24
"32",5,2013,"MC",1,1,1
"33",5,2014,"MC",21,21,20
"34",5,2015,"MC",30,29,29
"35",5,2016,"MC",30,29,29
"36",6,2010,"MC",30,30,30
"37",6,2011,"MC",30,30,30
"38",6,2012,"MC",30,30,30
"39",6,2013,"MC",26,26,26
"40",6,2014,"MC",12,12,12
"41",6,2015,"MC",30,30,30
"42",6,2016,"MC",30,30,30
"43",7,2010,"MC",31,31,31
"44",7,2011,"MC",31,31,31
"45",7,2012,"MC",22,22,22
"46",7,2013,"MC",24,24,24
"47",7,2014,"MC",28,28,28
"48",7,2015,"MC",22,22,22
"49",7,2016,"MC",31,31,31
"50",8,2010,"MC",31,31,31
"51",8,2011,"MC",31,31,31
"52",8,2012,"MC",21,21,21
"53",8,2013,"MC",31,31,31
"54",8,2014,"MC",31,31,31
"55",8,2015,"MC",14,14,14
"56",8,2016,"MC",31,31,31
"57",9,2010,"MC",30,30,30
"58",9,2011,"MC",30,30,30
"59",9,2012,"MC",10,10,10
"60",9,2013,"MC",30,30,30
"61",9,2014,"MC",29,29,29
"62",9,2015,"MC",30,30,30
"63",9,2016,"MC",30,30,30
"64",10,2010,"MC",23,19,18
"65",10,2011,"MC",28,28,27
"66",10,2012,"MC",15,14,14
"67",10,2013,"MC",1,1,1
"68",10,2014,"MC",21,21,21
"69",10,2015,"MC",27,27,27
"70",10,2016,"MC",27,27,27
"71",11,2010,"MC",26,25,25
"72",11,2011,"MC",25,23,21
"73",11,2012,"MC",23,23,22
"74",11,2013,"MC",3,3,3
"75",11,2014,"MC",28,28,28
"76",11,2015,"MC",14,14,12
"77",11,2016,"MC",24,24,23
"78",12,2010,"MC",18,17,14
"79",12,2011,"MC",27,27,27
"80",12,2012,"MC",18,15,15
"81",12,2013,"MC",7,7,7
"82",12,2014,"MC",22,22,21
"83",12,2015,"MC",13,13,10
"84",12,2016,"MC",9,9,9
