"","season","position","water_year","Probability_Threshold","value"
"1","non_critical","MC",2010,"Low",94.6220598310117
"2","critical","MC",2010,"Low",94.6220598310117
"3","non_critical","MC",2011,"Low",97.6434426229508
"4","critical","MC",2011,"Low",97.6434426229508
"5","non_critical","MC",2012,"Low",96.5753424657534
"6","critical","MC",2012,"Low",96.5753424657534
"7","non_critical","MC",2013,"Low",98.6986301369863
"8","critical","MC",2013,"Low",98.6986301369863
"9","non_critical","MC",2014,"Low",97.6940639269406
"10","critical","MC",2014,"Low",97.6940639269406
"11","non_critical","MC",2015,"Low",98.0532786885246
"12","critical","MC",2015,"Low",98.0532786885246
"13","non_critical","MC",2016,"Low",94.5091324200913
"14","critical","MC",2016,"Low",94.5091324200913
"15","non_critical","LOB",2010,"Low",0.0799269239552409
"16","critical","LOB",2010,"Low",0.0799269239552409
"17","non_critical","LOB",2011,"Low",0.011384335154827
"18","critical","LOB",2011,"Low",0.011384335154827
"19","non_critical","LOB",2012,"Low",0
"20","critical","LOB",2012,"Low",0
"21","non_critical","LOB",2013,"Low",0.0570776255707763
"22","critical","LOB",2013,"Low",0.0570776255707763
"23","non_critical","LOB",2014,"Low",0.0342465753424658
"24","critical","LOB",2014,"Low",0.0342465753424658
"25","non_critical","LOB",2015,"Low",0.0227686703096539
"26","critical","LOB",2015,"Low",0.0227686703096539
"27","non_critical","LOB",2016,"Low",0.0799086757990868
"28","critical","LOB",2016,"Low",0.0799086757990868
"29","non_critical","ROB",2010,"Low",0.0114181319936058
"30","critical","ROB",2010,"Low",0.0114181319936058
"31","non_critical","ROB",2011,"Low",0.011384335154827
"32","critical","ROB",2011,"Low",0.011384335154827
"33","non_critical","ROB",2012,"Low",0
"34","critical","ROB",2012,"Low",0
"35","non_critical","ROB",2013,"Low",0.0114155251141553
"36","critical","ROB",2013,"Low",0.0114155251141553
"37","non_critical","ROB",2014,"Low",0
"38","critical","ROB",2014,"Low",0
"39","non_critical","ROB",2015,"Low",0
"40","critical","ROB",2015,"Low",0
"41","non_critical","ROB",2016,"Low",0.0684931506849315
"42","critical","ROB",2016,"Low",0.0684931506849315
"43","non_critical","MC",2010,"Medium",93.2861383877598
"44","critical","MC",2010,"Medium",93.2861383877598
"45","non_critical","MC",2011,"Medium",96.6985428051002
"46","critical","MC",2011,"Medium",96.6985428051002
"47","non_critical","MC",2012,"Medium",95.5593607305936
"48","critical","MC",2012,"Medium",95.5593607305936
"49","non_critical","MC",2013,"Medium",98.2762557077626
"50","critical","MC",2013,"Medium",98.2762557077626
"51","non_critical","MC",2014,"Medium",97.0776255707763
"52","critical","MC",2014,"Medium",97.0776255707763
"53","non_critical","MC",2015,"Medium",97.6775956284153
"54","critical","MC",2015,"Medium",97.6775956284153
"55","non_critical","MC",2016,"Medium",85.9018264840183
"56","critical","MC",2016,"Medium",85.9018264840183
"57","non_critical","LOB",2010,"Medium",0.0685087919616351
"58","critical","LOB",2010,"Medium",0.0685087919616351
"59","non_critical","LOB",2011,"Medium",0.011384335154827
"60","critical","LOB",2011,"Medium",0.011384335154827
"61","non_critical","LOB",2012,"Medium",0
"62","critical","LOB",2012,"Medium",0
"63","non_critical","LOB",2013,"Medium",0.045662100456621
"64","critical","LOB",2013,"Medium",0.045662100456621
"65","non_critical","LOB",2014,"Medium",0.0114155251141553
"66","critical","LOB",2014,"Medium",0.0114155251141553
"67","non_critical","LOB",2015,"Medium",0.0227686703096539
"68","critical","LOB",2015,"Medium",0.0227686703096539
"69","non_critical","LOB",2016,"Medium",0.0570776255707763
"70","critical","LOB",2016,"Medium",0.0570776255707763
"71","non_critical","ROB",2010,"Medium",0.0114181319936058
"72","critical","ROB",2010,"Medium",0.0114181319936058
"73","non_critical","ROB",2011,"Medium",0.011384335154827
"74","critical","ROB",2011,"Medium",0.011384335154827
"75","non_critical","ROB",2012,"Medium",0
"76","critical","ROB",2012,"Medium",0
"77","non_critical","ROB",2013,"Medium",0
"78","critical","ROB",2013,"Medium",0
"79","non_critical","ROB",2014,"Medium",0
"80","critical","ROB",2014,"Medium",0
"81","non_critical","ROB",2015,"Medium",0
"82","critical","ROB",2015,"Medium",0
"83","non_critical","ROB",2016,"Medium",0.0570776255707763
"84","critical","ROB",2016,"Medium",0.0570776255707763
"85","non_critical","MC",2010,"High",78.7965288878739
"86","critical","MC",2010,"High",78.7965288878739
"87","non_critical","MC",2011,"High",93.3743169398907
"88","critical","MC",2011,"High",93.3743169398907
"89","non_critical","MC",2012,"High",87.8767123287671
"90","critical","MC",2012,"High",87.8767123287671
"91","non_critical","MC",2013,"High",97.7168949771689
"92","critical","MC",2013,"High",97.7168949771689
"93","non_critical","MC",2014,"High",94.9086757990868
"94","critical","MC",2014,"High",94.9086757990868
"95","non_critical","MC",2015,"High",96.7440801457195
"96","critical","MC",2015,"High",96.7440801457195
