"","season","position","water_year","Probability_Threshold","value"
"1","non_critical","MC",2010,"Low",24.5233474140884
"2","critical","MC",2010,"Low",24.5233474140884
"3","non_critical","MC",2011,"Low",6.13615664845173
"4","critical","MC",2011,"Low",6.13615664845173
"5","non_critical","MC",2012,"Low",1.21004566210046
"6","critical","MC",2012,"Low",1.21004566210046
"7","non_critical","MC",2013,"Low",0.684931506849315
"8","critical","MC",2013,"Low",0.684931506849315
"9","non_critical","MC",2014,"Low",1.0958904109589
"10","critical","MC",2014,"Low",1.0958904109589
"11","non_critical","MC",2015,"Low",0.933515482695811
"12","critical","MC",2015,"Low",0.933515482695811
"13","non_critical","MC",2016,"Low",13.2077625570776
"14","critical","MC",2016,"Low",13.2077625570776
"15","non_critical","LOB",2010,"Low",44.457129809339
"16","critical","LOB",2010,"Low",44.457129809339
"17","non_critical","LOB",2011,"Low",73.4744990892532
"18","critical","LOB",2011,"Low",73.4744990892532
"19","non_critical","LOB",2012,"Low",91.8150684931507
"20","critical","LOB",2012,"Low",91.8150684931507
"21","non_critical","LOB",2013,"Low",93.8356164383562
"22","critical","LOB",2013,"Low",93.8356164383562
"23","non_critical","LOB",2014,"Low",60.5022831050228
"24","critical","LOB",2014,"Low",60.5022831050228
"25","non_critical","LOB",2015,"Low",80.0204918032787
"26","critical","LOB",2015,"Low",80.0204918032787
"27","non_critical","LOB",2016,"Low",75.5821917808219
"28","critical","LOB",2016,"Low",75.5821917808219
"29","non_critical","ROB",2010,"Low",19.6255280283137
"30","critical","ROB",2010,"Low",19.6255280283137
"31","non_critical","ROB",2011,"Low",5.98816029143898
"32","critical","ROB",2011,"Low",5.98816029143898
"33","non_critical","ROB",2012,"Low",1.11872146118721
"34","critical","ROB",2012,"Low",1.11872146118721
"35","non_critical","ROB",2013,"Low",0.650684931506849
"36","critical","ROB",2013,"Low",0.650684931506849
"37","non_critical","ROB",2014,"Low",0.947488584474886
"38","critical","ROB",2014,"Low",0.947488584474886
"39","non_critical","ROB",2015,"Low",0.876593806921676
"40","critical","ROB",2015,"Low",0.876593806921676
"41","non_critical","ROB",2016,"Low",12.865296803653
"42","critical","ROB",2016,"Low",12.865296803653
"43","non_critical","MC",2010,"Medium",3.11679415458386
"44","critical","MC",2010,"Medium",3.11679415458386
"45","non_critical","MC",2011,"Medium",1.17258652094718
"46","critical","MC",2011,"Medium",1.17258652094718
"47","non_critical","MC",2012,"Medium",0.559360730593607
"48","critical","MC",2012,"Medium",0.559360730593607
"49","non_critical","MC",2013,"Medium",0.410958904109589
"50","critical","MC",2013,"Medium",0.410958904109589
"51","non_critical","MC",2014,"Medium",0.410958904109589
"52","critical","MC",2014,"Medium",0.410958904109589
"53","non_critical","MC",2015,"Medium",0.466757741347905
"54","critical","MC",2015,"Medium",0.466757741347905
"55","non_critical","MC",2016,"Medium",1.02739726027397
"56","critical","MC",2016,"Medium",1.02739726027397
"57","non_critical","LOB",2010,"Medium",1.59835597670967
"58","critical","LOB",2010,"Medium",1.59835597670967
"59","non_critical","LOB",2011,"Medium",0.443989071038251
"60","critical","LOB",2011,"Medium",0.443989071038251
"61","non_critical","LOB",2012,"Medium",0.251141552511416
"62","critical","LOB",2012,"Medium",0.251141552511416
"63","non_critical","LOB",2013,"Medium",0.205479452054795
"64","critical","LOB",2013,"Medium",0.205479452054795
"65","non_critical","LOB",2014,"Medium",0.23972602739726
"66","critical","LOB",2014,"Medium",0.23972602739726
"67","non_critical","LOB",2015,"Medium",0.284608378870674
"68","critical","LOB",2015,"Medium",0.284608378870674
"69","non_critical","LOB",2016,"Medium",0.593607305936073
"70","critical","LOB",2016,"Medium",0.593607305936073
"71","non_critical","ROB",2010,"Medium",1.98652814248202
"72","critical","ROB",2010,"Medium",1.98652814248202
"73","non_critical","ROB",2011,"Medium",0.626138433515483
"74","critical","ROB",2011,"Medium",0.626138433515483
"75","non_critical","ROB",2012,"Medium",0.388127853881279
"76","critical","ROB",2012,"Medium",0.388127853881279
"77","non_critical","ROB",2013,"Medium",0.331050228310502
"78","critical","ROB",2013,"Medium",0.331050228310502
"79","non_critical","ROB",2014,"Medium",0.308219178082192
"80","critical","ROB",2014,"Medium",0.308219178082192
"81","non_critical","ROB",2015,"Medium",0.330145719489982
"82","critical","ROB",2015,"Medium",0.330145719489982
"83","non_critical","ROB",2016,"Medium",0.844748858447489
"84","critical","ROB",2016,"Medium",0.844748858447489
"85","non_critical","MC",2010,"High",1.26726795296267
"86","critical","MC",2010,"High",1.26726795296267
"87","non_critical","MC",2011,"High",0.500910746812386
"88","critical","MC",2011,"High",0.500910746812386
"89","non_critical","MC",2012,"High",0.296803652968037
"90","critical","MC",2012,"High",0.296803652968037
"91","non_critical","MC",2013,"High",0.251141552511416
"92","critical","MC",2013,"High",0.251141552511416
"93","non_critical","MC",2014,"High",0.23972602739726
"94","critical","MC",2014,"High",0.23972602739726
"95","non_critical","MC",2015,"High",0.193533697632058
"96","critical","MC",2015,"High",0.193533697632058
"97","non_critical","MC",2016,"High",0.399543378995434
"98","critical","MC",2016,"High",0.399543378995434
"99","non_critical","LOB",2010,"High",0.764927503139628
"100","critical","LOB",2010,"High",0.764927503139628
"101","non_critical","LOB",2011,"High",0.182149362477231
"102","critical","LOB",2011,"High",0.182149362477231
"103","non_critical","LOB",2012,"High",0.0228310502283105
"104","critical","LOB",2012,"High",0.0228310502283105
"105","non_critical","LOB",2013,"High",0.114155251141553
"106","critical","LOB",2013,"High",0.114155251141553
"107","non_critical","LOB",2014,"High",0.0799086757990868
"108","critical","LOB",2014,"High",0.0799086757990868
"109","non_critical","LOB",2015,"High",0.159380692167577
"110","critical","LOB",2015,"High",0.159380692167577
"111","non_critical","LOB",2016,"High",0.342465753424658
"112","critical","LOB",2016,"High",0.342465753424658
"113","non_critical","ROB",2010,"High",1.02751455645622
"114","critical","ROB",2010,"High",1.02751455645622
"115","non_critical","ROB",2011,"High",0.273224043715847
"116","critical","ROB",2011,"High",0.273224043715847
"117","non_critical","ROB",2012,"High",0.091324200913242
"118","critical","ROB",2012,"High",0.091324200913242
"119","non_critical","ROB",2013,"High",0.159817351598174
"120","critical","ROB",2013,"High",0.159817351598174
"121","non_critical","ROB",2014,"High",0.148401826484018
"122","critical","ROB",2014,"High",0.148401826484018
"123","non_critical","ROB",2015,"High",0.227686703096539
"124","critical","ROB",2015,"High",0.227686703096539
"125","non_critical","ROB",2016,"High",0.422374429223744
"126","critical","ROB",2016,"High",0.422374429223744
"127","non_critical","MC",2010,"Low.Seasonal",26.9117357971299
"128","critical","MC",2010,"Low.Seasonal",21.2145969498911
"129","non_critical","MC",2011,"Low.Seasonal",9.64397496087637
"130","critical","MC",2011,"Low.Seasonal",1.25272331154684
"131","non_critical","MC",2012,"Low.Seasonal",1.65094339622642
"132","critical","MC",2012,"Low.Seasonal",0.599128540305011
"133","non_critical","MC",2013,"Low.Seasonal",0.825471698113208
"134","critical","MC",2013,"Low.Seasonal",0.490196078431373
"135","non_critical","MC",2014,"Low.Seasonal",1.39544025157233
"136","critical","MC",2014,"Low.Seasonal",0.68082788671024
"137","non_critical","MC",2015,"Low.Seasonal",1.05633802816901
"138","critical","MC",2015,"Low.Seasonal",0.762527233115468
"139","non_critical","MC",2016,"Low.Seasonal",6.6627358490566
"140","critical","MC",2016,"Low.Seasonal",22.276688453159
"141","non_critical","LOB",2010,"Low.Seasonal",37.7629251032042
"142","critical","LOB",2010,"Low.Seasonal",53.7309368191721
"143","non_critical","LOB",2011,"Low.Seasonal",66.8035993740219
"144","critical","LOB",2011,"Low.Seasonal",82.7614379084967
"145","non_critical","LOB",2012,"Low.Seasonal",91.9614779874214
"146","critical","LOB",2012,"Low.Seasonal",91.6122004357298
"147","non_critical","LOB",2013,"Low.Seasonal",95.6367924528302
"148","critical","LOB",2013,"Low.Seasonal",91.3398692810458
"149","non_critical","LOB",2014,"Low.Seasonal",71.9929245283019
"150","critical","LOB",2014,"Low.Seasonal",44.5806100217865
"151","non_critical","LOB",2015,"Low.Seasonal",76.7605633802817
"152","critical","LOB",2015,"Low.Seasonal",84.5588235294118
"153","non_critical","LOB",2016,"Low.Seasonal",77.6533018867924
"154","critical","LOB",2016,"Low.Seasonal",72.7124183006536
"155","non_critical","ROB",2010,"Low.Seasonal",21.4664831924513
"156","critical","ROB",2010,"Low.Seasonal",17.0751633986928
