"","season","position","water_year","Node","Season","value","Species","Life_Stage","Hydraulic"
"1","non_critical","LOB",2010,11101250,"Seasonal",23.3929624533124,"SAS","Fry","Depth"
"2","critical","LOB",2010,11101250,"Seasonal",14.3790849673203,"SAS","Fry","Depth"
"3","non_critical","LOB",2011,11101250,"Seasonal",13.6345852895149,"SAS","Fry","Depth"
"4","critical","LOB",2011,11101250,"Seasonal",8.08823529411765,"SAS","Fry","Depth"
"5","non_critical","LOB",2012,11101250,"Seasonal",3.36084905660377,"SAS","Fry","Depth"
"6","critical","LOB",2012,11101250,"Seasonal",2.80501089324619,"SAS","Fry","Depth"
"7","non_critical","LOB",2013,11101250,"Seasonal",1.2185534591195,"SAS","Fry","Depth"
"8","critical","LOB",2013,11101250,"Seasonal",1.60675381263617,"SAS","Fry","Depth"
"9","non_critical","LOB",2014,11101250,"Seasonal",2.59433962264151,"SAS","Fry","Depth"
"10","critical","LOB",2014,11101250,"Seasonal",1.66122004357298,"SAS","Fry","Depth"
"11","non_critical","LOB",2015,11101250,"Seasonal",1.60406885758998,"SAS","Fry","Depth"
"12","critical","LOB",2015,11101250,"Seasonal",3.59477124183007,"SAS","Fry","Depth"
"13","non_critical","LOB",2016,11101250,"Seasonal",6.05345911949686,"SAS","Fry","Depth"
"14","critical","LOB",2016,11101250,"Seasonal",1.63398692810458,"SAS","Fry","Depth"
"15","non_critical","MC",2010,11101250,"Seasonal",0,"SAS","Fry","Depth"
"16","critical","MC",2010,11101250,"Seasonal",0,"SAS","Fry","Depth"
"17","non_critical","MC",2011,11101250,"Seasonal",0.0195618153364632,"SAS","Fry","Depth"
"18","critical","MC",2011,11101250,"Seasonal",0,"SAS","Fry","Depth"
"19","non_critical","MC",2012,11101250,"Seasonal",0,"SAS","Fry","Depth"
"20","critical","MC",2012,11101250,"Seasonal",0,"SAS","Fry","Depth"
"21","non_critical","MC",2013,11101250,"Seasonal",0,"SAS","Fry","Depth"
"22","critical","MC",2013,11101250,"Seasonal",0,"SAS","Fry","Depth"
"23","non_critical","MC",2014,11101250,"Seasonal",11.6155660377358,"SAS","Fry","Depth"
"24","critical","MC",2014,11101250,"Seasonal",28.0501089324619,"SAS","Fry","Depth"
"25","non_critical","MC",2015,11101250,"Seasonal",11.5414710485133,"SAS","Fry","Depth"
"26","critical","MC",2015,11101250,"Seasonal",0,"SAS","Fry","Depth"
"27","non_critical","MC",2016,11101250,"Seasonal",2.37814465408805,"SAS","Fry","Depth"
"28","critical","MC",2016,11101250,"Seasonal",0,"SAS","Fry","Depth"
"29","non_critical","ROB",2010,11101250,"Seasonal",24.5134656968744,"SAS","Fry","Depth"
"30","critical","ROB",2010,11101250,"Seasonal",13.8616557734205,"SAS","Fry","Depth"
"31","non_critical","ROB",2011,11101250,"Seasonal",13.8693270735524,"SAS","Fry","Depth"
"32","critical","ROB",2011,11101250,"Seasonal",10.0490196078431,"SAS","Fry","Depth"
"33","non_critical","ROB",2012,11101250,"Seasonal",3.79323899371069,"SAS","Fry","Depth"
"34","critical","ROB",2012,11101250,"Seasonal",3.67647058823529,"SAS","Fry","Depth"
"35","non_critical","ROB",2013,11101250,"Seasonal",1.33647798742138,"SAS","Fry","Depth"
"36","critical","ROB",2013,11101250,"Seasonal",3.32244008714597,"SAS","Fry","Depth"
"37","non_critical","ROB",2014,11101250,"Seasonal",2.61399371069182,"SAS","Fry","Depth"
"38","critical","ROB",2014,11101250,"Seasonal",1.74291938997821,"SAS","Fry","Depth"
"39","non_critical","ROB",2015,11101250,"Seasonal",1.85837245696401,"SAS","Fry","Depth"
"40","critical","ROB",2015,11101250,"Seasonal",5.88235294117647,"SAS","Fry","Depth"
"41","non_critical","ROB",2016,11101250,"Seasonal",6.32861635220126,"SAS","Fry","Depth"
"42","critical","ROB",2016,11101250,"Seasonal",1.68845315904139,"SAS","Fry","Depth"
