"","season","position","water_year","Season","value","Species","Life_Stage","Hydraulic","Node"
"1","non_critical","ROB",2010,"Seasonal","5.72046392765874","SAS","Fry","Depth","LA14"
"2","critical","ROB",2010,"Seasonal","4.33006535947712","SAS","Fry","Depth","LA14"
"3","non_critical","ROB",2011,"Seasonal","1.95618153364632","SAS","Fry","Depth","LA14"
"4","critical","ROB",2011,"Seasonal","5.82788671023965","SAS","Fry","Depth","LA14"
"5","non_critical","ROB",2012,"Seasonal","3.43946540880503","SAS","Fry","Depth","LA14"
"6","critical","ROB",2012,"Seasonal","0","SAS","Fry","Depth","LA14"
"7","non_critical","ROB",2013,"Seasonal","2.22091194968553","SAS","Fry","Depth","LA14"
"8","critical","ROB",2013,"Seasonal","7.21677559912854","SAS","Fry","Depth","LA14"
"9","non_critical","ROB",2014,"Seasonal","10.2201257861635","SAS","Fry","Depth","LA14"
"10","critical","ROB",2014,"Seasonal","9.12309368191721","SAS","Fry","Depth","LA14"
"11","non_critical","ROB",2015,"Seasonal","59.7809076682316","SAS","Fry","Depth","LA14"
"12","critical","ROB",2015,"Seasonal","44.5261437908497","SAS","Fry","Depth","LA14"
"13","non_critical","ROB",2016,"Seasonal","25.2948113207547","SAS","Fry","Depth","LA14"
"14","critical","ROB",2016,"Seasonal","27.8322440087146","SAS","Fry","Depth","LA14"
"15","non_critical","ROB",2010,"Node","LA14","SAS","Fry","Depth","LA14"
"16","critical","ROB",2010,"Node","LA14","SAS","Fry","Depth","LA14"
"17","non_critical","ROB",2011,"Node","LA14","SAS","Fry","Depth","LA14"
"18","critical","ROB",2011,"Node","LA14","SAS","Fry","Depth","LA14"
"19","non_critical","ROB",2012,"Node","LA14","SAS","Fry","Depth","LA14"
"20","critical","ROB",2012,"Node","LA14","SAS","Fry","Depth","LA14"
"21","non_critical","ROB",2013,"Node","LA14","SAS","Fry","Depth","LA14"
"22","critical","ROB",2013,"Node","LA14","SAS","Fry","Depth","LA14"
"23","non_critical","ROB",2014,"Node","LA14","SAS","Fry","Depth","LA14"
"24","critical","ROB",2014,"Node","LA14","SAS","Fry","Depth","LA14"
"25","non_critical","ROB",2015,"Node","LA14","SAS","Fry","Depth","LA14"
"26","critical","ROB",2015,"Node","LA14","SAS","Fry","Depth","LA14"
"27","non_critical","ROB",2016,"Node","LA14","SAS","Fry","Depth","LA14"
"28","critical","ROB",2016,"Node","LA14","SAS","Fry","Depth","LA14"
