"","season","position","water_year","Node","Season","value","Species","Life_Stage","Hydraulic"
"1","non_critical","LOB",2010,"11101250","Seasonal",100,"Steelhead","Migration_Prolonged","Velocity"
"2","critical","LOB",2010,"11101250","Seasonal",100,"Steelhead","Migration_Prolonged","Velocity"
"3","non_critical","LOB",2011,"11101250","Seasonal",100,"Steelhead","Migration_Prolonged","Velocity"
"4","critical","LOB",2011,"11101250","Seasonal",100,"Steelhead","Migration_Prolonged","Velocity"
"5","non_critical","LOB",2012,"11101250","Seasonal",100,"Steelhead","Migration_Prolonged","Velocity"
"6","critical","LOB",2012,"11101250","Seasonal",100,"Steelhead","Migration_Prolonged","Velocity"
"7","non_critical","LOB",2013,"11101250","Seasonal",100,"Steelhead","Migration_Prolonged","Velocity"
"8","critical","LOB",2013,"11101250","Seasonal",100,"Steelhead","Migration_Prolonged","Velocity"
"9","non_critical","LOB",2014,"11101250","Seasonal",96.8954248366013,"Steelhead","Migration_Prolonged","Velocity"
"10","critical","LOB",2014,"11101250","Seasonal",98.2704402515723,"Steelhead","Migration_Prolonged","Velocity"
"11","non_critical","LOB",2015,"11101250","Seasonal",100,"Steelhead","Migration_Prolonged","Velocity"
"12","critical","LOB",2015,"11101250","Seasonal",100,"Steelhead","Migration_Prolonged","Velocity"
"13","non_critical","LOB",2016,"11101250","Seasonal",100,"Steelhead","Migration_Prolonged","Velocity"
"14","critical","LOB",2016,"11101250","Seasonal",100,"Steelhead","Migration_Prolonged","Velocity"
"15","non_critical","MC",2010,"11101250","Seasonal",100,"Steelhead","Migration_Prolonged","Velocity"
"16","critical","MC",2010,"11101250","Seasonal",100,"Steelhead","Migration_Prolonged","Velocity"
"17","non_critical","MC",2011,"11101250","Seasonal",100,"Steelhead","Migration_Prolonged","Velocity"
"18","critical","MC",2011,"11101250","Seasonal",100,"Steelhead","Migration_Prolonged","Velocity"
"19","non_critical","MC",2012,"11101250","Seasonal",100,"Steelhead","Migration_Prolonged","Velocity"
"20","critical","MC",2012,"11101250","Seasonal",100,"Steelhead","Migration_Prolonged","Velocity"
"21","non_critical","MC",2013,"11101250","Seasonal",100,"Steelhead","Migration_Prolonged","Velocity"
"22","critical","MC",2013,"11101250","Seasonal",100,"Steelhead","Migration_Prolonged","Velocity"
"23","non_critical","MC",2014,"11101250","Seasonal",96.8954248366013,"Steelhead","Migration_Prolonged","Velocity"
"24","critical","MC",2014,"11101250","Seasonal",98.2704402515723,"Steelhead","Migration_Prolonged","Velocity"
"25","non_critical","MC",2015,"11101250","Seasonal",100,"Steelhead","Migration_Prolonged","Velocity"
"26","critical","MC",2015,"11101250","Seasonal",100,"Steelhead","Migration_Prolonged","Velocity"
"27","non_critical","MC",2016,"11101250","Seasonal",100,"Steelhead","Migration_Prolonged","Velocity"
"28","critical","MC",2016,"11101250","Seasonal",100,"Steelhead","Migration_Prolonged","Velocity"
"29","non_critical","ROB",2010,"11101250","Seasonal",100,"Steelhead","Migration_Prolonged","Velocity"
"30","critical","ROB",2010,"11101250","Seasonal",100,"Steelhead","Migration_Prolonged","Velocity"
"31","non_critical","ROB",2011,"11101250","Seasonal",100,"Steelhead","Migration_Prolonged","Velocity"
"32","critical","ROB",2011,"11101250","Seasonal",100,"Steelhead","Migration_Prolonged","Velocity"
"33","non_critical","ROB",2012,"11101250","Seasonal",100,"Steelhead","Migration_Prolonged","Velocity"
"34","critical","ROB",2012,"11101250","Seasonal",100,"Steelhead","Migration_Prolonged","Velocity"
"35","non_critical","ROB",2013,"11101250","Seasonal",100,"Steelhead","Migration_Prolonged","Velocity"
"36","critical","ROB",2013,"11101250","Seasonal",100,"Steelhead","Migration_Prolonged","Velocity"
"37","non_critical","ROB",2014,"11101250","Seasonal",96.8954248366013,"Steelhead","Migration_Prolonged","Velocity"
"38","critical","ROB",2014,"11101250","Seasonal",98.2704402515723,"Steelhead","Migration_Prolonged","Velocity"
"39","non_critical","ROB",2015,"11101250","Seasonal",100,"Steelhead","Migration_Prolonged","Velocity"
"40","critical","ROB",2015,"11101250","Seasonal",100,"Steelhead","Migration_Prolonged","Velocity"
"41","non_critical","ROB",2016,"11101250","Seasonal",100,"Steelhead","Migration_Prolonged","Velocity"
"42","critical","ROB",2016,"11101250","Seasonal",100,"Steelhead","Migration_Prolonged","Velocity"
