"","month_year","water_year","month","season","position","Node","n_days","Species","Life_Stage","Hydraulic"
"1",Jan 2010,2010,1,"critical","MC","F34D",31,"Steelhead","Smolts","Depth"
"2",Feb 2010,2010,2,"critical","MC","F34D",28,"Steelhead","Smolts","Depth"
"3",Mar 2010,2010,3,"critical","MC","F34D",31,"Steelhead","Smolts","Depth"
"4",Apr 2010,2010,4,"critical","MC","F34D",30,"Steelhead","Smolts","Depth"
"5",May 2010,2010,5,"critical","MC","F34D",31,"Steelhead","Smolts","Depth"
"6",Jun 2010,2010,6,"critical","MC","F34D",30,"Steelhead","Smolts","Depth"
"7",Jul 2010,2010,7,"critical","MC","F34D",31,"Steelhead","Smolts","Depth"
"8",Dec 2010,2010,12,"critical","MC","F34D",31,"Steelhead","Smolts","Depth"
"9",Aug 2010,2010,8,"non_critical","MC","F34D",31,"Steelhead","Smolts","Depth"
"10",Sep 2010,2010,9,"non_critical","MC","F34D",30,"Steelhead","Smolts","Depth"
"11",Oct 2010,2010,10,"non_critical","MC","F34D",30,"Steelhead","Smolts","Depth"
"12",Nov 2010,2010,11,"non_critical","MC","F34D",30,"Steelhead","Smolts","Depth"
"13",Jan 2011,2011,1,"critical","MC","F34D",31,"Steelhead","Smolts","Depth"
"14",Feb 2011,2011,2,"critical","MC","F34D",29,"Steelhead","Smolts","Depth"
"15",Mar 2011,2011,3,"critical","MC","F34D",31,"Steelhead","Smolts","Depth"
"16",Apr 2011,2011,4,"critical","MC","F34D",30,"Steelhead","Smolts","Depth"
"17",May 2011,2011,5,"critical","MC","F34D",31,"Steelhead","Smolts","Depth"
"18",Jun 2011,2011,6,"critical","MC","F34D",30,"Steelhead","Smolts","Depth"
"19",Jul 2011,2011,7,"critical","MC","F34D",31,"Steelhead","Smolts","Depth"
"20",Dec 2011,2011,12,"critical","MC","F34D",31,"Steelhead","Smolts","Depth"
"21",Aug 2011,2011,8,"non_critical","MC","F34D",31,"Steelhead","Smolts","Depth"
"22",Sep 2011,2011,9,"non_critical","MC","F34D",30,"Steelhead","Smolts","Depth"
"23",Oct 2011,2011,10,"non_critical","MC","F34D",31,"Steelhead","Smolts","Depth"
"24",Nov 2011,2011,11,"non_critical","MC","F34D",30,"Steelhead","Smolts","Depth"
