"","season","position","water_year","Node","Season","value","Species","Life_Stage","Hydraulic"
"1","non_critical","MC",2010,"F37BHigh","Seasonal",0.599291746118224,"Steelhead","Migration_Prolonged","Depth"
"2","critical","MC",2010,"F37BHigh","Seasonal",4.71698113207547,"Steelhead","Migration_Prolonged","Depth"
"3","non_critical","MC",2011,"F37BHigh","Seasonal",0.871459694989107,"Steelhead","Migration_Prolonged","Depth"
"4","critical","MC",2011,"F37BHigh","Seasonal",1.72143974960876,"Steelhead","Migration_Prolonged","Depth"
"5","non_critical","MC",2012,"F37BHigh","Seasonal",0.490196078431373,"Steelhead","Migration_Prolonged","Depth"
"6","critical","MC",2012,"F37BHigh","Seasonal",1.17924528301887,"Steelhead","Migration_Prolonged","Depth"
"7","non_critical","MC",2013,"F37BHigh","Seasonal",0.190631808278867,"Steelhead","Migration_Prolonged","Depth"
"8","critical","MC",2013,"F37BHigh","Seasonal",0.963050314465409,"Steelhead","Migration_Prolonged","Depth"
"9","non_critical","MC",2014,"F37BHigh","Seasonal",0.272331154684096,"Steelhead","Migration_Prolonged","Depth"
"10","critical","MC",2014,"F37BHigh","Seasonal",1.88679245283019,"Steelhead","Migration_Prolonged","Depth"
"11","non_critical","MC",2015,"F37BHigh","Seasonal",0.0272331154684096,"Steelhead","Migration_Prolonged","Depth"
"12","critical","MC",2015,"F37BHigh","Seasonal",1.66275430359937,"Steelhead","Migration_Prolonged","Depth"
"13","non_critical","MC",2016,"F37BHigh","Seasonal",0.68082788671024,"Steelhead","Migration_Prolonged","Depth"
"14","critical","MC",2016,"F37BHigh","Seasonal",4.04874213836478,"Steelhead","Migration_Prolonged","Depth"
