"","month_year","water_year","month","season","position","Node","n_days","Species","Life_Stage","Hydraulic"
"1",Jan 2010,2010,1,"critical","LOB","GLEN",28,"Steelhead","Migration","Depth"
"2",Feb 2010,2010,2,"critical","LOB","GLEN",25,"Steelhead","Migration","Depth"
"3",Mar 2010,2010,3,"critical","LOB","GLEN",31,"Steelhead","Migration","Depth"
"4",Apr 2010,2010,4,"critical","LOB","GLEN",25,"Steelhead","Migration","Depth"
"5",May 2010,2010,5,"critical","LOB","GLEN",2,"Steelhead","Migration","Depth"
"6",Jun 2010,2010,6,"critical","LOB","GLEN",7,"Steelhead","Migration","Depth"
"7",Dec 2010,2010,12,"critical","LOB","GLEN",18,"Steelhead","Migration","Depth"
"8",Jul 2010,2010,7,"non_critical","LOB","GLEN",0,"Steelhead","Migration","Depth"
"9",Aug 2010,2010,8,"non_critical","LOB","GLEN",0,"Steelhead","Migration","Depth"
"10",Sep 2010,2010,9,"non_critical","LOB","GLEN",0,"Steelhead","Migration","Depth"
"11",Oct 2010,2010,10,"non_critical","LOB","GLEN",14,"Steelhead","Migration","Depth"
"12",Nov 2010,2010,11,"non_critical","LOB","GLEN",3,"Steelhead","Migration","Depth"
"13",Jan 2010,2010,1,"critical","MC","GLEN",0,"Steelhead","Migration","Depth"
"14",Feb 2010,2010,2,"critical","MC","GLEN",0,"Steelhead","Migration","Depth"
"15",Mar 2010,2010,3,"critical","MC","GLEN",0,"Steelhead","Migration","Depth"
"16",Apr 2010,2010,4,"critical","MC","GLEN",0,"Steelhead","Migration","Depth"
"17",May 2010,2010,5,"critical","MC","GLEN",0,"Steelhead","Migration","Depth"
"18",Jun 2010,2010,6,"critical","MC","GLEN",0,"Steelhead","Migration","Depth"
"19",Dec 2010,2010,12,"critical","MC","GLEN",4,"Steelhead","Migration","Depth"
"20",Jul 2010,2010,7,"non_critical","MC","GLEN",0,"Steelhead","Migration","Depth"
"21",Aug 2010,2010,8,"non_critical","MC","GLEN",0,"Steelhead","Migration","Depth"
"22",Sep 2010,2010,9,"non_critical","MC","GLEN",0,"Steelhead","Migration","Depth"
"23",Oct 2010,2010,10,"non_critical","MC","GLEN",0,"Steelhead","Migration","Depth"
"24",Nov 2010,2010,11,"non_critical","MC","GLEN",0,"Steelhead","Migration","Depth"
"25",Jan 2010,2010,1,"critical","ROB","GLEN",0,"Steelhead","Migration","Depth"
"26",Feb 2010,2010,2,"critical","ROB","GLEN",1,"Steelhead","Migration","Depth"
"27",Mar 2010,2010,3,"critical","ROB","GLEN",12,"Steelhead","Migration","Depth"
"28",Apr 2010,2010,4,"critical","ROB","GLEN",7,"Steelhead","Migration","Depth"
"29",May 2010,2010,5,"critical","ROB","GLEN",0,"Steelhead","Migration","Depth"
"30",Jun 2010,2010,6,"critical","ROB","GLEN",0,"Steelhead","Migration","Depth"
"31",Dec 2010,2010,12,"critical","ROB","GLEN",10,"Steelhead","Migration","Depth"
"32",Jul 2010,2010,7,"non_critical","ROB","GLEN",0,"Steelhead","Migration","Depth"
"33",Aug 2010,2010,8,"non_critical","ROB","GLEN",0,"Steelhead","Migration","Depth"
"34",Sep 2010,2010,9,"non_critical","ROB","GLEN",0,"Steelhead","Migration","Depth"
"35",Oct 2010,2010,10,"non_critical","ROB","GLEN",0,"Steelhead","Migration","Depth"
"36",Nov 2010,2010,11,"non_critical","ROB","GLEN",0,"Steelhead","Migration","Depth"
"37",Jan 2011,2011,1,"critical","LOB","GLEN",0,"Steelhead","Migration","Depth"
"38",Feb 2011,2011,2,"critical","LOB","GLEN",1,"Steelhead","Migration","Depth"
"39",Mar 2011,2011,3,"critical","LOB","GLEN",1,"Steelhead","Migration","Depth"
"40",Apr 2011,2011,4,"critical","LOB","GLEN",3,"Steelhead","Migration","Depth"
"41",May 2011,2011,5,"critical","LOB","GLEN",0,"Steelhead","Migration","Depth"
"42",Jun 2011,2011,6,"critical","LOB","GLEN",0,"Steelhead","Migration","Depth"
"43",Dec 2011,2011,12,"critical","LOB","GLEN",1,"Steelhead","Migration","Depth"
"44",Jul 2011,2011,7,"non_critical","LOB","GLEN",0,"Steelhead","Migration","Depth"
"45",Aug 2011,2011,8,"non_critical","LOB","GLEN",0,"Steelhead","Migration","Depth"
"46",Sep 2011,2011,9,"non_critical","LOB","GLEN",0,"Steelhead","Migration","Depth"
"47",Oct 2011,2011,10,"non_critical","LOB","GLEN",0,"Steelhead","Migration","Depth"
"48",Nov 2011,2011,11,"non_critical","LOB","GLEN",13,"Steelhead","Migration","Depth"
"49",Jan 2011,2011,1,"critical","MC","GLEN",0,"Steelhead","Migration","Depth"
"50",Feb 2011,2011,2,"critical","MC","GLEN",0,"Steelhead","Migration","Depth"
"51",Mar 2011,2011,3,"critical","MC","GLEN",0,"Steelhead","Migration","Depth"
"52",Apr 2011,2011,4,"critical","MC","GLEN",0,"Steelhead","Migration","Depth"
"53",May 2011,2011,5,"critical","MC","GLEN",0,"Steelhead","Migration","Depth"
"54",Jun 2011,2011,6,"critical","MC","GLEN",0,"Steelhead","Migration","Depth"
"55",Dec 2011,2011,12,"critical","MC","GLEN",0,"Steelhead","Migration","Depth"
"56",Jul 2011,2011,7,"non_critical","MC","GLEN",0,"Steelhead","Migration","Depth"
"57",Aug 2011,2011,8,"non_critical","MC","GLEN",0,"Steelhead","Migration","Depth"
"58",Sep 2011,2011,9,"non_critical","MC","GLEN",0,"Steelhead","Migration","Depth"
"59",Oct 2011,2011,10,"non_critical","MC","GLEN",0,"Steelhead","Migration","Depth"
"60",Nov 2011,2011,11,"non_critical","MC","GLEN",0,"Steelhead","Migration","Depth"
"61",Jan 2011,2011,1,"critical","ROB","GLEN",0,"Steelhead","Migration","Depth"
"62",Feb 2011,2011,2,"critical","ROB","GLEN",0,"Steelhead","Migration","Depth"
"63",Mar 2011,2011,3,"critical","ROB","GLEN",0,"Steelhead","Migration","Depth"
"64",Apr 2011,2011,4,"critical","ROB","GLEN",0,"Steelhead","Migration","Depth"
"65",May 2011,2011,5,"critical","ROB","GLEN",0,"Steelhead","Migration","Depth"
"66",Jun 2011,2011,6,"critical","ROB","GLEN",0,"Steelhead","Migration","Depth"
"67",Dec 2011,2011,12,"critical","ROB","GLEN",0,"Steelhead","Migration","Depth"
"68",Jul 2011,2011,7,"non_critical","ROB","GLEN",0,"Steelhead","Migration","Depth"
"69",Aug 2011,2011,8,"non_critical","ROB","GLEN",0,"Steelhead","Migration","Depth"
"70",Sep 2011,2011,9,"non_critical","ROB","GLEN",0,"Steelhead","Migration","Depth"
"71",Oct 2011,2011,10,"non_critical","ROB","GLEN",0,"Steelhead","Migration","Depth"
"72",Nov 2011,2011,11,"non_critical","ROB","GLEN",0,"Steelhead","Migration","Depth"
"73",Jan 2012,2012,1,"critical","LOB","GLEN",16,"Steelhead","Migration","Depth"
"74",Feb 2012,2012,2,"critical","LOB","GLEN",4,"Steelhead","Migration","Depth"
"75",Mar 2012,2012,3,"critical","LOB","GLEN",9,"Steelhead","Migration","Depth"
"76",Apr 2012,2012,4,"critical","LOB","GLEN",0,"Steelhead","Migration","Depth"
"77",May 2012,2012,5,"critical","LOB","GLEN",2,"Steelhead","Migration","Depth"
"78",Jun 2012,2012,6,"critical","LOB","GLEN",0,"Steelhead","Migration","Depth"
"79",Dec 2012,2012,12,"critical","LOB","GLEN",16,"Steelhead","Migration","Depth"
"80",Jul 2012,2012,7,"non_critical","LOB","GLEN",0,"Steelhead","Migration","Depth"
"81",Aug 2012,2012,8,"non_critical","LOB","GLEN",0,"Steelhead","Migration","Depth"
"82",Sep 2012,2012,9,"non_critical","LOB","GLEN",0,"Steelhead","Migration","Depth"
"83",Oct 2012,2012,10,"non_critical","LOB","GLEN",0,"Steelhead","Migration","Depth"
"84",Nov 2012,2012,11,"non_critical","LOB","GLEN",3,"Steelhead","Migration","Depth"
"85",Jan 2012,2012,1,"critical","MC","GLEN",0,"Steelhead","Migration","Depth"
"86",Feb 2012,2012,2,"critical","MC","GLEN",0,"Steelhead","Migration","Depth"
"87",Mar 2012,2012,3,"critical","MC","GLEN",0,"Steelhead","Migration","Depth"
"88",Apr 2012,2012,4,"critical","MC","GLEN",0,"Steelhead","Migration","Depth"
"89",May 2012,2012,5,"critical","MC","GLEN",0,"Steelhead","Migration","Depth"
"90",Jun 2012,2012,6,"critical","MC","GLEN",0,"Steelhead","Migration","Depth"
"91",Dec 2012,2012,12,"critical","MC","GLEN",0,"Steelhead","Migration","Depth"
"92",Jul 2012,2012,7,"non_critical","MC","GLEN",0,"Steelhead","Migration","Depth"
"93",Aug 2012,2012,8,"non_critical","MC","GLEN",0,"Steelhead","Migration","Depth"
"94",Sep 2012,2012,9,"non_critical","MC","GLEN",0,"Steelhead","Migration","Depth"
"95",Oct 2012,2012,10,"non_critical","MC","GLEN",0,"Steelhead","Migration","Depth"
"96",Nov 2012,2012,11,"non_critical","MC","GLEN",0,"Steelhead","Migration","Depth"
"97",Jan 2012,2012,1,"critical","ROB","GLEN",0,"Steelhead","Migration","Depth"
"98",Feb 2012,2012,2,"critical","ROB","GLEN",0,"Steelhead","Migration","Depth"
"99",Mar 2012,2012,3,"critical","ROB","GLEN",0,"Steelhead","Migration","Depth"
"100",Apr 2012,2012,4,"critical","ROB","GLEN",0,"Steelhead","Migration","Depth"
"101",May 2012,2012,5,"critical","ROB","GLEN",0,"Steelhead","Migration","Depth"
"102",Jun 2012,2012,6,"critical","ROB","GLEN",0,"Steelhead","Migration","Depth"
"103",Dec 2012,2012,12,"critical","ROB","GLEN",0,"Steelhead","Migration","Depth"
"104",Jul 2012,2012,7,"non_critical","ROB","GLEN",0,"Steelhead","Migration","Depth"
"105",Aug 2012,2012,8,"non_critical","ROB","GLEN",0,"Steelhead","Migration","Depth"
"106",Sep 2012,2012,9,"non_critical","ROB","GLEN",0,"Steelhead","Migration","Depth"
"107",Oct 2012,2012,10,"non_critical","ROB","GLEN",0,"Steelhead","Migration","Depth"
"108",Nov 2012,2012,11,"non_critical","ROB","GLEN",0,"Steelhead","Migration","Depth"
"109",Jan 2013,2013,1,"critical","LOB","GLEN",0,"Steelhead","Migration","Depth"
"110",Feb 2013,2013,2,"critical","LOB","GLEN",1,"Steelhead","Migration","Depth"
"111",Mar 2013,2013,3,"critical","LOB","GLEN",1,"Steelhead","Migration","Depth"
"112",Apr 2013,2013,4,"critical","LOB","GLEN",0,"Steelhead","Migration","Depth"
"113",May 2013,2013,5,"critical","LOB","GLEN",0,"Steelhead","Migration","Depth"
"114",Jun 2013,2013,6,"critical","LOB","GLEN",0,"Steelhead","Migration","Depth"
"115",Dec 2013,2013,12,"critical","LOB","GLEN",0,"Steelhead","Migration","Depth"
"116",Jul 2013,2013,7,"non_critical","LOB","GLEN",0,"Steelhead","Migration","Depth"
"117",Aug 2013,2013,8,"non_critical","LOB","GLEN",0,"Steelhead","Migration","Depth"
"118",Sep 2013,2013,9,"non_critical","LOB","GLEN",0,"Steelhead","Migration","Depth"
"119",Oct 2013,2013,10,"non_critical","LOB","GLEN",0,"Steelhead","Migration","Depth"
"120",Nov 2013,2013,11,"non_critical","LOB","GLEN",1,"Steelhead","Migration","Depth"
"121",Jan 2013,2013,1,"critical","MC","GLEN",0,"Steelhead","Migration","Depth"
"122",Feb 2013,2013,2,"critical","MC","GLEN",1,"Steelhead","Migration","Depth"
"123",Mar 2013,2013,3,"critical","MC","GLEN",0,"Steelhead","Migration","Depth"
"124",Apr 2013,2013,4,"critical","MC","GLEN",0,"Steelhead","Migration","Depth"
"125",May 2013,2013,5,"critical","MC","GLEN",0,"Steelhead","Migration","Depth"
"126",Jun 2013,2013,6,"critical","MC","GLEN",0,"Steelhead","Migration","Depth"
"127",Dec 2013,2013,12,"critical","MC","GLEN",0,"Steelhead","Migration","Depth"
"128",Jul 2013,2013,7,"non_critical","MC","GLEN",0,"Steelhead","Migration","Depth"
"129",Aug 2013,2013,8,"non_critical","MC","GLEN",0,"Steelhead","Migration","Depth"
"130",Sep 2013,2013,9,"non_critical","MC","GLEN",0,"Steelhead","Migration","Depth"
"131",Oct 2013,2013,10,"non_critical","MC","GLEN",0,"Steelhead","Migration","Depth"
"132",Nov 2013,2013,11,"non_critical","MC","GLEN",0,"Steelhead","Migration","Depth"
"133",Jan 2013,2013,1,"critical","ROB","GLEN",0,"Steelhead","Migration","Depth"
"134",Feb 2013,2013,2,"critical","ROB","GLEN",1,"Steelhead","Migration","Depth"
"135",Mar 2013,2013,3,"critical","ROB","GLEN",1,"Steelhead","Migration","Depth"
"136",Apr 2013,2013,4,"critical","ROB","GLEN",0,"Steelhead","Migration","Depth"
"137",May 2013,2013,5,"critical","ROB","GLEN",0,"Steelhead","Migration","Depth"
"138",Jun 2013,2013,6,"critical","ROB","GLEN",0,"Steelhead","Migration","Depth"
"139",Dec 2013,2013,12,"critical","ROB","GLEN",0,"Steelhead","Migration","Depth"
"140",Jul 2013,2013,7,"non_critical","ROB","GLEN",0,"Steelhead","Migration","Depth"
"141",Aug 2013,2013,8,"non_critical","ROB","GLEN",0,"Steelhead","Migration","Depth"
"142",Sep 2013,2013,9,"non_critical","ROB","GLEN",0,"Steelhead","Migration","Depth"
"143",Oct 2013,2013,10,"non_critical","ROB","GLEN",0,"Steelhead","Migration","Depth"
"144",Nov 2013,2013,11,"non_critical","ROB","GLEN",0,"Steelhead","Migration","Depth"
"145",Jan 2014,2014,1,"critical","LOB","GLEN",1,"Steelhead","Migration","Depth"
"146",Feb 2014,2014,2,"critical","LOB","GLEN",0,"Steelhead","Migration","Depth"
"147",Mar 2014,2014,3,"critical","LOB","GLEN",2,"Steelhead","Migration","Depth"
"148",Apr 2014,2014,4,"critical","LOB","GLEN",0,"Steelhead","Migration","Depth"
"149",May 2014,2014,5,"critical","LOB","GLEN",0,"Steelhead","Migration","Depth"
"150",Jun 2014,2014,6,"critical","LOB","GLEN",0,"Steelhead","Migration","Depth"
"151",Dec 2014,2014,12,"critical","LOB","GLEN",4,"Steelhead","Migration","Depth"
"152",Jul 2014,2014,7,"non_critical","LOB","GLEN",0,"Steelhead","Migration","Depth"
"153",Aug 2014,2014,8,"non_critical","LOB","GLEN",0,"Steelhead","Migration","Depth"
"154",Sep 2014,2014,9,"non_critical","LOB","GLEN",0,"Steelhead","Migration","Depth"
"155",Oct 2014,2014,10,"non_critical","LOB","GLEN",0,"Steelhead","Migration","Depth"
"156",Nov 2014,2014,11,"non_critical","LOB","GLEN",0,"Steelhead","Migration","Depth"
"157",Jan 2014,2014,1,"critical","MC","GLEN",0,"Steelhead","Migration","Depth"
"158",Feb 2014,2014,2,"critical","MC","GLEN",0,"Steelhead","Migration","Depth"
"159",Mar 2014,2014,3,"critical","MC","GLEN",0,"Steelhead","Migration","Depth"
"160",Apr 2014,2014,4,"critical","MC","GLEN",0,"Steelhead","Migration","Depth"
"161",May 2014,2014,5,"critical","MC","GLEN",0,"Steelhead","Migration","Depth"
"162",Jun 2014,2014,6,"critical","MC","GLEN",0,"Steelhead","Migration","Depth"
"163",Dec 2014,2014,12,"critical","MC","GLEN",0,"Steelhead","Migration","Depth"
"164",Jul 2014,2014,7,"non_critical","MC","GLEN",0,"Steelhead","Migration","Depth"
"165",Aug 2014,2014,8,"non_critical","MC","GLEN",0,"Steelhead","Migration","Depth"
"166",Sep 2014,2014,9,"non_critical","MC","GLEN",0,"Steelhead","Migration","Depth"
"167",Oct 2014,2014,10,"non_critical","MC","GLEN",0,"Steelhead","Migration","Depth"
"168",Nov 2014,2014,11,"non_critical","MC","GLEN",0,"Steelhead","Migration","Depth"
"169",Jan 2014,2014,1,"critical","ROB","GLEN",0,"Steelhead","Migration","Depth"
"170",Feb 2014,2014,2,"critical","ROB","GLEN",0,"Steelhead","Migration","Depth"
"171",Mar 2014,2014,3,"critical","ROB","GLEN",0,"Steelhead","Migration","Depth"
"172",Apr 2014,2014,4,"critical","ROB","GLEN",0,"Steelhead","Migration","Depth"
"173",May 2014,2014,5,"critical","ROB","GLEN",0,"Steelhead","Migration","Depth"
"174",Jun 2014,2014,6,"critical","ROB","GLEN",0,"Steelhead","Migration","Depth"
"175",Dec 2014,2014,12,"critical","ROB","GLEN",0,"Steelhead","Migration","Depth"
"176",Jul 2014,2014,7,"non_critical","ROB","GLEN",0,"Steelhead","Migration","Depth"
"177",Aug 2014,2014,8,"non_critical","ROB","GLEN",0,"Steelhead","Migration","Depth"
"178",Sep 2014,2014,9,"non_critical","ROB","GLEN",0,"Steelhead","Migration","Depth"
