"","month_year","water_year","month","season","position","Node","n_days","Species","Life_Stage","Hydraulic"
"1",Jan 2010,2010,1,"critical","LOB","LA202",31,"Steelhead","Migration","Velocity"
"2",Feb 2010,2010,2,"critical","LOB","LA202",28,"Steelhead","Migration","Velocity"
"3",Mar 2010,2010,3,"critical","LOB","LA202",31,"Steelhead","Migration","Velocity"
"4",Apr 2010,2010,4,"critical","LOB","LA202",30,"Steelhead","Migration","Velocity"
"5",May 2010,2010,5,"critical","LOB","LA202",31,"Steelhead","Migration","Velocity"
"6",Jun 2010,2010,6,"critical","LOB","LA202",30,"Steelhead","Migration","Velocity"
"7",Dec 2010,2010,12,"critical","LOB","LA202",31,"Steelhead","Migration","Velocity"
"8",Jul 2010,2010,7,"non_critical","LOB","LA202",31,"Steelhead","Migration","Velocity"
"9",Aug 2010,2010,8,"non_critical","LOB","LA202",31,"Steelhead","Migration","Velocity"
"10",Sep 2010,2010,9,"non_critical","LOB","LA202",30,"Steelhead","Migration","Velocity"
"11",Oct 2010,2010,10,"non_critical","LOB","LA202",31,"Steelhead","Migration","Velocity"
"12",Nov 2010,2010,11,"non_critical","LOB","LA202",30,"Steelhead","Migration","Velocity"
"13",Jan 2010,2010,1,"critical","MC","LA202",31,"Steelhead","Migration","Velocity"
"14",Feb 2010,2010,2,"critical","MC","LA202",28,"Steelhead","Migration","Velocity"
"15",Mar 2010,2010,3,"critical","MC","LA202",31,"Steelhead","Migration","Velocity"
"16",Apr 2010,2010,4,"critical","MC","LA202",30,"Steelhead","Migration","Velocity"
"17",May 2010,2010,5,"critical","MC","LA202",31,"Steelhead","Migration","Velocity"
"18",Jun 2010,2010,6,"critical","MC","LA202",30,"Steelhead","Migration","Velocity"
"19",Dec 2010,2010,12,"critical","MC","LA202",33,"Steelhead","Migration","Velocity"
"20",Jul 2010,2010,7,"non_critical","MC","LA202",31,"Steelhead","Migration","Velocity"
"21",Aug 2010,2010,8,"non_critical","MC","LA202",31,"Steelhead","Migration","Velocity"
"22",Sep 2010,2010,9,"non_critical","MC","LA202",30,"Steelhead","Migration","Velocity"
"23",Oct 2010,2010,10,"non_critical","MC","LA202",31,"Steelhead","Migration","Velocity"
"24",Nov 2010,2010,11,"non_critical","MC","LA202",30,"Steelhead","Migration","Velocity"
"25",Jan 2010,2010,1,"critical","ROB","LA202",31,"Steelhead","Migration","Velocity"
"26",Feb 2010,2010,2,"critical","ROB","LA202",28,"Steelhead","Migration","Velocity"
"27",Mar 2010,2010,3,"critical","ROB","LA202",31,"Steelhead","Migration","Velocity"
"28",Apr 2010,2010,4,"critical","ROB","LA202",30,"Steelhead","Migration","Velocity"
"29",May 2010,2010,5,"critical","ROB","LA202",31,"Steelhead","Migration","Velocity"
"30",Jun 2010,2010,6,"critical","ROB","LA202",30,"Steelhead","Migration","Velocity"
"31",Dec 2010,2010,12,"critical","ROB","LA202",31,"Steelhead","Migration","Velocity"
"32",Jul 2010,2010,7,"non_critical","ROB","LA202",31,"Steelhead","Migration","Velocity"
"33",Aug 2010,2010,8,"non_critical","ROB","LA202",31,"Steelhead","Migration","Velocity"
"34",Sep 2010,2010,9,"non_critical","ROB","LA202",30,"Steelhead","Migration","Velocity"
"35",Oct 2010,2010,10,"non_critical","ROB","LA202",31,"Steelhead","Migration","Velocity"
"36",Nov 2010,2010,11,"non_critical","ROB","LA202",30,"Steelhead","Migration","Velocity"
"37",Jan 2011,2011,1,"critical","LOB","LA202",31,"Steelhead","Migration","Velocity"
"38",Feb 2011,2011,2,"critical","LOB","LA202",29,"Steelhead","Migration","Velocity"
"39",Mar 2011,2011,3,"critical","LOB","LA202",31,"Steelhead","Migration","Velocity"
"40",Apr 2011,2011,4,"critical","LOB","LA202",30,"Steelhead","Migration","Velocity"
"41",May 2011,2011,5,"critical","LOB","LA202",31,"Steelhead","Migration","Velocity"
"42",Jun 2011,2011,6,"critical","LOB","LA202",30,"Steelhead","Migration","Velocity"
"43",Dec 2011,2011,12,"critical","LOB","LA202",31,"Steelhead","Migration","Velocity"
"44",Jul 2011,2011,7,"non_critical","LOB","LA202",31,"Steelhead","Migration","Velocity"
"45",Aug 2011,2011,8,"non_critical","LOB","LA202",31,"Steelhead","Migration","Velocity"
"46",Sep 2011,2011,9,"non_critical","LOB","LA202",30,"Steelhead","Migration","Velocity"
"47",Oct 2011,2011,10,"non_critical","LOB","LA202",31,"Steelhead","Migration","Velocity"
"48",Nov 2011,2011,11,"non_critical","LOB","LA202",30,"Steelhead","Migration","Velocity"
"49",Jan 2011,2011,1,"critical","MC","LA202",32,"Steelhead","Migration","Velocity"
"50",Feb 2011,2011,2,"critical","MC","LA202",29,"Steelhead","Migration","Velocity"
"51",Mar 2011,2011,3,"critical","MC","LA202",32,"Steelhead","Migration","Velocity"
"52",Apr 2011,2011,4,"critical","MC","LA202",31,"Steelhead","Migration","Velocity"
"53",May 2011,2011,5,"critical","MC","LA202",31,"Steelhead","Migration","Velocity"
"54",Jun 2011,2011,6,"critical","MC","LA202",30,"Steelhead","Migration","Velocity"
"55",Dec 2011,2011,12,"critical","MC","LA202",32,"Steelhead","Migration","Velocity"
