"","water_year","position","Time_Period","value"
"1",2010,"MC","Annual",99.2121488924412
"2",2011,"MC","Annual",99.476320582878
"3",2012,"MC","Annual",99.7831050228311
"4",2013,"MC","Annual",99.7945205479452
"5",2014,"MC","Annual",99.6803652968037
"6",2015,"MC","Annual",99.6243169398907
"7",2016,"MC","Annual",99.2808219178082
"8",2010,"LOB","Annual",0.102763187942453
"9",2011,"LOB","Annual",0.0227686703096539
"10",2012,"LOB","Annual",0
"11",2013,"LOB","Annual",0.0570776255707763
"12",2014,"LOB","Annual",0.0342465753424658
"13",2015,"LOB","Annual",0.0227686703096539
"14",2016,"LOB","Annual",0.136986301369863
"15",2010,"ROB","Annual",0.0228362639872117
"16",2011,"ROB","Annual",0.011384335154827
"17",2012,"ROB","Annual",0
"18",2013,"ROB","Annual",0.0114155251141553
"19",2014,"ROB","Annual",0
"20",2015,"ROB","Annual",0
"21",2016,"ROB","Annual",0.0684931506849315
"22",2010,"MC","non_critical",99.8092643051771
"23",2011,"MC","non_critical",99.6459694989107
"24",2012,"MC","non_critical",99.9183006535948
"25",2013,"MC","non_critical",100
"26",2014,"MC","non_critical",99.8366013071895
"27",2015,"MC","non_critical",99.8910675381264
"28",2016,"MC","non_critical",99.8638344226579
"29",2010,"LOB","non_critical",0
"30",2011,"LOB","non_critical",0
"31",2012,"LOB","non_critical",0
"32",2013,"LOB","non_critical",0
"33",2014,"LOB","non_critical",0
"34",2015,"LOB","non_critical",0
"35",2016,"LOB","non_critical",0
"36",2010,"ROB","non_critical",0
"37",2011,"ROB","non_critical",0
"38",2012,"ROB","non_critical",0
"39",2013,"ROB","non_critical",0
"40",2014,"ROB","non_critical",0
"41",2015,"ROB","non_critical",0
"42",2016,"ROB","non_critical",0
"43",2010,"MC","critical",98.7814465408805
"44",2011,"MC","critical",99.3544600938967
"45",2012,"MC","critical",99.685534591195
"46",2013,"MC","critical",99.6462264150943
"47",2014,"MC","critical",99.5676100628931
"48",2015,"MC","critical",99.4327073552426
"49",2016,"MC","critical",98.8600628930818
"50",2010,"LOB","critical",0.17688679245283
"51",2011,"LOB","critical",0.0391236306729265
"52",2012,"LOB","critical",0
"53",2013,"LOB","critical",0.0982704402515723
"54",2014,"LOB","critical",0.0589622641509434
"55",2015,"LOB","critical",0.0391236306729265
"56",2016,"LOB","critical",0.235849056603774
"57",2010,"ROB","critical",0.0393081761006289
"58",2011,"ROB","critical",0.0195618153364632
"59",2012,"ROB","critical",0
"60",2013,"ROB","critical",0.0196540880503145
"61",2014,"ROB","critical",0
"62",2015,"ROB","critical",0
"63",2016,"ROB","critical",0.117924528301887
