"","water_year","position","Time_Period","value"
"1",2010,"MC","Annual",100
"2",2011,"MC","Annual",100
"3",2012,"MC","Annual",100
"4",2013,"MC","Annual",100
"5",2014,"MC","Annual",100
"6",2015,"MC","Annual",100
"7",2016,"MC","Annual",100
"8",2010,"LOB","Annual",3.51638314876127
"9",2011,"LOB","Annual",1.40027322404372
"10",2012,"LOB","Annual",1.08447488584475
"11",2013,"LOB","Annual",0.662100456621005
"12",2014,"LOB","Annual",1.1986301369863
"13",2015,"LOB","Annual",0.89936247723133
"14",2016,"LOB","Annual",2.92237442922374
"15",2010,"ROB","Annual",3.58488411919169
"16",2011,"ROB","Annual",1.44581056466302
"17",2012,"ROB","Annual",1.11872146118721
"18",2013,"ROB","Annual",0.662100456621005
"19",2014,"ROB","Annual",1.22146118721461
"20",2015,"ROB","Annual",0.910746812386157
"21",2016,"ROB","Annual",2.96803652968037
"22",2010,"MC","non_critical",100
"23",2011,"MC","non_critical",100
"24",2012,"MC","non_critical",100
"25",2013,"MC","non_critical",100
"26",2014,"MC","non_critical",100
"27",2015,"MC","non_critical",100
"28",2016,"MC","non_critical",100
"29",2010,"LOB","non_critical",0.817216017433942
"30",2011,"LOB","non_critical",0.925925925925926
"31",2012,"LOB","non_critical",0.626361655773421
"32",2013,"LOB","non_critical",0.217864923747277
"33",2014,"LOB","non_critical",0.354030501089325
"34",2015,"LOB","non_critical",0.0272331154684096
"35",2016,"LOB","non_critical",0.462962962962963
"36",2010,"ROB","non_critical",0.844456551348406
"37",2011,"ROB","non_critical",0.980392156862745
"38",2012,"ROB","non_critical",0.65359477124183
"39",2013,"ROB","non_critical",0.217864923747277
"40",2014,"ROB","non_critical",0.354030501089325
"41",2015,"ROB","non_critical",0.0272331154684096
"42",2016,"ROB","non_critical",0.490196078431373
"43",2010,"MC","critical",100
"44",2011,"MC","critical",100
"45",2012,"MC","critical",100
"46",2013,"MC","critical",100
"47",2014,"MC","critical",100
"48",2015,"MC","critical",100
"49",2016,"MC","critical",100
"50",2010,"LOB","critical",5.46383647798742
"51",2011,"LOB","critical",1.74100156494523
"52",2012,"LOB","critical",1.41509433962264
"53",2013,"LOB","critical",0.982704402515723
"54",2014,"LOB","critical",1.80817610062893
"55",2015,"LOB","critical",1.52582159624413
"56",2016,"LOB","critical",4.69732704402516
"57",2010,"ROB","critical",5.56210691823899
"58",2011,"ROB","critical",1.78012519561815
"59",2012,"ROB","critical",1.45440251572327
"60",2013,"ROB","critical",0.982704402515723
"61",2014,"ROB","critical",1.84748427672956
"62",2015,"ROB","critical",1.54538341158059
"63",2016,"ROB","critical",4.7562893081761
