"","water_year","position","Time_Period","value"
"1",2010,"MC","Annual",98.3331430528599
"2",2011,"MC","Annual",99.3283242258652
"3",2012,"MC","Annual",99.7488584474886
"4",2013,"MC","Annual",99.7374429223744
"5",2014,"MC","Annual",99.5319634703196
"6",2015,"MC","Annual",99.6015482695811
"7",2016,"MC","Annual",98.9611872146119
"8",2010,"LOB","Annual",99.3035734672908
"9",2011,"LOB","Annual",99.6357012750455
"10",2012,"LOB","Annual",99.9200913242009
"11",2013,"LOB","Annual",99.7945205479452
"12",2014,"LOB","Annual",99.8401826484018
"13",2015,"LOB","Annual",99.7836976320583
"14",2016,"LOB","Annual",99.4292237442922
"15",2010,"ROB","Annual",99.2693229820756
"16",2011,"ROB","Annual",99.6129326047359
"17",2012,"ROB","Annual",99.9200913242009
"18",2013,"ROB","Annual",99.7945205479452
"19",2014,"ROB","Annual",99.8401826484018
"20",2015,"ROB","Annual",99.7723132969035
"21",2016,"ROB","Annual",99.3835616438356
"22",2010,"MC","non_critical",99.7820757286843
"23",2011,"MC","non_critical",99.537037037037
"24",2012,"MC","non_critical",99.9183006535948
"25",2013,"MC","non_critical",100
"26",2014,"MC","non_critical",99.8093681917211
"27",2015,"MC","non_critical",100
"28",2016,"MC","non_critical",99.8093681917211
"29",2010,"LOB","non_critical",99.9455189321711
"30",2011,"LOB","non_critical",99.7004357298475
"31",2012,"LOB","non_critical",100
"32",2013,"LOB","non_critical",100
"33",2014,"LOB","non_critical",99.9455337690632
"34",2015,"LOB","non_critical",100
"35",2016,"LOB","non_critical",99.9455337690632
"36",2010,"ROB","non_critical",99.9455189321711
"37",2011,"ROB","non_critical",99.6459694989107
"38",2012,"ROB","non_critical",100
"39",2013,"ROB","non_critical",100
"40",2014,"ROB","non_critical",99.9455337690632
"41",2015,"ROB","non_critical",100
"42",2016,"ROB","non_critical",99.8910675381264
"43",2010,"MC","critical",97.2877358490566
"44",2011,"MC","critical",99.1784037558685
"45",2012,"MC","critical",99.626572327044
"46",2013,"MC","critical",99.5479559748428
"47",2014,"MC","critical",99.3317610062893
"48",2015,"MC","critical",99.3153364632238
"49",2016,"MC","critical",98.3490566037736
"50",2010,"LOB","critical",98.8404088050314
"51",2011,"LOB","critical",99.5892018779343
"52",2012,"LOB","critical",99.8624213836478
"53",2013,"LOB","critical",99.6462264150943
"54",2014,"LOB","critical",99.7641509433962
"55",2015,"LOB","critical",99.6283255086072
"56",2016,"LOB","critical",99.0566037735849
"57",2010,"ROB","critical",98.7814465408805
"58",2011,"ROB","critical",99.5892018779343
"59",2012,"ROB","critical",99.8624213836478
"60",2013,"ROB","critical",99.6462264150943
"61",2014,"ROB","critical",99.7641509433962
"62",2015,"ROB","critical",99.6087636932707
"63",2016,"ROB","critical",99.0172955974843
