"","LOB","MC","ROB","Species","Life_Stage","Hydraulic","Node"
"1",571.601391984799,0.0964700647044667,436.918061383538,"Typha","Seedling","Depth",11101250
"2",NA,NA,NA,"Typha","Seedling","Depth",11101250
"3",NA,NA,NA,"Typha","Seedling","Depth",11101250
"4",NA,NA,NA,"Typha","Seedling","Depth",11101250
"5",297.110249978562,0.0119090106764154,230.81107906047,"Typha","Seedling","Depth",11101250
"6",NA,NA,NA,"Typha","Seedling","Depth",11101250
"7",NA,NA,NA,"Typha","Seedling","Depth",11101250
"8",NA,NA,NA,"Typha","Seedling","Depth",11101250
"9",NA,NA,NA,"Typha","Seedling","Depth",11101250
"10",NA,NA,NA,"Typha","Seedling","Depth",11101250
"11",NA,NA,NA,"Typha","Seedling","Depth",11101250
"12",NA,NA,NA,"Typha","Seedling","Depth",11101250
