"","season","position","water_year","Node","Probability_Threshold","value","Species","Life_Stage","Hydraulic"
"1","non_critical","MC",2010,"F319","Low",98.0933896563535,"Typha","Adult","Depth"
"2","critical","MC",2010,"F319","Low",98.0933896563535,"Typha","Adult","Depth"
"3","non_critical","MC",2011,"F319","Low",99.3510928961749,"Typha","Adult","Depth"
"4","critical","MC",2011,"F319","Low",99.3510928961749,"Typha","Adult","Depth"
"5","non_critical","MC",2012,"F319","Low",99.7831050228311,"Typha","Adult","Depth"
"6","critical","MC",2012,"F319","Low",99.7831050228311,"Typha","Adult","Depth"
"7","non_critical","MC",2013,"F319","Low",99.7146118721461,"Typha","Adult","Depth"
"8","critical","MC",2013,"F319","Low",99.7146118721461,"Typha","Adult","Depth"
"9","non_critical","MC",2014,"F319","Low",99.6118721461187,"Typha","Adult","Depth"
"10","critical","MC",2014,"F319","Low",99.6118721461187,"Typha","Adult","Depth"
"11","non_critical","MC",2015,"F319","Low",99.5901639344262,"Typha","Adult","Depth"
"12","critical","MC",2015,"F319","Low",99.5901639344262,"Typha","Adult","Depth"
"13","non_critical","MC",2016,"F319","Low",98.6529680365297,"Typha","Adult","Depth"
"14","critical","MC",2016,"F319","Low",98.6529680365297,"Typha","Adult","Depth"
"15","non_critical","MC",2010,"F319","Medium",97.7737184610115,"Typha","Adult","Depth"
"16","critical","MC",2010,"F319","Medium",97.7737184610115,"Typha","Adult","Depth"
"17","non_critical","MC",2011,"F319","Medium",99.2486338797814,"Typha","Adult","Depth"
"18","critical","MC",2011,"F319","Medium",99.2486338797814,"Typha","Adult","Depth"
"19","non_critical","MC",2012,"F319","Medium",99.6803652968037,"Typha","Adult","Depth"
"20","critical","MC",2012,"F319","Medium",99.6803652968037,"Typha","Adult","Depth"
"21","non_critical","MC",2013,"F319","Medium",99.6575342465753,"Typha","Adult","Depth"
"22","critical","MC",2013,"F319","Medium",99.6575342465753,"Typha","Adult","Depth"
"23","non_critical","MC",2014,"F319","Medium",99.3949771689498,"Typha","Adult","Depth"
"24","critical","MC",2014,"F319","Medium",99.3949771689498,"Typha","Adult","Depth"
"25","non_critical","MC",2015,"F319","Medium",99.4877049180328,"Typha","Adult","Depth"
"26","critical","MC",2015,"F319","Medium",99.4877049180328,"Typha","Adult","Depth"
"27","non_critical","MC",2016,"F319","Medium",98.1963470319635,"Typha","Adult","Depth"
"28","critical","MC",2016,"F319","Medium",98.1963470319635,"Typha","Adult","Depth"
"29","non_critical","MC",2010,"F319","High",96.9631236442516,"Typha","Adult","Depth"
