"","V1","Type","Species","Life_Stage","Hydraulic","Node"
"1",1330.09475249852,"Q_limit","Typha","Adult","Velocity","F319"
"2",NA,"Q_limit","Typha","Adult","Velocity","F319"
"3",NA,"Q_limit","Typha","Adult","Velocity","F319"
"4",NA,"Q_limit","Typha","Adult","Velocity","F319"
"5",283.329631710468,"Q_limit","Typha","Adult","Velocity","F319"
"6",NA,"Q_limit","Typha","Adult","Velocity","F319"
"7",NA,"Q_limit","Typha","Adult","Velocity","F319"
"8",NA,"Q_limit","Typha","Adult","Velocity","F319"
"9",NA,"Q_limit","Typha","Adult","Velocity","F319"
"10",NA,"Q_limit","Typha","Adult","Velocity","F319"
"11",NA,"Q_limit","Typha","Adult","Velocity","F319"
"12",NA,"Q_limit","Typha","Adult","Velocity","F319"
"13",1.05469149783608,"Hydraulic_limit","Typha","Adult","Velocity","F319"
"14",NA,"Hydraulic_limit","Typha","Adult","Velocity","F319"
"15",NA,"Hydraulic_limit","Typha","Adult","Velocity","F319"
"16",NA,"Hydraulic_limit","Typha","Adult","Velocity","F319"
"17",0.562586998875682,"Hydraulic_limit","Typha","Adult","Velocity","F319"
"18",NA,"Hydraulic_limit","Typha","Adult","Velocity","F319"
"19",NA,"Hydraulic_limit","Typha","Adult","Velocity","F319"
"20",NA,"Hydraulic_limit","Typha","Adult","Velocity","F319"
"21",NA,"Hydraulic_limit","Typha","Adult","Velocity","F319"
"22",NA,"Hydraulic_limit","Typha","Adult","Velocity","F319"
"23",NA,"Hydraulic_limit","Typha","Adult","Velocity","F319"
"24",NA,"Hydraulic_limit","Typha","Adult","Velocity","F319"
