"","season","position","water_year","Node","Probability_Threshold","value","Species","Life_Stage","Hydraulic"
"1","non_critical","MC",2010,"F37BHigh","Low",99.840164402329,"Typha","Adult","Depth"
"2","critical","MC",2010,"F37BHigh","Low",99.840164402329,"Typha","Adult","Depth"
"3","non_critical","MC",2011,"F37BHigh","Low",100,"Typha","Adult","Depth"
"4","critical","MC",2011,"F37BHigh","Low",100,"Typha","Adult","Depth"
"5","non_critical","MC",2012,"F37BHigh","Low",100,"Typha","Adult","Depth"
"6","critical","MC",2012,"F37BHigh","Low",100,"Typha","Adult","Depth"
"7","non_critical","MC",2013,"F37BHigh","Low",100,"Typha","Adult","Depth"
"8","critical","MC",2013,"F37BHigh","Low",100,"Typha","Adult","Depth"
"9","non_critical","MC",2014,"F37BHigh","Low",100,"Typha","Adult","Depth"
"10","critical","MC",2014,"F37BHigh","Low",100,"Typha","Adult","Depth"
"11","non_critical","MC",2015,"F37BHigh","Low",100,"Typha","Adult","Depth"
"12","critical","MC",2015,"F37BHigh","Low",100,"Typha","Adult","Depth"
"13","non_critical","MC",2016,"F37BHigh","Low",99.8287671232877,"Typha","Adult","Depth"
"14","critical","MC",2016,"F37BHigh","Low",99.8287671232877,"Typha","Adult","Depth"
"15","non_critical","MC",2010,"F37BHigh","Medium",6.24500513757278,"Typha","Adult","Depth"
"16","critical","MC",2010,"F37BHigh","Medium",6.24500513757278,"Typha","Adult","Depth"
"17","non_critical","MC",2011,"F37BHigh","Medium",3.3356102003643,"Typha","Adult","Depth"
"18","critical","MC",2011,"F37BHigh","Medium",3.3356102003643,"Typha","Adult","Depth"
"19","non_critical","MC",2012,"F37BHigh","Medium",3.23059360730594,"Typha","Adult","Depth"
"20","critical","MC",2012,"F37BHigh","Medium",3.23059360730594,"Typha","Adult","Depth"
"21","non_critical","MC",2013,"F37BHigh","Medium",1.81506849315068,"Typha","Adult","Depth"
"22","critical","MC",2013,"F37BHigh","Medium",1.81506849315068,"Typha","Adult","Depth"
"23","non_critical","MC",2014,"F37BHigh","Medium",3.10502283105023,"Typha","Adult","Depth"
"24","critical","MC",2014,"F37BHigh","Medium",3.10502283105023,"Typha","Adult","Depth"
"25","non_critical","MC",2015,"F37BHigh","Medium",2.52732240437158,"Typha","Adult","Depth"
"26","critical","MC",2015,"F37BHigh","Medium",2.52732240437158,"Typha","Adult","Depth"
"27","non_critical","MC",2016,"F37BHigh","Medium",6.02739726027397,"Typha","Adult","Depth"
"28","critical","MC",2016,"F37BHigh","Medium",6.02739726027397,"Typha","Adult","Depth"
"29","non_critical","MC",2010,"F37BHigh","High",1.8837766868364,"Typha","Adult","Depth"
"30","critical","MC",2010,"F37BHigh","High",1.8837766868364,"Typha","Adult","Depth"
"31","non_critical","MC",2011,"F37BHigh","High",0.910746812386157,"Typha","Adult","Depth"
"32","critical","MC",2011,"F37BHigh","High",0.910746812386157,"Typha","Adult","Depth"
"33","non_critical","MC",2012,"F37BHigh","High",0.445205479452055,"Typha","Adult","Depth"
"34","critical","MC",2012,"F37BHigh","High",0.445205479452055,"Typha","Adult","Depth"
"35","non_critical","MC",2013,"F37BHigh","High",0.445205479452055,"Typha","Adult","Depth"
"36","critical","MC",2013,"F37BHigh","High",0.445205479452055,"Typha","Adult","Depth"
"37","non_critical","MC",2014,"F37BHigh","High",0.67351598173516,"Typha","Adult","Depth"
"38","critical","MC",2014,"F37BHigh","High",0.67351598173516,"Typha","Adult","Depth"
"39","non_critical","MC",2015,"F37BHigh","High",0.569216757741348,"Typha","Adult","Depth"
"40","critical","MC",2015,"F37BHigh","High",0.569216757741348,"Typha","Adult","Depth"
"41","non_critical","MC",2016,"F37BHigh","High",1.6324200913242,"Typha","Adult","Depth"
"42","critical","MC",2016,"F37BHigh","High",1.6324200913242,"Typha","Adult","Depth"
"43","non_critical","MC",2010,"F37BHigh","Low.Seasonal",99.6794137852072,"Typha","Adult","Depth"
"44","critical","MC",2010,"F37BHigh","Low.Seasonal",100,"Typha","Adult","Depth"
"45","non_critical","MC",2011,"F37BHigh","Low.Seasonal",100,"Typha","Adult","Depth"
"46","critical","MC",2011,"F37BHigh","Low.Seasonal",100,"Typha","Adult","Depth"
"47","non_critical","MC",2012,"F37BHigh","Low.Seasonal",100,"Typha","Adult","Depth"
"48","critical","MC",2012,"F37BHigh","Low.Seasonal",100,"Typha","Adult","Depth"
"49","non_critical","MC",2013,"F37BHigh","Low.Seasonal",100,"Typha","Adult","Depth"
"50","critical","MC",2013,"F37BHigh","Low.Seasonal",100,"Typha","Adult","Depth"
"51","non_critical","MC",2014,"F37BHigh","Low.Seasonal",100,"Typha","Adult","Depth"
"52","critical","MC",2014,"F37BHigh","Low.Seasonal",100,"Typha","Adult","Depth"
"53","non_critical","MC",2015,"F37BHigh","Low.Seasonal",100,"Typha","Adult","Depth"
"54","critical","MC",2015,"F37BHigh","Low.Seasonal",100,"Typha","Adult","Depth"
"55","non_critical","MC",2016,"F37BHigh","Low.Seasonal",99.6565934065934,"Typha","Adult","Depth"
"56","critical","MC",2016,"F37BHigh","Low.Seasonal",100,"Typha","Adult","Depth"
"57","non_critical","MC",2010,"F37BHigh","Medium.Seasonal",11.9303869933593,"Typha","Adult","Depth"
"58","critical","MC",2010,"F37BHigh","Medium.Seasonal",0.591985428051002,"Typha","Adult","Depth"
"59","non_critical","MC",2011,"F37BHigh","Medium.Seasonal",5.10018214936248,"Typha","Adult","Depth"
"60","critical","MC",2011,"F37BHigh","Medium.Seasonal",1.57103825136612,"Typha","Adult","Depth"
"61","non_critical","MC",2012,"F37BHigh","Medium.Seasonal",6.04395604395604,"Typha","Adult","Depth"
"62","critical","MC",2012,"F37BHigh","Medium.Seasonal",0.432604735883424,"Typha","Adult","Depth"
"63","non_critical","MC",2013,"F37BHigh","Medium.Seasonal",3.36538461538462,"Typha","Adult","Depth"
"64","critical","MC",2013,"F37BHigh","Medium.Seasonal",0.273224043715847,"Typha","Adult","Depth"
"65","non_critical","MC",2014,"F37BHigh","Medium.Seasonal",5.01373626373626,"Typha","Adult","Depth"
"66","critical","MC",2014,"F37BHigh","Medium.Seasonal",1.20673952641166,"Typha","Adult","Depth"
"67","non_critical","MC",2015,"F37BHigh","Medium.Seasonal",4.78142076502732,"Typha","Adult","Depth"
"68","critical","MC",2015,"F37BHigh","Medium.Seasonal",0.273224043715847,"Typha","Adult","Depth"
"69","non_critical","MC",2016,"F37BHigh","Medium.Seasonal",11.5384615384615,"Typha","Adult","Depth"
"70","critical","MC",2016,"F37BHigh","Medium.Seasonal",0.546448087431694,"Typha","Adult","Depth"
"71","non_critical","MC",2010,"F37BHigh","High.Seasonal",3.77833753148615,"Typha","Adult","Depth"
"72","critical","MC",2010,"F37BHigh","High.Seasonal",0,"Typha","Adult","Depth"
"73","non_critical","MC",2011,"F37BHigh","High.Seasonal",1.4344262295082,"Typha","Adult","Depth"
"74","critical","MC",2011,"F37BHigh","High.Seasonal",0.387067395264117,"Typha","Adult","Depth"
"75","non_critical","MC",2012,"F37BHigh","High.Seasonal",0.892857142857143,"Typha","Adult","Depth"
"76","critical","MC",2012,"F37BHigh","High.Seasonal",0,"Typha","Adult","Depth"
"77","non_critical","MC",2013,"F37BHigh","High.Seasonal",0.892857142857143,"Typha","Adult","Depth"
"78","critical","MC",2013,"F37BHigh","High.Seasonal",0,"Typha","Adult","Depth"
"79","non_critical","MC",2014,"F37BHigh","High.Seasonal",1.21336996336996,"Typha","Adult","Depth"
"80","critical","MC",2014,"F37BHigh","High.Seasonal",0.136612021857924,"Typha","Adult","Depth"
"81","non_critical","MC",2015,"F37BHigh","High.Seasonal",1.1384335154827,"Typha","Adult","Depth"
"82","critical","MC",2015,"F37BHigh","High.Seasonal",0,"Typha","Adult","Depth"
"83","non_critical","MC",2016,"F37BHigh","High.Seasonal",3.27380952380952,"Typha","Adult","Depth"
"84","critical","MC",2016,"F37BHigh","High.Seasonal",0,"Typha","Adult","Depth"
