"","season","position","water_year","Node","Probability_Threshold","value","Species","Life_Stage","Hydraulic"
"1","non_critical","MC",2010,"F37BHigh","Low",17.9700879095787,"Typha","Adult","Velocity"
"2","critical","MC",2010,"F37BHigh","Low",17.9700879095787,"Typha","Adult","Velocity"
"3","non_critical","MC",2011,"F37BHigh","Low",10.5874316939891,"Typha","Adult","Velocity"
"4","critical","MC",2011,"F37BHigh","Low",10.5874316939891,"Typha","Adult","Velocity"
"5","non_critical","MC",2012,"F37BHigh","Low",11.324200913242,"Typha","Adult","Velocity"
"6","critical","MC",2012,"F37BHigh","Low",11.324200913242,"Typha","Adult","Velocity"
"7","non_critical","MC",2013,"F37BHigh","Low",5.70776255707763,"Typha","Adult","Velocity"
"8","critical","MC",2013,"F37BHigh","Low",5.70776255707763,"Typha","Adult","Velocity"
"9","non_critical","MC",2014,"F37BHigh","Low",9.63470319634703,"Typha","Adult","Velocity"
"10","critical","MC",2014,"F37BHigh","Low",9.63470319634703,"Typha","Adult","Velocity"
"11","non_critical","MC",2015,"F37BHigh","Low",8.87978142076503,"Typha","Adult","Velocity"
"12","critical","MC",2015,"F37BHigh","Low",8.87978142076503,"Typha","Adult","Velocity"
"13","non_critical","MC",2016,"F37BHigh","Low",16.7009132420091,"Typha","Adult","Velocity"
"14","critical","MC",2016,"F37BHigh","Low",16.7009132420091,"Typha","Adult","Velocity"
"15","non_critical","MC",2010,"F37BHigh","Medium",17.3307455188949,"Typha","Adult","Velocity"
"16","critical","MC",2010,"F37BHigh","Medium",17.3307455188949,"Typha","Adult","Velocity"
"17","non_critical","MC",2011,"F37BHigh","Medium",10.5874316939891,"Typha","Adult","Velocity"
"18","critical","MC",2011,"F37BHigh","Medium",10.5874316939891,"Typha","Adult","Velocity"
"19","non_critical","MC",2012,"F37BHigh","Medium",11.3127853881279,"Typha","Adult","Velocity"
"20","critical","MC",2012,"F37BHigh","Medium",11.3127853881279,"Typha","Adult","Velocity"
"21","non_critical","MC",2013,"F37BHigh","Medium",5.59360730593607,"Typha","Adult","Velocity"
"22","critical","MC",2013,"F37BHigh","Medium",5.59360730593607,"Typha","Adult","Velocity"
"23","non_critical","MC",2014,"F37BHigh","Medium",9.54337899543379,"Typha","Adult","Velocity"
"24","critical","MC",2014,"F37BHigh","Medium",9.54337899543379,"Typha","Adult","Velocity"
"25","non_critical","MC",2015,"F37BHigh","Medium",8.76593806921676,"Typha","Adult","Velocity"
"26","critical","MC",2015,"F37BHigh","Medium",8.76593806921676,"Typha","Adult","Velocity"
"27","non_critical","MC",2016,"F37BHigh","Medium",16.3127853881279,"Typha","Adult","Velocity"
"28","critical","MC",2016,"F37BHigh","Medium",16.3127853881279,"Typha","Adult","Velocity"
"29","non_critical","MC",2010,"F37BHigh","High",9.27046466491609,"Typha","Adult","Velocity"
"30","critical","MC",2010,"F37BHigh","High",9.27046466491609,"Typha","Adult","Velocity"
"31","non_critical","MC",2011,"F37BHigh","High",5.89708561020036,"Typha","Adult","Velocity"
"32","critical","MC",2011,"F37BHigh","High",5.89708561020036,"Typha","Adult","Velocity"
"33","non_critical","MC",2012,"F37BHigh","High",6.48401826484018,"Typha","Adult","Velocity"
"34","critical","MC",2012,"F37BHigh","High",6.48401826484018,"Typha","Adult","Velocity"
"35","non_critical","MC",2013,"F37BHigh","High",3.19634703196347,"Typha","Adult","Velocity"
"36","critical","MC",2013,"F37BHigh","High",3.19634703196347,"Typha","Adult","Velocity"
"37","non_critical","MC",2014,"F37BHigh","High",5.41095890410959,"Typha","Adult","Velocity"
"38","critical","MC",2014,"F37BHigh","High",5.41095890410959,"Typha","Adult","Velocity"
"39","non_critical","MC",2015,"F37BHigh","High",5.24817850637523,"Typha","Adult","Velocity"
"40","critical","MC",2015,"F37BHigh","High",5.24817850637523,"Typha","Adult","Velocity"
"41","non_critical","MC",2016,"F37BHigh","High",8.41324200913242,"Typha","Adult","Velocity"
"42","critical","MC",2016,"F37BHigh","High",8.41324200913242,"Typha","Adult","Velocity"
"43","non_critical","MC",2010,"F37BHigh","Low.Seasonal",34.1653308907717,"Typha","Adult","Velocity"
"44","critical","MC",2010,"F37BHigh","Low.Seasonal",1.86703096539162,"Typha","Adult","Velocity"
"45","non_critical","MC",2011,"F37BHigh","Low.Seasonal",16.3934426229508,"Typha","Adult","Velocity"
"46","critical","MC",2011,"F37BHigh","Low.Seasonal",4.78142076502732,"Typha","Adult","Velocity"
"47","non_critical","MC",2012,"F37BHigh","Low.Seasonal",21.2454212454212,"Typha","Adult","Velocity"
"48","critical","MC",2012,"F37BHigh","Low.Seasonal",1.45719489981785,"Typha","Adult","Velocity"
"49","non_critical","MC",2013,"F37BHigh","Low.Seasonal",9.82142857142857,"Typha","Adult","Velocity"
"50","critical","MC",2013,"F37BHigh","Low.Seasonal",1.61657559198543,"Typha","Adult","Velocity"
"51","non_critical","MC",2014,"F37BHigh","Low.Seasonal",15.4990842490842,"Typha","Adult","Velocity"
"52","critical","MC",2014,"F37BHigh","Low.Seasonal",3.8023679417122,"Typha","Adult","Velocity"
"53","non_critical","MC",2015,"F37BHigh","Low.Seasonal",14.8451730418944,"Typha","Adult","Velocity"
"54","critical","MC",2015,"F37BHigh","Low.Seasonal",2.9143897996357,"Typha","Adult","Velocity"
"55","non_critical","MC",2016,"F37BHigh","Low.Seasonal",31.1813186813187,"Typha","Adult","Velocity"
"56","critical","MC",2016,"F37BHigh","Low.Seasonal",2.29963570127505,"Typha","Adult","Velocity"
"57","non_critical","MC",2010,"F37BHigh","Medium.Seasonal",32.8829860316006,"Typha","Adult","Velocity"
"58","critical","MC",2010,"F37BHigh","Medium.Seasonal",1.86703096539162,"Typha","Adult","Velocity"
"59","non_critical","MC",2011,"F37BHigh","Medium.Seasonal",16.3934426229508,"Typha","Adult","Velocity"
"60","critical","MC",2011,"F37BHigh","Medium.Seasonal",4.78142076502732,"Typha","Adult","Velocity"
"61","non_critical","MC",2012,"F37BHigh","Medium.Seasonal",21.2225274725275,"Typha","Adult","Velocity"
