"","LOB","MC","ROB","Species","Life_Stage","Hydraulic","Node"
"1",199.984257336609,106.392454077477,114.291836165596,"Typha","Seedling","Depth","F37B_Low"
"2",NA,156.130534157894,NA,"Typha","Seedling","Depth","F37B_Low"
"3",NA,199.972767564135,NA,"Typha","Seedling","Depth","F37B_Low"
"4",NA,NA,NA,"Typha","Seedling","Depth","F37B_Low"
"5",199.96508144568,41.9132867487177,43.9147571774894,"Typha","Seedling","Depth","F37B_Low"
"6",NA,NA,NA,"Typha","Seedling","Depth","F37B_Low"
"7",NA,NA,NA,"Typha","Seedling","Depth","F37B_Low"
"8",NA,NA,NA,"Typha","Seedling","Depth","F37B_Low"
"9",NA,NA,NA,"Typha","Seedling","Depth","F37B_Low"
"10",NA,NA,NA,"Typha","Seedling","Depth","F37B_Low"
"11",NA,NA,NA,"Typha","Seedling","Depth","F37B_Low"
"12",NA,NA,NA,"Typha","Seedling","Depth","F37B_Low"
