"","season","position","water_year","Node","Probability_Threshold","value","Species","Life_Stage","Hydraulic"
"1","non_critical","MC",2010,"F45B","Low",2.61445370476082,"Typha","Seedling","Depth"
"2","critical","MC",2010,"F45B","Low",2.61445370476082,"Typha","Seedling","Depth"
"3","non_critical","MC",2011,"F45B","Low",3.59744990892532,"Typha","Seedling","Depth"
"4","critical","MC",2011,"F45B","Low",3.59744990892532,"Typha","Seedling","Depth"
"5","non_critical","MC",2012,"F45B","Low",2.56849315068493,"Typha","Seedling","Depth"
"6","critical","MC",2012,"F45B","Low",2.56849315068493,"Typha","Seedling","Depth"
"7","non_critical","MC",2013,"F45B","Low",1.05022831050228,"Typha","Seedling","Depth"
"8","critical","MC",2013,"F45B","Low",1.05022831050228,"Typha","Seedling","Depth"
"9","non_critical","MC",2014,"F45B","Low",1.32420091324201,"Typha","Seedling","Depth"
"10","critical","MC",2014,"F45B","Low",1.32420091324201,"Typha","Seedling","Depth"
"11","non_critical","MC",2015,"F45B","Low",0.569216757741348,"Typha","Seedling","Depth"
"12","critical","MC",2015,"F45B","Low",0.569216757741348,"Typha","Seedling","Depth"
"13","non_critical","MC",2016,"F45B","Low",3.24200913242009,"Typha","Seedling","Depth"
"14","critical","MC",2016,"F45B","Low",3.24200913242009,"Typha","Seedling","Depth"
"15","non_critical","MC",2010,"F45B","Medium",2.3632834798493,"Typha","Seedling","Depth"
"16","critical","MC",2010,"F45B","Medium",2.3632834798493,"Typha","Seedling","Depth"
"17","non_critical","MC",2011,"F45B","Medium",3.44945355191257,"Typha","Seedling","Depth"
"18","critical","MC",2011,"F45B","Medium",3.44945355191257,"Typha","Seedling","Depth"
"19","non_critical","MC",2012,"F45B","Medium",2.38584474885845,"Typha","Seedling","Depth"
"20","critical","MC",2012,"F45B","Medium",2.38584474885845,"Typha","Seedling","Depth"
"21","non_critical","MC",2013,"F45B","Medium",0.958904109589041,"Typha","Seedling","Depth"
"22","critical","MC",2013,"F45B","Medium",0.958904109589041,"Typha","Seedling","Depth"
"23","non_critical","MC",2014,"F45B","Medium",1.16438356164384,"Typha","Seedling","Depth"
"24","critical","MC",2014,"F45B","Medium",1.16438356164384,"Typha","Seedling","Depth"
"25","non_critical","MC",2015,"F45B","Medium",0.557832422586521,"Typha","Seedling","Depth"
"26","critical","MC",2015,"F45B","Medium",0.557832422586521,"Typha","Seedling","Depth"
"27","non_critical","MC",2016,"F45B","Medium",3.19634703196347,"Typha","Seedling","Depth"
"28","critical","MC",2016,"F45B","Medium",3.19634703196347,"Typha","Seedling","Depth"
"29","non_critical","MC",2010,"F45B","High",0,"Typha","Seedling","Depth"
"30","critical","MC",2010,"F45B","High",0,"Typha","Seedling","Depth"
"31","non_critical","MC",2011,"F45B","High",0,"Typha","Seedling","Depth"
"32","critical","MC",2011,"F45B","High",0,"Typha","Seedling","Depth"
"33","non_critical","MC",2012,"F45B","High",0,"Typha","Seedling","Depth"
"34","critical","MC",2012,"F45B","High",0,"Typha","Seedling","Depth"
"35","non_critical","MC",2013,"F45B","High",0,"Typha","Seedling","Depth"
"36","critical","MC",2013,"F45B","High",0,"Typha","Seedling","Depth"
"37","non_critical","MC",2014,"F45B","High",0,"Typha","Seedling","Depth"
"38","critical","MC",2014,"F45B","High",0,"Typha","Seedling","Depth"
"39","non_critical","MC",2015,"F45B","High",0,"Typha","Seedling","Depth"
"40","critical","MC",2015,"F45B","High",0,"Typha","Seedling","Depth"
"41","non_critical","MC",2016,"F45B","High",0,"Typha","Seedling","Depth"
"42","critical","MC",2016,"F45B","High",0,"Typha","Seedling","Depth"
"43","non_critical","MC",2010,"F45B","Low.Seasonal",5.10648042134188,"Typha","Seedling","Depth"
"44","critical","MC",2010,"F45B","Low.Seasonal",0.136612021857924,"Typha","Seedling","Depth"
"45","non_critical","MC",2011,"F45B","Low.Seasonal",6.28415300546448,"Typha","Seedling","Depth"
"46","critical","MC",2011,"F45B","Low.Seasonal",0.910746812386157,"Typha","Seedling","Depth"
"47","non_critical","MC",2012,"F45B","Low.Seasonal",4.83058608058608,"Typha","Seedling","Depth"
"48","critical","MC",2012,"F45B","Low.Seasonal",0.318761384335155,"Typha","Seedling","Depth"
"49","non_critical","MC",2013,"F45B","Low.Seasonal",1.83150183150183,"Typha","Seedling","Depth"
"50","critical","MC",2013,"F45B","Low.Seasonal",0.273224043715847,"Typha","Seedling","Depth"
"51","non_critical","MC",2014,"F45B","Low.Seasonal",2.42673992673993,"Typha","Seedling","Depth"
"52","critical","MC",2014,"F45B","Low.Seasonal",0.227686703096539,"Typha","Seedling","Depth"
"53","non_critical","MC",2015,"F45B","Low.Seasonal",1.1384335154827,"Typha","Seedling","Depth"
"54","critical","MC",2015,"F45B","Low.Seasonal",0,"Typha","Seedling","Depth"
"55","non_critical","MC",2016,"F45B","Low.Seasonal",6.43315018315018,"Typha","Seedling","Depth"
"56","critical","MC",2016,"F45B","Low.Seasonal",0.0683060109289618,"Typha","Seedling","Depth"
"57","non_critical","MC",2010,"F45B","Medium.Seasonal",4.6027020838104,"Typha","Seedling","Depth"
"58","critical","MC",2010,"F45B","Medium.Seasonal",0.136612021857924,"Typha","Seedling","Depth"
"59","non_critical","MC",2011,"F45B","Medium.Seasonal",6.01092896174863,"Typha","Seedling","Depth"
"60","critical","MC",2011,"F45B","Medium.Seasonal",0.887978142076503,"Typha","Seedling","Depth"
"61","non_critical","MC",2012,"F45B","Medium.Seasonal",4.48717948717949,"Typha","Seedling","Depth"
"62","critical","MC",2012,"F45B","Medium.Seasonal",0.295992714025501,"Typha","Seedling","Depth"
"63","non_critical","MC",2013,"F45B","Medium.Seasonal",1.64835164835165,"Typha","Seedling","Depth"
"64","critical","MC",2013,"F45B","Medium.Seasonal",0.273224043715847,"Typha","Seedling","Depth"
"65","non_critical","MC",2014,"F45B","Medium.Seasonal",2.10622710622711,"Typha","Seedling","Depth"
"66","critical","MC",2014,"F45B","Medium.Seasonal",0.227686703096539,"Typha","Seedling","Depth"
"67","non_critical","MC",2015,"F45B","Medium.Seasonal",1.11566484517304,"Typha","Seedling","Depth"
"68","critical","MC",2015,"F45B","Medium.Seasonal",0,"Typha","Seedling","Depth"
"69","non_critical","MC",2016,"F45B","Medium.Seasonal",6.34157509157509,"Typha","Seedling","Depth"
"70","critical","MC",2016,"F45B","Medium.Seasonal",0.0683060109289618,"Typha","Seedling","Depth"
"71","non_critical","MC",2010,"F45B","High.Seasonal",0,"Typha","Seedling","Depth"
"72","critical","MC",2010,"F45B","High.Seasonal",0,"Typha","Seedling","Depth"
"73","non_critical","MC",2011,"F45B","High.Seasonal",0,"Typha","Seedling","Depth"
"74","critical","MC",2011,"F45B","High.Seasonal",0,"Typha","Seedling","Depth"
"75","non_critical","MC",2012,"F45B","High.Seasonal",0,"Typha","Seedling","Depth"
"76","critical","MC",2012,"F45B","High.Seasonal",0,"Typha","Seedling","Depth"
"77","non_critical","MC",2013,"F45B","High.Seasonal",0,"Typha","Seedling","Depth"
"78","critical","MC",2013,"F45B","High.Seasonal",0,"Typha","Seedling","Depth"
"79","non_critical","MC",2014,"F45B","High.Seasonal",0,"Typha","Seedling","Depth"
"80","critical","MC",2014,"F45B","High.Seasonal",0,"Typha","Seedling","Depth"
"81","non_critical","MC",2015,"F45B","High.Seasonal",0,"Typha","Seedling","Depth"
"82","critical","MC",2015,"F45B","High.Seasonal",0,"Typha","Seedling","Depth"
"83","non_critical","MC",2016,"F45B","High.Seasonal",0,"Typha","Seedling","Depth"
"84","critical","MC",2016,"F45B","High.Seasonal",0,"Typha","Seedling","Depth"
