"","LOB","MC","ROB","Species","Life_Stage","Hydraulic","Node"
"1",296.192132702408,1221.50171190297,506.119897388593,"Typha","Seedling","Depth","GLEN"
"2",NA,NA,NA,"Typha","Seedling","Depth","GLEN"
"3",NA,NA,NA,"Typha","Seedling","Depth","GLEN"
"4",NA,NA,NA,"Typha","Seedling","Depth","GLEN"
"5",147.540901849513,745.061232231687,258.398773459574,"Typha","Seedling","Depth","GLEN"
"6",NA,NA,NA,"Typha","Seedling","Depth","GLEN"
"7",NA,NA,NA,"Typha","Seedling","Depth","GLEN"
"8",NA,NA,NA,"Typha","Seedling","Depth","GLEN"
"9",NA,NA,NA,"Typha","Seedling","Depth","GLEN"
"10",NA,NA,NA,"Typha","Seedling","Depth","GLEN"
"11",NA,NA,NA,"Typha","Seedling","Depth","GLEN"
"12",NA,NA,NA,"Typha","Seedling","Depth","GLEN"
