"","V1","V2","V3","Type","Species","Life_Stage","Hydraulic","Node"
"1",2908.86241965357,1595.84417176563,3869.61721139748,"Q_limit","Typha","Adult","Depth","LA11"
"2",NA,NA,NA,"Q_limit","Typha","Adult","Depth","LA11"
"3",NA,NA,NA,"Q_limit","Typha","Adult","Depth","LA11"
"4",NA,NA,NA,"Q_limit","Typha","Adult","Depth","LA11"
"5",256.20910033746,1242.74387168042,542.193363659324,"Q_limit","Typha","Adult","Depth","LA11"
"6",2402.61577131018,NA,3266.80178981263,"Q_limit","Typha","Adult","Depth","LA11"
"7",NA,NA,NA,"Q_limit","Typha","Adult","Depth","LA11"
"8",NA,NA,NA,"Q_limit","Typha","Adult","Depth","LA11"
"9",496.604827149526,93.6242184979969,883.272056500678,"Q_limit","Typha","Adult","Depth","LA11"
"10",1777.12931442069,823.589902395675,2511.03087688189,"Q_limit","Typha","Adult","Depth","LA11"
"11",NA,NA,NA,"Q_limit","Typha","Adult","Depth","LA11"
"12",NA,NA,NA,"Q_limit","Typha","Adult","Depth","LA11"
"13",115.352367539319,115.353363357838,115.353046883441,"Hydraulic_limit","Typha","Adult","Depth","LA11"
"14",NA,NA,NA,"Hydraulic_limit","Typha","Adult","Depth","LA11"
"15",NA,NA,NA,"Hydraulic_limit","Typha","Adult","Depth","LA11"
"16",NA,NA,NA,"Hydraulic_limit","Typha","Adult","Depth","LA11"
"17",11.1854729331857,102.580280868105,11.1854753390761,"Hydraulic_limit","Typha","Adult","Depth","LA11"
"18",102.580227181381,NA,102.579938253665,"Hydraulic_limit","Typha","Adult","Depth","LA11"
"19",NA,NA,NA,"Hydraulic_limit","Typha","Adult","Depth","LA11"
"20",NA,NA,NA,"Hydraulic_limit","Typha","Adult","Depth","LA11"
"21",29.3562030571343,29.3561426766847,29.3563851591992,"Hydraulic_limit","Typha","Adult","Depth","LA11"
"22",84.4097277397241,84.4097202092759,84.4071929118778,"Hydraulic_limit","Typha","Adult","Depth","LA11"
"23",NA,NA,NA,"Hydraulic_limit","Typha","Adult","Depth","LA11"
"24",NA,NA,NA,"Hydraulic_limit","Typha","Adult","Depth","LA11"
