"","V1","Type","Species","Life_Stage","Hydraulic","Node"
"1",1843.08524384128,"Q_limit","Typha","Seedling","Depth","LA13"
"2",NA,"Q_limit","Typha","Seedling","Depth","LA13"
"3",NA,"Q_limit","Typha","Seedling","Depth","LA13"
"4",NA,"Q_limit","Typha","Seedling","Depth","LA13"
"5",920.342413014524,"Q_limit","Typha","Seedling","Depth","LA13"
"6",NA,"Q_limit","Typha","Seedling","Depth","LA13"
"7",NA,"Q_limit","Typha","Seedling","Depth","LA13"
"8",NA,"Q_limit","Typha","Seedling","Depth","LA13"
"9",NA,"Q_limit","Typha","Seedling","Depth","LA13"
"10",NA,"Q_limit","Typha","Seedling","Depth","LA13"
"11",NA,"Q_limit","Typha","Seedling","Depth","LA13"
"12",NA,"Q_limit","Typha","Seedling","Depth","LA13"
"13",30.0307094581181,"Hydraulic_limit","Typha","Seedling","Depth","LA13"
"14",NA,"Hydraulic_limit","Typha","Seedling","Depth","LA13"
"15",NA,"Hydraulic_limit","Typha","Seedling","Depth","LA13"
"16",NA,"Hydraulic_limit","Typha","Seedling","Depth","LA13"
"17",21.0870950716581,"Hydraulic_limit","Typha","Seedling","Depth","LA13"
"18",NA,"Hydraulic_limit","Typha","Seedling","Depth","LA13"
"19",NA,"Hydraulic_limit","Typha","Seedling","Depth","LA13"
"20",NA,"Hydraulic_limit","Typha","Seedling","Depth","LA13"
"21",NA,"Hydraulic_limit","Typha","Seedling","Depth","LA13"
"22",NA,"Hydraulic_limit","Typha","Seedling","Depth","LA13"
"23",NA,"Hydraulic_limit","Typha","Seedling","Depth","LA13"
"24",NA,"Hydraulic_limit","Typha","Seedling","Depth","LA13"
