"","LOB","MC","ROB","Species","Life_Stage","Hydraulic","Node"
"1",686.811353821413,1215.13471886999,482.083721477335,"Typha","Seedling","Depth","LA14"
"2",NA,NA,NA,"Typha","Seedling","Depth","LA14"
"3",NA,NA,NA,"Typha","Seedling","Depth","LA14"
"4",NA,NA,NA,"Typha","Seedling","Depth","LA14"
"5",364.588984243638,724.665895522774,246.979142720228,"Typha","Seedling","Depth","LA14"
"6",NA,NA,NA,"Typha","Seedling","Depth","LA14"
"7",NA,NA,NA,"Typha","Seedling","Depth","LA14"
"8",NA,NA,NA,"Typha","Seedling","Depth","LA14"
"9",NA,NA,NA,"Typha","Seedling","Depth","LA14"
"10",NA,NA,NA,"Typha","Seedling","Depth","LA14"
"11",NA,NA,NA,"Typha","Seedling","Depth","LA14"
"12",NA,NA,NA,"Typha","Seedling","Depth","LA14"
