"","month_year","water_year","month","season","position","Node","Probability_Threshold","n_days","Species","Life_Stage","Hydraulic"
"1",2010-01-01,2010,1,"non_critical","LOB","LA14","Low",30,"Typha","Adult","Depth"
"2",2010-01-01,2010,1,"non_critical","MC","LA14","Low",0,"Typha","Adult","Depth"
"3",2010-01-01,2010,1,"non_critical","ROB","LA14","Low",30,"Typha","Adult","Depth"
"4",2011-01-01,2011,1,"non_critical","LOB","LA14","Low",29,"Typha","Adult","Depth"
"5",2011-01-01,2011,1,"non_critical","MC","LA14","Low",0,"Typha","Adult","Depth"
"6",2011-01-01,2011,1,"non_critical","ROB","LA14","Low",29,"Typha","Adult","Depth"
"7",2012-01-01,2012,1,"non_critical","LOB","LA14","Low",30,"Typha","Adult","Depth"
"8",2012-01-01,2012,1,"non_critical","MC","LA14","Low",0,"Typha","Adult","Depth"
"9",2012-01-01,2012,1,"non_critical","ROB","LA14","Low",29,"Typha","Adult","Depth"
"10",2013-01-01,2013,1,"non_critical","LOB","LA14","Low",31,"Typha","Adult","Depth"
"11",2013-01-01,2013,1,"non_critical","MC","LA14","Low",0,"Typha","Adult","Depth"
"12",2013-01-01,2013,1,"non_critical","ROB","LA14","Low",31,"Typha","Adult","Depth"
"13",2014-01-01,2014,1,"non_critical","LOB","LA14","Low",29,"Typha","Adult","Depth"
"14",2014-01-01,2014,1,"non_critical","MC","LA14","Low",0,"Typha","Adult","Depth"
"15",2014-01-01,2014,1,"non_critical","ROB","LA14","Low",28,"Typha","Adult","Depth"
"16",2015-01-01,2015,1,"non_critical","LOB","LA14","Low",27,"Typha","Adult","Depth"
"17",2015-01-01,2015,1,"non_critical","MC","LA14","Low",0,"Typha","Adult","Depth"
"18",2015-01-01,2015,1,"non_critical","ROB","LA14","Low",27,"Typha","Adult","Depth"
"19",2016-01-01,2016,1,"non_critical","LOB","LA14","Low",23,"Typha","Adult","Depth"
"20",2016-01-01,2016,1,"non_critical","MC","LA14","Low",0,"Typha","Adult","Depth"
"21",2016-01-01,2016,1,"non_critical","ROB","LA14","Low",22,"Typha","Adult","Depth"
"22",2010-02-01,2010,2,"non_critical","LOB","LA14","Low",23,"Typha","Adult","Depth"
"23",2010-02-01,2010,2,"non_critical","MC","LA14","Low",0,"Typha","Adult","Depth"
"24",2010-02-01,2010,2,"non_critical","ROB","LA14","Low",23,"Typha","Adult","Depth"
"25",2011-02-01,2011,2,"non_critical","LOB","LA14","Low",29,"Typha","Adult","Depth"
"26",2011-02-01,2011,2,"non_critical","MC","LA14","Low",0,"Typha","Adult","Depth"
"27",2011-02-01,2011,2,"non_critical","ROB","LA14","Low",29,"Typha","Adult","Depth"
"28",2012-02-01,2012,2,"non_critical","LOB","LA14","Low",27,"Typha","Adult","Depth"
"29",2012-02-01,2012,2,"non_critical","MC","LA14","Low",0,"Typha","Adult","Depth"
"30",2012-02-01,2012,2,"non_critical","ROB","LA14","Low",26,"Typha","Adult","Depth"
"31",2013-02-01,2013,2,"non_critical","LOB","LA14","Low",24,"Typha","Adult","Depth"
"32",2013-02-01,2013,2,"non_critical","MC","LA14","Low",0,"Typha","Adult","Depth"
"33",2013-02-01,2013,2,"non_critical","ROB","LA14","Low",24,"Typha","Adult","Depth"
"34",2014-02-01,2014,2,"non_critical","LOB","LA14","Low",27,"Typha","Adult","Depth"
"35",2014-02-01,2014,2,"non_critical","MC","LA14","Low",0,"Typha","Adult","Depth"
"36",2014-02-01,2014,2,"non_critical","ROB","LA14","Low",27,"Typha","Adult","Depth"
"37",2015-02-01,2015,2,"non_critical","LOB","LA14","Low",28,"Typha","Adult","Depth"
"38",2015-02-01,2015,2,"non_critical","MC","LA14","Low",0,"Typha","Adult","Depth"
"39",2015-02-01,2015,2,"non_critical","ROB","LA14","Low",27,"Typha","Adult","Depth"
"40",2016-02-01,2016,2,"non_critical","LOB","LA14","Low",22,"Typha","Adult","Depth"
"41",2016-02-01,2016,2,"non_critical","MC","LA14","Low",0,"Typha","Adult","Depth"
"42",2016-02-01,2016,2,"non_critical","ROB","LA14","Low",22,"Typha","Adult","Depth"
"43",2010-03-01,2010,3,"non_critical","LOB","LA14","Low",25,"Typha","Adult","Depth"
"44",2010-03-01,2010,3,"non_critical","MC","LA14","Low",3,"Typha","Adult","Depth"
"45",2010-03-01,2010,3,"non_critical","ROB","LA14","Low",25,"Typha","Adult","Depth"
"46",2011-03-01,2011,3,"non_critical","LOB","LA14","Low",29,"Typha","Adult","Depth"
"47",2011-03-01,2011,3,"non_critical","MC","LA14","Low",0,"Typha","Adult","Depth"
"48",2011-03-01,2011,3,"non_critical","ROB","LA14","Low",29,"Typha","Adult","Depth"
"49",2012-03-01,2012,3,"non_critical","LOB","LA14","Low",30,"Typha","Adult","Depth"
"50",2012-03-01,2012,3,"non_critical","MC","LA14","Low",0,"Typha","Adult","Depth"
"51",2012-03-01,2012,3,"non_critical","ROB","LA14","Low",29,"Typha","Adult","Depth"
"52",2013-03-01,2013,3,"non_critical","LOB","LA14","Low",30,"Typha","Adult","Depth"
"53",2013-03-01,2013,3,"non_critical","MC","LA14","Low",0,"Typha","Adult","Depth"
"54",2013-03-01,2013,3,"non_critical","ROB","LA14","Low",30,"Typha","Adult","Depth"
"55",2014-03-01,2014,3,"non_critical","LOB","LA14","Low",29,"Typha","Adult","Depth"
"56",2014-03-01,2014,3,"non_critical","MC","LA14","Low",0,"Typha","Adult","Depth"
"57",2014-03-01,2014,3,"non_critical","ROB","LA14","Low",29,"Typha","Adult","Depth"
"58",2015-03-01,2015,3,"non_critical","LOB","LA14","Low",28,"Typha","Adult","Depth"
"59",2015-03-01,2015,3,"non_critical","MC","LA14","Low",0,"Typha","Adult","Depth"
"60",2015-03-01,2015,3,"non_critical","ROB","LA14","Low",28,"Typha","Adult","Depth"
"61",2016-03-01,2016,3,"non_critical","LOB","LA14","Low",31,"Typha","Adult","Depth"
"62",2016-03-01,2016,3,"non_critical","MC","LA14","Low",0,"Typha","Adult","Depth"
"63",2016-03-01,2016,3,"non_critical","ROB","LA14","Low",31,"Typha","Adult","Depth"
"64",2010-04-01,2010,4,"critical","LOB","LA14","Low",30,"Typha","Adult","Depth"
"65",2010-04-01,2010,4,"critical","MC","LA14","Low",0,"Typha","Adult","Depth"
"66",2010-04-01,2010,4,"critical","ROB","LA14","Low",30,"Typha","Adult","Depth"
"67",2011-04-01,2011,4,"critical","LOB","LA14","Low",25,"Typha","Adult","Depth"
"68",2011-04-01,2011,4,"critical","MC","LA14","Low",0,"Typha","Adult","Depth"
"69",2011-04-01,2011,4,"critical","ROB","LA14","Low",25,"Typha","Adult","Depth"
"70",2012-04-01,2012,4,"critical","LOB","LA14","Low",30,"Typha","Adult","Depth"
"71",2012-04-01,2012,4,"critical","MC","LA14","Low",0,"Typha","Adult","Depth"
"72",2012-04-01,2012,4,"critical","ROB","LA14","Low",30,"Typha","Adult","Depth"
"73",2013-04-01,2013,4,"critical","LOB","LA14","Low",29,"Typha","Adult","Depth"
"74",2013-04-01,2013,4,"critical","MC","LA14","Low",0,"Typha","Adult","Depth"
"75",2013-04-01,2013,4,"critical","ROB","LA14","Low",29,"Typha","Adult","Depth"
"76",2014-04-01,2014,4,"critical","LOB","LA14","Low",30,"Typha","Adult","Depth"
"77",2014-04-01,2014,4,"critical","MC","LA14","Low",0,"Typha","Adult","Depth"
"78",2014-04-01,2014,4,"critical","ROB","LA14","Low",30,"Typha","Adult","Depth"
"79",2015-04-01,2015,4,"critical","LOB","LA14","Low",30,"Typha","Adult","Depth"
"80",2015-04-01,2015,4,"critical","MC","LA14","Low",0,"Typha","Adult","Depth"
"81",2015-04-01,2015,4,"critical","ROB","LA14","Low",29,"Typha","Adult","Depth"
"82",2016-04-01,2016,4,"critical","LOB","LA14","Low",30,"Typha","Adult","Depth"
"83",2016-04-01,2016,4,"critical","MC","LA14","Low",0,"Typha","Adult","Depth"
"84",2016-04-01,2016,4,"critical","ROB","LA14","Low",30,"Typha","Adult","Depth"
"85",2010-05-01,2010,5,"critical","LOB","LA14","Low",30,"Typha","Adult","Depth"
"86",2010-05-01,2010,5,"critical","MC","LA14","Low",0,"Typha","Adult","Depth"
"87",2010-05-01,2010,5,"critical","ROB","LA14","Low",30,"Typha","Adult","Depth"
"88",2011-05-01,2011,5,"critical","LOB","LA14","Low",31,"Typha","Adult","Depth"
"89",2011-05-01,2011,5,"critical","MC","LA14","Low",0,"Typha","Adult","Depth"
"90",2011-05-01,2011,5,"critical","ROB","LA14","Low",31,"Typha","Adult","Depth"
