"","season","position","water_year","Node","Probability_Threshold","value","Species","Life_Stage","Hydraulic"
"1","non_critical","LOB",2010,"LA8","Low",99.3492407809111,"Typha","Adult","Depth"
"2","critical","LOB",2010,"LA8","Low",99.3492407809111,"Typha","Adult","Depth"
"3","non_critical","LOB",2011,"LA8","Low",99.6812386156649,"Typha","Adult","Depth"
"4","critical","LOB",2011,"LA8","Low",99.6812386156649,"Typha","Adult","Depth"
"5","non_critical","LOB",2012,"LA8","Low",99.9429223744292,"Typha","Adult","Depth"
"6","critical","LOB",2012,"LA8","Low",99.9429223744292,"Typha","Adult","Depth"
"7","non_critical","LOB",2013,"LA8","Low",99.8059360730594,"Typha","Adult","Depth"
"8","critical","LOB",2013,"LA8","Low",99.8059360730594,"Typha","Adult","Depth"
"9","non_critical","LOB",2014,"LA8","Low",99.851598173516,"Typha","Adult","Depth"
"10","critical","LOB",2014,"LA8","Low",99.851598173516,"Typha","Adult","Depth"
"11","non_critical","LOB",2015,"LA8","Low",99.7836976320583,"Typha","Adult","Depth"
"12","critical","LOB",2015,"LA8","Low",99.7836976320583,"Typha","Adult","Depth"
"13","non_critical","LOB",2016,"LA8","Low",99.5091324200913,"Typha","Adult","Depth"
"14","critical","LOB",2016,"LA8","Low",99.5091324200913,"Typha","Adult","Depth"
"15","non_critical","MC",2010,"LA8","Low",99.0866537275945,"Typha","Adult","Depth"
"16","critical","MC",2010,"LA8","Low",99.0866537275945,"Typha","Adult","Depth"
"17","non_critical","MC",2011,"LA8","Low",99.5560109289617,"Typha","Adult","Depth"
"18","critical","MC",2011,"LA8","Low",99.5560109289617,"Typha","Adult","Depth"
"19","non_critical","MC",2012,"LA8","Low",99.8630136986301,"Typha","Adult","Depth"
"20","critical","MC",2012,"LA8","Low",99.8630136986301,"Typha","Adult","Depth"
"21","non_critical","MC",2013,"LA8","Low",99.7831050228311,"Typha","Adult","Depth"
"22","critical","MC",2013,"LA8","Low",99.7831050228311,"Typha","Adult","Depth"
"23","non_critical","MC",2014,"LA8","Low",99.8059360730594,"Typha","Adult","Depth"
"24","critical","MC",2014,"LA8","Low",99.8059360730594,"Typha","Adult","Depth"
"25","non_critical","MC",2015,"LA8","Low",99.7267759562842,"Typha","Adult","Depth"
"26","critical","MC",2015,"LA8","Low",99.7267759562842,"Typha","Adult","Depth"
"27","non_critical","MC",2016,"LA8","Low",99.2922374429224,"Typha","Adult","Depth"
"28","critical","MC",2016,"LA8","Low",99.2922374429224,"Typha","Adult","Depth"
"29","non_critical","ROB",2010,"LA8","Low",99.3492407809111,"Typha","Adult","Depth"
"30","critical","ROB",2010,"LA8","Low",99.3492407809111,"Typha","Adult","Depth"
"31","non_critical","ROB",2011,"LA8","Low",99.6812386156649,"Typha","Adult","Depth"
