"","year","season","position","water_year","Probability_Threshold","value"
"1",2010,"non_critical","MC",2010,"Low",99.9771663431899
"2",2011,"non_critical","MC",2010,"Low",99.9771663431899
"3",2011,"critical","MC",2010,"Low",99.9771663431899
"4",2011,"non_critical","MC",2011,"Low",100
"5",2012,"non_critical","MC",2011,"Low",100
"6",2012,"critical","MC",2011,"Low",100
"7",2012,"non_critical","MC",2012,"Low",100
"8",2013,"non_critical","MC",2012,"Low",100
"9",2013,"critical","MC",2012,"Low",100
"10",2013,"non_critical","MC",2013,"Low",100
"11",2014,"non_critical","MC",2013,"Low",100
"12",2014,"critical","MC",2013,"Low",100
"13",2014,"non_critical","MC",2014,"Low",100
"14",2015,"non_critical","MC",2014,"Low",100
"15",2015,"critical","MC",2014,"Low",100
"16",2015,"non_critical","MC",2015,"Low",100
"17",2016,"non_critical","MC",2015,"Low",100
"18",2016,"critical","MC",2015,"Low",100
"19",2016,"non_critical","MC",2016,"Low",99.9315068493151
"20",2017,"non_critical","MC",2016,"Low",99.9315068493151
"21",2017,"critical","MC",2016,"Low",99.9315068493151
"22",2010,"non_critical","MC",2010,"Medium",99.4405754081516
"23",2011,"non_critical","MC",2010,"Medium",99.4405754081516
"24",2011,"critical","MC",2010,"Medium",99.4405754081516
"25",2011,"non_critical","MC",2011,"Medium",99.8861566484517
"26",2012,"non_critical","MC",2011,"Medium",99.8861566484517
"27",2012,"critical","MC",2011,"Medium",99.8861566484517
"28",2012,"non_critical","MC",2012,"Medium",99.9885844748858
"29",2013,"non_critical","MC",2012,"Medium",99.9885844748858
"30",2013,"critical","MC",2012,"Medium",99.9885844748858
"31",2013,"non_critical","MC",2013,"Medium",99.8858447488584
"32",2014,"non_critical","MC",2013,"Medium",99.8858447488584
"33",2014,"critical","MC",2013,"Medium",99.8858447488584
"34",2014,"non_critical","MC",2014,"Medium",99.8972602739726
"35",2015,"non_critical","MC",2014,"Medium",99.8972602739726
"36",2015,"critical","MC",2014,"Medium",99.8972602739726
"37",2015,"non_critical","MC",2015,"Medium",99.8520036429873
"38",2016,"non_critical","MC",2015,"Medium",99.8520036429873
"39",2016,"critical","MC",2015,"Medium",99.8520036429873
"40",2016,"non_critical","MC",2016,"Medium",99.5205479452055
"41",2017,"non_critical","MC",2016,"Medium",99.5205479452055
"42",2017,"critical","MC",2016,"Medium",99.5205479452055
"43",2010,"non_critical","MC",2010,"High",97.4083799520493
"44",2011,"non_critical","MC",2010,"High",97.4083799520493
"45",2011,"critical","MC",2010,"High",97.4083799520493
"46",2011,"non_critical","MC",2011,"High",98.9640255009108
"47",2012,"non_critical","MC",2011,"High",98.9640255009108
"48",2012,"critical","MC",2011,"High",98.9640255009108
"49",2012,"non_critical","MC",2012,"High",99.4292237442922
"50",2013,"non_critical","MC",2012,"High",99.4292237442922
"51",2013,"critical","MC",2012,"High",99.4292237442922
