"","year","season","position","water_year","Probability_Threshold","value"
"1",2010,"non_critical","MC",2010,"Low",7.94611256992807
"2",2011,"non_critical","MC",2010,"Low",7.94611256992807
"3",2011,"critical","MC",2010,"Low",7.94611256992807
"4",2011,"non_critical","MC",2011,"Low",2.95992714025501
"5",2012,"non_critical","MC",2011,"Low",2.95992714025501
"6",2012,"critical","MC",2011,"Low",2.95992714025501
"7",2012,"non_critical","MC",2012,"Low",3.33333333333333
"8",2013,"non_critical","MC",2012,"Low",3.33333333333333
"9",2013,"critical","MC",2012,"Low",3.33333333333333
"10",2013,"non_critical","MC",2013,"Low",1.54109589041096
"11",2014,"non_critical","MC",2013,"Low",1.54109589041096
"12",2014,"critical","MC",2013,"Low",1.54109589041096
"13",2014,"non_critical","MC",2014,"Low",2.97945205479452
"14",2015,"non_critical","MC",2014,"Low",2.97945205479452
"15",2015,"critical","MC",2014,"Low",2.97945205479452
"16",2015,"non_critical","MC",2015,"Low",2.41347905282332
"17",2016,"non_critical","MC",2015,"Low",2.41347905282332
"18",2016,"critical","MC",2015,"Low",2.41347905282332
"19",2016,"non_critical","MC",2016,"Low",5.9703196347032
"20",2017,"non_critical","MC",2016,"Low",5.9703196347032
"21",2017,"critical","MC",2016,"Low",5.9703196347032
"22",2010,"non_critical","LOB",2010,"Low",93.2754880694143
"23",2011,"non_critical","LOB",2010,"Low",93.2754880694143
"24",2011,"critical","LOB",2010,"Low",93.2754880694143
"25",2011,"non_critical","LOB",2011,"Low",97.5751366120219
"26",2012,"non_critical","LOB",2011,"Low",97.5751366120219
"27",2012,"critical","LOB",2011,"Low",97.5751366120219
"28",2012,"non_critical","LOB",2012,"Low",97.3401826484018
"29",2013,"non_critical","LOB",2012,"Low",97.3401826484018
"30",2013,"critical","LOB",2012,"Low",97.3401826484018
"31",2013,"non_critical","LOB",2013,"Low",98.7671232876712
"32",2014,"non_critical","LOB",2013,"Low",98.7671232876712
"33",2014,"critical","LOB",2013,"Low",98.7671232876712
"34",2014,"non_critical","LOB",2014,"Low",97.6141552511416
"35",2015,"non_critical","LOB",2014,"Low",97.6141552511416
"36",2015,"critical","LOB",2014,"Low",97.6141552511416
"37",2015,"non_critical","LOB",2015,"Low",98.0191256830601
"38",2016,"non_critical","LOB",2015,"Low",98.0191256830601
"39",2016,"critical","LOB",2015,"Low",98.0191256830601
"40",2016,"non_critical","LOB",2016,"Low",95.3881278538813
"41",2017,"non_critical","LOB",2016,"Low",95.3881278538813
"42",2017,"critical","LOB",2016,"Low",95.3881278538813
"43",2010,"non_critical","ROB",2010,"Low",2.2148647105834
"44",2011,"non_critical","ROB",2010,"Low",2.2148647105834
"45",2011,"critical","ROB",2010,"Low",2.2148647105834
"46",2011,"non_critical","ROB",2011,"Low",0.751366120218579
"47",2012,"non_critical","ROB",2011,"Low",0.751366120218579
"48",2012,"critical","ROB",2011,"Low",0.751366120218579
"49",2012,"non_critical","ROB",2012,"Low",0.319634703196347
"50",2013,"non_critical","ROB",2012,"Low",0.319634703196347
"51",2013,"critical","ROB",2012,"Low",0.319634703196347
"52",2013,"non_critical","ROB",2013,"Low",0.342465753424658
"53",2014,"non_critical","ROB",2013,"Low",0.342465753424658
"54",2014,"critical","ROB",2013,"Low",0.342465753424658
"55",2014,"non_critical","ROB",2014,"Low",0.593607305936073
"56",2015,"non_critical","ROB",2014,"Low",0.593607305936073
"57",2015,"critical","ROB",2014,"Low",0.593607305936073
"58",2015,"non_critical","ROB",2015,"Low",0.512295081967213
"59",2016,"non_critical","ROB",2015,"Low",0.512295081967213
"60",2016,"critical","ROB",2015,"Low",0.512295081967213
"61",2016,"non_critical","ROB",2016,"Low",1.76940639269406
"62",2017,"non_critical","ROB",2016,"Low",1.76940639269406
"63",2017,"critical","ROB",2016,"Low",1.76940639269406
"64",2010,"non_critical","MC",2010,"Medium",5.10332229706588
"65",2011,"non_critical","MC",2010,"Medium",5.10332229706588
"66",2011,"critical","MC",2010,"Medium",5.10332229706588
"67",2011,"non_critical","MC",2011,"Medium",2.11748633879781
"68",2012,"non_critical","MC",2011,"Medium",2.11748633879781
"69",2012,"critical","MC",2011,"Medium",2.11748633879781
"70",2012,"non_critical","MC",2012,"Medium",2.02054794520548
"71",2013,"non_critical","MC",2012,"Medium",2.02054794520548
"72",2013,"critical","MC",2012,"Medium",2.02054794520548
"73",2013,"non_critical","MC",2013,"Medium",1.13013698630137
"74",2014,"non_critical","MC",2013,"Medium",1.13013698630137
"75",2014,"critical","MC",2013,"Medium",1.13013698630137
"76",2014,"non_critical","MC",2014,"Medium",2.14611872146119
"77",2015,"non_critical","MC",2014,"Medium",2.14611872146119
"78",2015,"critical","MC",2014,"Medium",2.14611872146119
"79",2015,"non_critical","MC",2015,"Medium",1.58242258652095
"80",2016,"non_critical","MC",2015,"Medium",1.58242258652095
"81",2016,"critical","MC",2015,"Medium",1.58242258652095
"82",2016,"non_critical","MC",2016,"Medium",4.1324200913242
"83",2017,"non_critical","MC",2016,"Medium",4.1324200913242
"84",2017,"critical","MC",2016,"Medium",4.1324200913242
"85",2010,"non_critical","LOB",2010,"Medium",3.29946340906496
"86",2011,"non_critical","LOB",2010,"Medium",3.29946340906496
"87",2011,"critical","LOB",2010,"Medium",3.29946340906496
"88",2011,"non_critical","LOB",2011,"Medium",1.27504553734062
"89",2012,"non_critical","LOB",2011,"Medium",1.27504553734062
"90",2012,"critical","LOB",2011,"Medium",1.27504553734062
"91",2012,"non_critical","LOB",2012,"Medium",1.17579908675799
"92",2013,"non_critical","LOB",2012,"Medium",1.17579908675799
"93",2013,"critical","LOB",2012,"Medium",1.17579908675799
"94",2013,"non_critical","LOB",2013,"Medium",0.719178082191781
"95",2014,"non_critical","LOB",2013,"Medium",0.719178082191781
"96",2014,"critical","LOB",2013,"Medium",0.719178082191781
"97",2014,"non_critical","LOB",2014,"Medium",1.22146118721461
"98",2015,"non_critical","LOB",2014,"Medium",1.22146118721461
"99",2015,"critical","LOB",2014,"Medium",1.22146118721461
"100",2015,"non_critical","LOB",2015,"Medium",0.990437158469945
"101",2016,"non_critical","LOB",2015,"Medium",0.990437158469945
