"","season","position","water_year","Probability_Threshold","value"
"1","non_critical","MC",2010,"Low",100
"2","critical","MC",2010,"Low",100
"3","non_critical","MC",2011,"Low",100
"4","critical","MC",2011,"Low",100
"5","non_critical","MC",2012,"Low",100
"6","critical","MC",2012,"Low",100
"7","non_critical","MC",2013,"Low",100
"8","critical","MC",2013,"Low",100
"9","non_critical","MC",2014,"Low",100
"10","critical","MC",2014,"Low",100
"11","non_critical","MC",2015,"Low",100
"12","critical","MC",2015,"Low",100
"13","non_critical","MC",2016,"Low",100
"14","critical","MC",2016,"Low",100
"15","non_critical","MC",2010,"Medium",7.4209384632949
"16","critical","MC",2010,"Medium",7.4209384632949
"17","non_critical","MC",2011,"Medium",2.45901639344262
"18","critical","MC",2011,"Medium",2.45901639344262
"19","non_critical","MC",2012,"Medium",3.75570776255708
"20","critical","MC",2012,"Medium",3.75570776255708
"21","non_critical","MC",2013,"Medium",1.42694063926941
"22","critical","MC",2013,"Medium",1.42694063926941
"23","non_critical","MC",2014,"Medium",2.64840182648402
"24","critical","MC",2014,"Medium",2.64840182648402
"25","non_critical","MC",2015,"Medium",2.25409836065574
"26","critical","MC",2015,"Medium",2.25409836065574
"27","non_critical","MC",2016,"Medium",4.74885844748858
"28","critical","MC",2016,"Medium",4.74885844748858
"29","non_critical","MC",2010,"High",2.93412490010275
"30","critical","MC",2010,"High",2.93412490010275
"31","non_critical","MC",2011,"High",1.26366120218579
"32","critical","MC",2011,"High",1.26366120218579
"33","non_critical","MC",2012,"High",1.71232876712329
"34","critical","MC",2012,"High",1.71232876712329
"35","non_critical","MC",2013,"High",0.776255707762557
"36","critical","MC",2013,"High",0.776255707762557
"37","non_critical","MC",2014,"High",1.60958904109589
"38","critical","MC",2014,"High",1.60958904109589
"39","non_critical","MC",2015,"High",1.24089253187614
"40","critical","MC",2015,"High",1.24089253187614
"41","non_critical","MC",2016,"High",2.42009132420091
"42","critical","MC",2016,"High",2.42009132420091
"43","non_critical","MC",2010,"Low.Seasonal",100
"44","critical","MC",2010,"Low.Seasonal",100
"45","non_critical","MC",2011,"Low.Seasonal",100
"46","critical","MC",2011,"Low.Seasonal",100
"47","non_critical","MC",2012,"Low.Seasonal",100
"48","critical","MC",2012,"Low.Seasonal",100
"49","non_critical","MC",2013,"Low.Seasonal",100
"50","critical","MC",2013,"Low.Seasonal",100
"51","non_critical","MC",2014,"Low.Seasonal",100
"52","critical","MC",2014,"Low.Seasonal",100
"53","non_critical","MC",2015,"Low.Seasonal",100
"54","critical","MC",2015,"Low.Seasonal",100
"55","non_critical","MC",2016,"Low.Seasonal",100
"56","critical","MC",2016,"Low.Seasonal",100
"57","non_critical","MC",2010,"Medium.Seasonal",7.29310005897385
"58","critical","MC",2010,"Medium.Seasonal",7.59803921568627
"59","non_critical","MC",2011,"Medium.Seasonal",2.4452269170579
"60","critical","MC",2011,"Medium.Seasonal",2.47821350762527
"61","non_critical","MC",2012,"Medium.Seasonal",5.54245283018868
"62","critical","MC",2012,"Medium.Seasonal",1.27995642701525
"63","non_critical","MC",2013,"Medium.Seasonal",1.53301886792453
"64","critical","MC",2013,"Medium.Seasonal",1.27995642701525
"65","non_critical","MC",2014,"Medium.Seasonal",3.14465408805031
"66","critical","MC",2014,"Medium.Seasonal",1.96078431372549
"67","non_critical","MC",2015,"Medium.Seasonal",2.23004694835681
"68","critical","MC",2015,"Medium.Seasonal",2.28758169934641
"69","non_critical","MC",2016,"Medium.Seasonal",7.48820754716981
"70","critical","MC",2016,"Medium.Seasonal",0.953159041394335
"71","non_critical","MC",2010,"High.Seasonal",3.28287792412031
"72","critical","MC",2010,"High.Seasonal",2.45098039215686
"73","non_critical","MC",2011,"High.Seasonal",1.09546165884194
"74","critical","MC",2011,"High.Seasonal",1.49782135076253
"75","non_critical","MC",2012,"High.Seasonal",2.57468553459119
"76","critical","MC",2012,"High.Seasonal",0.517429193899782
"77","non_critical","MC",2013,"High.Seasonal",0.825471698113208
"78","critical","MC",2013,"High.Seasonal",0.708061002178649
"79","non_critical","MC",2014,"High.Seasonal",1.98506289308176
"80","critical","MC",2014,"High.Seasonal",1.08932461873638
"81","non_critical","MC",2015,"High.Seasonal",1.27151799687011
"82","critical","MC",2015,"High.Seasonal",1.19825708061002
"83","non_critical","MC",2016,"High.Seasonal",3.79323899371069
"84","critical","MC",2016,"High.Seasonal",0.517429193899782
