"","season","position","water_year","Probability_Threshold","value"
"1","non_critical","MC",2010,"Low",100
"2","critical","MC",2010,"Low",100
"3","non_critical","MC",2011,"Low",100
"4","critical","MC",2011,"Low",100
"5","non_critical","MC",2012,"Low",100
"6","critical","MC",2012,"Low",100
"7","non_critical","MC",2013,"Low",100
"8","critical","MC",2013,"Low",100
"9","non_critical","MC",2014,"Low",100
"10","critical","MC",2014,"Low",100
"11","non_critical","MC",2015,"Low",100
"12","critical","MC",2015,"Low",100
"13","non_critical","MC",2016,"Low",100
"14","critical","MC",2016,"Low",100
"15","non_critical","MC",2010,"Medium",2.07786276972257
"16","critical","MC",2010,"Medium",2.07786276972257
"17","non_critical","MC",2011,"Medium",1.33196721311475
"18","critical","MC",2011,"Medium",1.33196721311475
"19","non_critical","MC",2012,"Medium",0.856164383561644
"20","critical","MC",2012,"Medium",0.856164383561644
"21","non_critical","MC",2013,"Medium",0.479452054794521
"22","critical","MC",2013,"Medium",0.479452054794521
"23","non_critical","MC",2014,"Medium",1.07305936073059
"24","critical","MC",2014,"Medium",1.07305936073059
"25","non_critical","MC",2015,"Medium",0.842440801457195
"26","critical","MC",2015,"Medium",0.842440801457195
"27","non_critical","MC",2016,"Medium",2.00913242009132
"28","critical","MC",2016,"Medium",2.00913242009132
"29","non_critical","MC",2010,"High",1.08459869848156
"30","critical","MC",2010,"High",1.08459869848156
"31","non_critical","MC",2011,"High",0.774134790528233
"32","critical","MC",2011,"High",0.774134790528233
"33","non_critical","MC",2012,"High",0.376712328767123
"34","critical","MC",2012,"High",0.376712328767123
"35","non_critical","MC",2013,"High",0.251141552511416
"36","critical","MC",2013,"High",0.251141552511416
"37","non_critical","MC",2014,"High",0.525114155251142
"38","critical","MC",2014,"High",0.525114155251142
"39","non_critical","MC",2015,"High",0.432604735883424
"40","critical","MC",2015,"High",0.432604735883424
"41","non_critical","MC",2016,"High",1.1986301369863
"42","critical","MC",2016,"High",1.1986301369863
"43","non_critical","MC",2010,"Low.Seasonal",100
"44","critical","MC",2010,"Low.Seasonal",100
"45","non_critical","MC",2011,"Low.Seasonal",100
"46","critical","MC",2011,"Low.Seasonal",100
"47","non_critical","MC",2012,"Low.Seasonal",100
"48","critical","MC",2012,"Low.Seasonal",100
"49","non_critical","MC",2013,"Low.Seasonal",100
"50","critical","MC",2013,"Low.Seasonal",100
"51","non_critical","MC",2014,"Low.Seasonal",100
"52","critical","MC",2014,"Low.Seasonal",100
"53","non_critical","MC",2015,"Low.Seasonal",100
"54","critical","MC",2015,"Low.Seasonal",100
"55","non_critical","MC",2016,"Low.Seasonal",100
"56","critical","MC",2016,"Low.Seasonal",100
"57","non_critical","MC",2010,"Medium.Seasonal",2.79142913308433
"58","critical","MC",2010,"Medium.Seasonal",1.08932461873638
"59","non_critical","MC",2011,"Medium.Seasonal",1.25195618153365
"60","critical","MC",2011,"Medium.Seasonal",1.44335511982571
"61","non_critical","MC",2012,"Medium.Seasonal",1.31682389937107
"62","critical","MC",2012,"Medium.Seasonal",0.217864923747277
"63","non_critical","MC",2013,"Medium.Seasonal",0.628930817610063
"64","critical","MC",2013,"Medium.Seasonal",0.272331154684096
"65","non_critical","MC",2014,"Medium.Seasonal",1.45440251572327
"66","critical","MC",2014,"Medium.Seasonal",0.544662309368192
"67","non_critical","MC",2015,"Medium.Seasonal",0.997652582159624
"68","critical","MC",2015,"Medium.Seasonal",0.626361655773421
"69","non_critical","MC",2016,"Medium.Seasonal",3.41981132075472
"70","critical","MC",2016,"Medium.Seasonal",0.0544662309368192
"71","non_critical","MC",2010,"High.Seasonal",1.5136622763908
"72","critical","MC",2010,"High.Seasonal",0.490196078431373
"73","non_critical","MC",2011,"High.Seasonal",0.782472613458529
"74","critical","MC",2011,"High.Seasonal",0.762527233115468
"75","non_critical","MC",2012,"High.Seasonal",0.589622641509434
"76","critical","MC",2012,"High.Seasonal",0.0816993464052288
"77","non_critical","MC",2013,"High.Seasonal",0.334119496855346
"78","critical","MC",2013,"High.Seasonal",0.136165577342048
"79","non_critical","MC",2014,"High.Seasonal",0.707547169811321
"80","critical","MC",2014,"High.Seasonal",0.272331154684096
"81","non_critical","MC",2015,"High.Seasonal",0.508607198748044
"82","critical","MC",2015,"High.Seasonal",0.326797385620915
"83","non_critical","MC",2016,"High.Seasonal",2.06367924528302
"84","critical","MC",2016,"High.Seasonal",0
