"","season","position","water_year","Probability_Threshold","value","Species","Life_Stage","Hydraulic","Node"
"1","summer","ROB",2010,"Low","100","SAS","Adult","Depth","LA11"
"2","winter","ROB",2010,"Low","100","SAS","Adult","Depth","LA11"
"3","summer","ROB",2011,"Low","100","SAS","Adult","Depth","LA11"
"4","winter","ROB",2011,"Low","100","SAS","Adult","Depth","LA11"
"5","summer","ROB",2012,"Low","100","SAS","Adult","Depth","LA11"
"6","winter","ROB",2012,"Low","100","SAS","Adult","Depth","LA11"
"7","summer","ROB",2013,"Low","100","SAS","Adult","Depth","LA11"
"8","winter","ROB",2013,"Low","100","SAS","Adult","Depth","LA11"
"9","summer","ROB",2014,"Low","100","SAS","Adult","Depth","LA11"
"10","winter","ROB",2014,"Low","100","SAS","Adult","Depth","LA11"
"11","summer","ROB",2015,"Low","100","SAS","Adult","Depth","LA11"
"12","winter","ROB",2015,"Low","100","SAS","Adult","Depth","LA11"
"13","summer","ROB",2016,"Low","100","SAS","Adult","Depth","LA11"
"14","winter","ROB",2016,"Low","100","SAS","Adult","Depth","LA11"
"15","summer","ROB",2010,"Medium","1.72394108916543","SAS","Adult","Depth","LA11"
"16","winter","ROB",2010,"Medium","1.72394108916543","SAS","Adult","Depth","LA11"
"17","summer","ROB",2011,"Medium","0.626138433515483","SAS","Adult","Depth","LA11"
"18","winter","ROB",2011,"Medium","0.626138433515483","SAS","Adult","Depth","LA11"
"19","summer","ROB",2012,"Medium","0.525114155251142","SAS","Adult","Depth","LA11"
"20","winter","ROB",2012,"Medium","0.525114155251142","SAS","Adult","Depth","LA11"
"21","summer","ROB",2013,"Medium","0.228310502283105","SAS","Adult","Depth","LA11"
"22","winter","ROB",2013,"Medium","0.228310502283105","SAS","Adult","Depth","LA11"
"23","summer","ROB",2014,"Medium","0.513698630136986","SAS","Adult","Depth","LA11"
"24","winter","ROB",2014,"Medium","0.513698630136986","SAS","Adult","Depth","LA11"
"25","summer","ROB",2015,"Medium","0.352914389799636","SAS","Adult","Depth","LA11"
"26","winter","ROB",2015,"Medium","0.352914389799636","SAS","Adult","Depth","LA11"
"27","summer","ROB",2016,"Medium","1.05022831050228","SAS","Adult","Depth","LA11"
"28","winter","ROB",2016,"Medium","1.05022831050228","SAS","Adult","Depth","LA11"
"29","summer","ROB",2010,"High","1.17593332572211","SAS","Adult","Depth","LA11"
"30","winter","ROB",2010,"High","1.17593332572211","SAS","Adult","Depth","LA11"
"31","summer","ROB",2011,"High","0.421220400728597","SAS","Adult","Depth","LA11"
"32","winter","ROB",2011,"High","0.421220400728597","SAS","Adult","Depth","LA11"
"33","summer","ROB",2012,"High","0.262557077625571","SAS","Adult","Depth","LA11"
"34","winter","ROB",2012,"High","0.262557077625571","SAS","Adult","Depth","LA11"
"35","summer","ROB",2013,"High","0.091324200913242","SAS","Adult","Depth","LA11"
"36","winter","ROB",2013,"High","0.091324200913242","SAS","Adult","Depth","LA11"
"37","summer","ROB",2014,"High","0.445205479452055","SAS","Adult","Depth","LA11"
"38","winter","ROB",2014,"High","0.445205479452055","SAS","Adult","Depth","LA11"
"39","summer","ROB",2015,"High","0.227686703096539","SAS","Adult","Depth","LA11"
"40","winter","ROB",2015,"High","0.227686703096539","SAS","Adult","Depth","LA11"
"41","summer","ROB",2016,"High","0.627853881278539","SAS","Adult","Depth","LA11"
"42","winter","ROB",2016,"High","0.627853881278539","SAS","Adult","Depth","LA11"
"43","summer","ROB",2010,"Low.Seasonal","100","SAS","Adult","Depth","LA11"
"44","winter","ROB",2010,"Low.Seasonal","100","SAS","Adult","Depth","LA11"
"45","summer","ROB",2011,"Low.Seasonal","100","SAS","Adult","Depth","LA11"
"46","winter","ROB",2011,"Low.Seasonal","100","SAS","Adult","Depth","LA11"
"47","summer","ROB",2012,"Low.Seasonal","100","SAS","Adult","Depth","LA11"
"48","winter","ROB",2012,"Low.Seasonal","100","SAS","Adult","Depth","LA11"
"49","summer","ROB",2013,"Low.Seasonal","100","SAS","Adult","Depth","LA11"
"50","winter","ROB",2013,"Low.Seasonal","100","SAS","Adult","Depth","LA11"
"51","summer","ROB",2014,"Low.Seasonal","100","SAS","Adult","Depth","LA11"
"52","winter","ROB",2014,"Low.Seasonal","100","SAS","Adult","Depth","LA11"
"53","summer","ROB",2015,"Low.Seasonal","100","SAS","Adult","Depth","LA11"
"54","winter","ROB",2015,"Low.Seasonal","100","SAS","Adult","Depth","LA11"
"55","summer","ROB",2016,"Low.Seasonal","100","SAS","Adult","Depth","LA11"
"56","winter","ROB",2016,"Low.Seasonal","100","SAS","Adult","Depth","LA11"
"57","summer","ROB",2010,"Medium.Seasonal","0.158550396375991","SAS","Adult","Depth","LA11"
"58","winter","ROB",2010,"Medium.Seasonal","3.31491712707182","SAS","Adult","Depth","LA11"
"59","summer","ROB",2011,"Medium.Seasonal","0.113224637681159","SAS","Adult","Depth","LA11"
"60","winter","ROB",2011,"Medium.Seasonal","1.14468864468864","SAS","Adult","Depth","LA11"
"61","summer","ROB",2012,"Medium.Seasonal","0.113224637681159","SAS","Adult","Depth","LA11"
"62","winter","ROB",2012,"Medium.Seasonal","0.943830570902394","SAS","Adult","Depth","LA11"
"63","summer","ROB",2013,"Medium.Seasonal","0","SAS","Adult","Depth","LA11"
"64","winter","ROB",2013,"Medium.Seasonal","0.460405156537753","SAS","Adult","Depth","LA11"
"65","summer","ROB",2014,"Medium.Seasonal","0.0679347826086956","SAS","Adult","Depth","LA11"
"66","winter","ROB",2014,"Medium.Seasonal","0.966850828729282","SAS","Adult","Depth","LA11"
"67","summer","ROB",2015,"Medium.Seasonal","0.0452898550724638","SAS","Adult","Depth","LA11"
"68","winter","ROB",2015,"Medium.Seasonal","0.663919413919414","SAS","Adult","Depth","LA11"
"69","summer","ROB",2016,"Medium.Seasonal","0","SAS","Adult","Depth","LA11"
"70","winter","ROB",2016,"Medium.Seasonal","2.11786372007366","SAS","Adult","Depth","LA11"
"71","summer","ROB",2010,"High.Seasonal","0.0906002265005662","SAS","Adult","Depth","LA11"
"72","winter","ROB",2010,"High.Seasonal","2.27900552486188","SAS","Adult","Depth","LA11"
"73","summer","ROB",2011,"High.Seasonal","0.0905797101449275","SAS","Adult","Depth","LA11"
"74","winter","ROB",2011,"High.Seasonal","0.755494505494505","SAS","Adult","Depth","LA11"
"75","summer","ROB",2012,"High.Seasonal","0.0905797101449275","SAS","Adult","Depth","LA11"
"76","winter","ROB",2012,"High.Seasonal","0.437384898710866","SAS","Adult","Depth","LA11"
"77","summer","ROB",2013,"High.Seasonal","0","SAS","Adult","Depth","LA11"
"78","winter","ROB",2013,"High.Seasonal","0.184162062615101","SAS","Adult","Depth","LA11"
"79","summer","ROB",2014,"High.Seasonal","0.0679347826086956","SAS","Adult","Depth","LA11"
"80","winter","ROB",2014,"High.Seasonal","0.828729281767956","SAS","Adult","Depth","LA11"
"81","summer","ROB",2015,"High.Seasonal","0.0226449275362319","SAS","Adult","Depth","LA11"
"82","winter","ROB",2015,"High.Seasonal","0.434981684981685","SAS","Adult","Depth","LA11"
"83","summer","ROB",2016,"High.Seasonal","0","SAS","Adult","Depth","LA11"
"84","winter","ROB",2016,"High.Seasonal","1.26611418047882","SAS","Adult","Depth","LA11"
"85","summer","ROB",2010,"Node","LA11","SAS","Adult","Depth","LA11"
"86","winter","ROB",2010,"Node","LA11","SAS","Adult","Depth","LA11"
"87","summer","ROB",2011,"Node","LA11","SAS","Adult","Depth","LA11"
"88","winter","ROB",2011,"Node","LA11","SAS","Adult","Depth","LA11"
"89","summer","ROB",2012,"Node","LA11","SAS","Adult","Depth","LA11"
"90","winter","ROB",2012,"Node","LA11","SAS","Adult","Depth","LA11"
"91","summer","ROB",2013,"Node","LA11","SAS","Adult","Depth","LA11"
"92","winter","ROB",2013,"Node","LA11","SAS","Adult","Depth","LA11"
"93","summer","ROB",2014,"Node","LA11","SAS","Adult","Depth","LA11"
"94","winter","ROB",2014,"Node","LA11","SAS","Adult","Depth","LA11"
"95","summer","ROB",2015,"Node","LA11","SAS","Adult","Depth","LA11"
"96","winter","ROB",2015,"Node","LA11","SAS","Adult","Depth","LA11"
"97","summer","ROB",2016,"Node","LA11","SAS","Adult","Depth","LA11"
"98","winter","ROB",2016,"Node","LA11","SAS","Adult","Depth","LA11"
