"","season","position","water_year","Probability_Threshold","value"
"1","non_critical","MC",2010,"Low",97.853636259847
"2","critical","MC",2010,"Low",97.853636259847
"3","non_critical","MC",2011,"Low",98.9071038251366
"4","critical","MC",2011,"Low",98.9071038251366
"5","non_critical","MC",2012,"Low",96.2557077625571
"6","critical","MC",2012,"Low",96.2557077625571
"7","non_critical","MC",2013,"Low",66.837899543379
"8","critical","MC",2013,"Low",66.837899543379
"9","non_critical","MC",2014,"Low",83.3904109589041
"10","critical","MC",2014,"Low",83.3904109589041
"11","non_critical","MC",2015,"Low",79.5309653916211
"12","critical","MC",2015,"Low",79.5309653916211
"13","non_critical","MC",2016,"Low",93.7899543378995
"14","critical","MC",2016,"Low",93.7899543378995
"15","non_critical","LOB",2010,"Low",99.4291585797465
"16","critical","LOB",2010,"Low",99.4291585797465
"17","non_critical","LOB",2011,"Low",99.8520036429873
"18","critical","LOB",2011,"Low",99.8520036429873
"19","non_critical","LOB",2012,"Low",99.9543378995434
"20","critical","LOB",2012,"Low",99.9543378995434
"21","non_critical","LOB",2013,"Low",99.8630136986301
"22","critical","LOB",2013,"Low",99.8630136986301
"23","non_critical","LOB",2014,"Low",99.8401826484018
"24","critical","LOB",2014,"Low",99.8401826484018
"25","non_critical","LOB",2015,"Low",99.8178506375228
"26","critical","LOB",2015,"Low",99.8178506375228
"27","non_critical","LOB",2016,"Low",99.4977168949772
"28","critical","LOB",2016,"Low",99.4977168949772
"29","non_critical","ROB",2010,"Low",3.43646534992579
"30","critical","ROB",2010,"Low",3.43646534992579
"31","non_critical","ROB",2011,"Low",1.52550091074681
"32","critical","ROB",2011,"Low",1.52550091074681
"33","non_critical","ROB",2012,"Low",1.33561643835616
"34","critical","ROB",2012,"Low",1.33561643835616
"35","non_critical","ROB",2013,"Low",0.742009132420091
"36","critical","ROB",2013,"Low",0.742009132420091
"37","non_critical","ROB",2014,"Low",1.27853881278539
"38","critical","ROB",2014,"Low",1.27853881278539
"39","non_critical","ROB",2015,"Low",0.89936247723133
"40","critical","ROB",2015,"Low",0.89936247723133
"41","non_critical","ROB",2016,"Low",2.70547945205479
"42","critical","ROB",2016,"Low",2.70547945205479
"43","non_critical","MC",2010,"Medium",11.2912432926133
"44","critical","MC",2010,"Medium",11.2912432926133
"45","non_critical","MC",2011,"Medium",4.24635701275046
"46","critical","MC",2011,"Medium",4.24635701275046
"47","non_critical","MC",2012,"Medium",6.35844748858448
"48","critical","MC",2012,"Medium",6.35844748858448
"49","non_critical","MC",2013,"Medium",2.03196347031963
"50","critical","MC",2013,"Medium",2.03196347031963
"51","non_critical","MC",2014,"Medium",3.94977168949772
"52","critical","MC",2014,"Medium",3.94977168949772
"53","non_critical","MC",2015,"Medium",3.54052823315118
"54","critical","MC",2015,"Medium",3.54052823315118
"55","non_critical","MC",2016,"Medium",7.38584474885845
"56","critical","MC",2016,"Medium",7.38584474885845
"57","non_critical","LOB",2010,"Medium",14.2710355063363
"58","critical","LOB",2010,"Medium",14.2710355063363
"59","non_critical","LOB",2011,"Medium",5.87431693989071
"60","critical","LOB",2011,"Medium",5.87431693989071
"61","non_critical","LOB",2012,"Medium",7.54566210045662
"62","critical","LOB",2012,"Medium",7.54566210045662
"63","non_critical","LOB",2013,"Medium",2.42009132420091
"64","critical","LOB",2013,"Medium",2.42009132420091
"65","non_critical","LOB",2014,"Medium",4.64611872146119
"66","critical","LOB",2014,"Medium",4.64611872146119
"67","non_critical","LOB",2015,"Medium",4.45127504553734
"68","critical","LOB",2015,"Medium",4.45127504553734
"69","non_critical","LOB",2016,"Medium",9.52054794520548
"70","critical","LOB",2016,"Medium",9.52054794520548
"71","non_critical","ROB",2010,"Medium",2.08927959812764
"72","critical","ROB",2010,"Medium",2.08927959812764
"73","non_critical","ROB",2011,"Medium",1.00182149362477
"74","critical","ROB",2011,"Medium",1.00182149362477
"75","non_critical","ROB",2012,"Medium",0.69634703196347
"76","critical","ROB",2012,"Medium",0.69634703196347
"77","non_critical","ROB",2013,"Medium",0.319634703196347
"78","critical","ROB",2013,"Medium",0.319634703196347
"79","non_critical","ROB",2014,"Medium",0.742009132420091
"80","critical","ROB",2014,"Medium",0.742009132420091
"81","non_critical","ROB",2015,"Medium",0.52367941712204
"82","critical","ROB",2015,"Medium",0.52367941712204
"83","non_critical","ROB",2016,"Medium",1.88356164383562
"84","critical","ROB",2016,"Medium",1.88356164383562
"85","non_critical","MC",2010,"High",5.36590935038246
"86","critical","MC",2010,"High",5.36590935038246
"87","non_critical","MC",2011,"High",1.94672131147541
"88","critical","MC",2011,"High",1.94672131147541
"89","non_critical","MC",2012,"High",2.81963470319635
"90","critical","MC",2012,"High",2.81963470319635
"91","non_critical","MC",2013,"High",1.0958904109589
"92","critical","MC",2013,"High",1.0958904109589
"93","non_critical","MC",2014,"High",2.18036529680365
"94","critical","MC",2014,"High",2.18036529680365
"95","non_critical","MC",2015,"High",1.76457194899818
"96","critical","MC",2015,"High",1.76457194899818
"97","non_critical","MC",2016,"High",3.65296803652968
"98","critical","MC",2016,"High",3.65296803652968
"99","non_critical","LOB",2010,"High",7.36385432126955
"100","critical","LOB",2010,"High",7.36385432126955
"101","non_critical","LOB",2011,"High",2.55009107468124
"102","critical","LOB",2011,"High",2.55009107468124
"103","non_critical","LOB",2012,"High",3.0365296803653
"104","critical","LOB",2012,"High",3.0365296803653
"105","non_critical","LOB",2013,"High",1.28995433789954
"106","critical","LOB",2013,"High",1.28995433789954
"107","non_critical","LOB",2014,"High",2.54566210045662
"108","critical","LOB",2014,"High",2.54566210045662
"109","non_critical","LOB",2015,"High",2.10610200364299
"110","critical","LOB",2015,"High",2.10610200364299
"111","non_critical","LOB",2016,"High",5.04566210045662
"112","critical","LOB",2016,"High",5.04566210045662
"113","non_critical","ROB",2010,"High",1.18735015412718
"114","critical","ROB",2010,"High",1.18735015412718
"115","non_critical","ROB",2011,"High",0.478142076502732
"116","critical","ROB",2011,"High",0.478142076502732
"117","non_critical","ROB",2012,"High",0.308219178082192
"118","critical","ROB",2012,"High",0.308219178082192
"119","non_critical","ROB",2013,"High",0.159817351598174
"120","critical","ROB",2013,"High",0.159817351598174
"121","non_critical","ROB",2014,"High",0.490867579908676
"122","critical","ROB",2014,"High",0.490867579908676
"123","non_critical","ROB",2015,"High",0.341530054644809
"124","critical","ROB",2015,"High",0.341530054644809
"125","non_critical","ROB",2016,"High",1.11872146118721
"126","critical","ROB",2016,"High",1.11872146118721
"127","non_critical","MC",2010,"Low.Seasonal",97.0119913505013
"128","critical","MC",2010,"Low.Seasonal",99.0196078431373
"129","non_critical","MC",2011,"Low.Seasonal",98.7676056338028
"130","critical","MC",2011,"Low.Seasonal",99.1013071895425
"131","non_critical","MC",2012,"Low.Seasonal",94.1823899371069
"132","critical","MC",2012,"Low.Seasonal",99.1285403050109
"133","non_critical","MC",2013,"Low.Seasonal",67.2366352201258
"134","critical","MC",2013,"Low.Seasonal",66.2854030501089
"135","non_critical","MC",2014,"Low.Seasonal",87.9323899371069
"136","critical","MC",2014,"Low.Seasonal",77.0969498910675
"137","non_critical","MC",2015,"Low.Seasonal",76.6823161189358
"138","critical","MC",2015,"Low.Seasonal",83.4967320261438
"139","non_critical","MC",2016,"Low.Seasonal",94.3789308176101
"140","critical","MC",2016,"Low.Seasonal",92.9738562091503
"141","non_critical","LOB",2010,"Low.Seasonal",99.370945547474
"142","critical","LOB",2010,"Low.Seasonal",99.5098039215686
"143","non_critical","LOB",2011,"Low.Seasonal",99.8630672926448
"144","critical","LOB",2011,"Low.Seasonal",99.8366013071895
"145","non_critical","LOB",2012,"Low.Seasonal",99.9213836477987
"146","critical","LOB",2012,"Low.Seasonal",100
"147","non_critical","LOB",2013,"Low.Seasonal",99.8034591194968
"148","critical","LOB",2013,"Low.Seasonal",99.9455337690632
"149","non_critical","LOB",2014,"Low.Seasonal",99.7444968553459
"150","critical","LOB",2014,"Low.Seasonal",99.9727668845316
"151","non_critical","LOB",2015,"Low.Seasonal",99.7848200312989
"152","critical","LOB",2015,"Low.Seasonal",99.8638344226579
"153","non_critical","LOB",2016,"Low.Seasonal",99.1548742138365
"154","critical","LOB",2016,"Low.Seasonal",99.9727668845316
"155","non_critical","ROB",2010,"Low.Seasonal",4.71790839394535
"156","critical","ROB",2010,"Low.Seasonal",1.66122004357298
"157","non_critical","ROB",2011,"Low.Seasonal",1.44757433489828
"158","critical","ROB",2011,"Low.Seasonal",1.63398692810458
"159","non_critical","ROB",2012,"Low.Seasonal",1.9064465408805
"160","critical","ROB",2012,"Low.Seasonal",0.544662309368192
"161","non_critical","ROB",2013,"Low.Seasonal",0.864779874213837
"162","critical","ROB",2013,"Low.Seasonal",0.571895424836601
"163","non_critical","ROB",2014,"Low.Seasonal",1.72955974842767
"164","critical","ROB",2014,"Low.Seasonal",0.65359477124183
"165","non_critical","ROB",2015,"Low.Seasonal",1.15414710485133
"166","critical","ROB",2015,"Low.Seasonal",0.544662309368192
"167","non_critical","ROB",2016,"Low.Seasonal",4.59905660377358
"168","critical","ROB",2016,"Low.Seasonal",0.0816993464052288
"169","non_critical","MC",2010,"Medium.Seasonal",11.283664242186
"170","critical","MC",2010,"Medium.Seasonal",11.30174291939
"171","non_critical","MC",2011,"Medium.Seasonal",4.32316118935837
"172","critical","MC",2011,"Medium.Seasonal",4.13943355119826
"173","non_critical","MC",2012,"Medium.Seasonal",9.47327044025157
"174","critical","MC",2012,"Medium.Seasonal",2.04248366013072
"175","non_critical","MC",2013,"Medium.Seasonal",2.16194968553459
"176","critical","MC",2013,"Medium.Seasonal",1.85185185185185
"177","non_critical","MC",2014,"Medium.Seasonal",4.77594339622642
"178","critical","MC",2014,"Medium.Seasonal",2.80501089324619
"179","non_critical","MC",2015,"Medium.Seasonal",3.48200312989045
"180","critical","MC",2015,"Medium.Seasonal",3.62200435729847
"181","non_critical","MC",2016,"Medium.Seasonal",11.5566037735849
"182","critical","MC",2016,"Medium.Seasonal",1.60675381263617
"183","non_critical","LOB",2010,"Medium.Seasonal",15.1169648122666
"184","critical","LOB",2010,"Medium.Seasonal",13.099128540305
"185","non_critical","LOB",2011,"Medium.Seasonal",6.22065727699531
"186","critical","LOB",2011,"Medium.Seasonal",5.3921568627451
"187","non_critical","LOB",2012,"Medium.Seasonal",11.2028301886792
"188","critical","LOB",2012,"Medium.Seasonal",2.47821350762527
"189","non_critical","LOB",2013,"Medium.Seasonal",2.69261006289308
"190","critical","LOB",2013,"Medium.Seasonal",2.04248366013072
