"","water_year","Annual","Seasonal","season","position"
"1",2010,0.0685009704304144,0.0393159032828779,"non_critical","MC"
"2",2010,0.0685009704304144,0.108932461873638,"critcal","MC"
"3",2011,0.52367941712204,0.273865414710485,"non_critical","MC"
"4",2011,0.52367941712204,0.871459694989107,"critcal","MC"
"5",2012,0.0799086757990868,0.137578616352201,"non_critical","MC"
"6",2012,0.0799086757990868,0,"critcal","MC"
"7",2013,0.285388127853881,0.0393081761006289,"non_critical","MC"
"8",2013,0.285388127853881,0.626361655773421,"critcal","MC"
"9",2014,1.59817351598174,1.72955974842767,"non_critical","MC"
"10",2014,1.59817351598174,1.4161220043573,"critcal","MC"
"11",2015,11.6689435336976,12.2261345852895,"non_critical","MC"
"12",2015,11.6689435336976,10.8932461873638,"critcal","MC"
"13",2016,9.17808219178082,7.01650943396226,"non_critical","MC"
"14",2016,9.17808219178082,12.1732026143791,"critcal","MC"
"15",2010,2.72862198881151,1.29742480833497,"non_critical","LOB"
"16",2010,2.72862198881151,4.71132897603486,"critcal","LOB"
"17",2011,0.330145719489982,0.352112676056338,"non_critical","LOB"
"18",2011,0.330145719489982,0.299564270152505,"critcal","LOB"
"19",2012,0.559360730593607,0.884433962264151,"non_critical","LOB"
"20",2012,0.559360730593607,0.108932461873638,"critcal","LOB"
"21",2013,0.182648401826484,0.235849056603774,"non_critical","LOB"
"22",2013,0.182648401826484,0.108932461873638,"critcal","LOB"
"23",2014,0.365296803652968,0.452044025157233,"non_critical","LOB"
"24",2014,0.365296803652968,0.245098039215686,"critcal","LOB"
"25",2015,0.295992714025501,0.332550860719875,"non_critical","LOB"
"26",2015,0.295992714025501,0.245098039215686,"critcal","LOB"
"27",2016,0.650684931506849,0.943396226415094,"non_critical","LOB"
"28",2016,0.650684931506849,0.245098039215686,"critcal","LOB"
"29",2010,0.936179929215664,1.12050324356202,"non_critical","ROB"
"30",2010,0.936179929215664,0.68082788671024,"critcal","ROB"
"31",2011,0.182149362477231,0.176056338028169,"non_critical","ROB"
"32",2011,0.182149362477231,0.190631808278867,"critcal","ROB"
"33",2012,0.308219178082192,0.491352201257862,"non_critical","ROB"
"34",2012,0.308219178082192,0.0544662309368192,"critcal","ROB"
"35",2013,0.114155251141553,0.137578616352201,"non_critical","ROB"
"36",2013,0.114155251141553,0.0816993464052288,"critcal","ROB"
"37",2014,0.262557077625571,0.334119496855346,"non_critical","ROB"
"38",2014,0.262557077625571,0.163398692810458,"critcal","ROB"
"39",2015,0.239071038251366,0.195618153364632,"non_critical","ROB"
"40",2015,0.239071038251366,0.299564270152505,"critcal","ROB"
"41",2016,0.422374429223744,0.668238993710692,"non_critical","ROB"
"42",2016,0.422374429223744,0.0816993464052288,"critcal","ROB"
