"","water_year","position","Time_Period","value"
"1",2010,"MC","Annual",98.3673935380751
"2",2011,"MC","Annual",99.6584699453552
"3",2012,"MC","Annual",100
"4",2013,"MC","Annual",100
"5",2014,"MC","Annual",100
"6",2015,"MC","Annual",99.7723132969035
"7",2016,"MC","Annual",100
"8",2010,"LOB","Annual",7.54652357575066
"9",2011,"LOB","Annual",1.78734061930783
"10",2012,"LOB","Annual",2.19178082191781
"11",2013,"LOB","Annual",1.08447488584475
"12",2014,"LOB","Annual",1.80365296803653
"13",2015,"LOB","Annual",1.38888888888889
"14",2016,"LOB","Annual",3.73287671232877
"15",2010,"ROB","Annual",7.54652357575066
"16",2011,"ROB","Annual",1.78734061930783
"17",2012,"ROB","Annual",2.19178082191781
"18",2013,"ROB","Annual",1.08447488584475
"19",2014,"ROB","Annual",1.80365296803653
"20",2015,"ROB","Annual",1.38888888888889
"21",2016,"ROB","Annual",3.73287671232877
"22",2010,"MC","non_critical",99.3462271860528
"23",2011,"MC","non_critical",99.6187363834423
"24",2012,"MC","non_critical",100
"25",2013,"MC","non_critical",100
"26",2014,"MC","non_critical",100
"27",2015,"MC","non_critical",100
"28",2016,"MC","non_critical",100
"29",2010,"LOB","non_critical",1.90683737401253
"30",2011,"LOB","non_critical",1.25272331154684
"31",2012,"LOB","non_critical",1.38888888888889
"32",2013,"LOB","non_critical",0.490196078431373
"33",2014,"LOB","non_critical",0.571895424836601
"34",2015,"LOB","non_critical",0.0816993464052288
"35",2016,"LOB","non_critical",0.789760348583878
"36",2010,"ROB","non_critical",1.90683737401253
"37",2011,"ROB","non_critical",1.25272331154684
"38",2012,"ROB","non_critical",1.38888888888889
"39",2013,"ROB","non_critical",0.490196078431373
"40",2014,"ROB","non_critical",0.571895424836601
"41",2015,"ROB","non_critical",0.0816993464052288
"42",2016,"ROB","non_critical",0.789760348583878
"43",2010,"MC","critical",97.6611635220126
"44",2011,"MC","critical",99.6870109546166
"45",2012,"MC","critical",100
"46",2013,"MC","critical",100
"47",2014,"MC","critical",100
"48",2015,"MC","critical",99.6087636932707
"49",2016,"MC","critical",100
"50",2010,"LOB","critical",11.6155660377358
"51",2011,"LOB","critical",2.17136150234742
"52",2012,"LOB","critical",2.77122641509434
"53",2013,"LOB","critical",1.51336477987421
"54",2014,"LOB","critical",2.69261006289308
"55",2015,"LOB","critical",2.32785602503912
"56",2016,"LOB","critical",5.85691823899371
"57",2010,"ROB","critical",11.6155660377358
"58",2011,"ROB","critical",2.17136150234742
"59",2012,"ROB","critical",2.77122641509434
"60",2013,"ROB","critical",1.51336477987421
"61",2014,"ROB","critical",2.69261006289308
"62",2015,"ROB","critical",2.32785602503912
"63",2016,"ROB","critical",5.85691823899371
