"","water_year","position","Time_Period","value"
"1",2010,"MC","Annual",84.5530311679416
"2",2011,"MC","Annual",73.9981785063752
"3",2012,"MC","Annual",89.6803652968037
"4",2013,"MC","Annual",95.2511415525114
"5",2014,"MC","Annual",96.1986301369863
"6",2015,"MC","Annual",99.0892531876138
"7",2016,"MC","Annual",91.7808219178082
"8",2010,"MC","non_critical",82.7567420321438
"9",2011,"MC","non_critical",74.537037037037
"10",2012,"MC","non_critical",91.421568627451
"11",2013,"MC","non_critical",98.4749455337691
"12",2014,"MC","non_critical",96.0239651416122
"13",2015,"MC","non_critical",99.9455337690632
"14",2016,"MC","non_critical",97.4945533769063
"15",2010,"MC","critical",85.8490566037736
"16",2011,"MC","critical",73.6111111111111
"17",2012,"MC","critical",88.4237421383648
"18",2013,"MC","critical",92.9245283018868
"19",2014,"MC","critical",96.3246855345912
"20",2015,"MC","critical",98.4741784037559
"21",2016,"MC","critical",87.6572327044025
