"","water_year","position","Time_Period","value"
"1",2010,"MC","Annual",99.680292304179
"2",2011,"MC","Annual",99.8633879781421
"3",2012,"MC","Annual",98.7328767123288
"4",2013,"MC","Annual",98.675799086758
"5",2014,"MC","Annual",91.3470319634703
"6",2015,"MC","Annual",95.7081056466302
"7",2016,"MC","Annual",95.958904109589
"8",2010,"LOB","Annual",0.125599451929664
"9",2011,"LOB","Annual",0.0341530054644809
"10",2012,"LOB","Annual",0
"11",2013,"LOB","Annual",0.0570776255707763
"12",2014,"LOB","Annual",0.0342465753424658
"13",2015,"LOB","Annual",0.0341530054644809
"14",2016,"LOB","Annual",0.136986301369863
"15",2010,"ROB","Annual",0.0114181319936058
"16",2011,"ROB","Annual",0.011384335154827
"17",2012,"ROB","Annual",0
"18",2013,"ROB","Annual",0
"19",2014,"ROB","Annual",0
"20",2015,"ROB","Annual",0
"21",2016,"ROB","Annual",0.0228310502283105
"22",2010,"MC","non_critical",99.2370572207085
"23",2011,"MC","non_critical",100
"24",2012,"MC","non_critical",97.6307189542484
"25",2013,"MC","non_critical",98.1753812636166
"26",2014,"MC","non_critical",94.2265795206972
"27",2015,"MC","non_critical",97.8213507625272
"28",2016,"MC","non_critical",93.8997821350763
"29",2010,"LOB","non_critical",0
"30",2011,"LOB","non_critical",0.0272331154684096
"31",2012,"LOB","non_critical",0
"32",2013,"LOB","non_critical",0
"33",2014,"LOB","non_critical",0
"34",2015,"LOB","non_critical",0
"35",2016,"LOB","non_critical",0
"36",2010,"ROB","non_critical",0
"37",2011,"ROB","non_critical",0
"38",2012,"ROB","non_critical",0
"39",2013,"ROB","non_critical",0
"40",2014,"ROB","non_critical",0
"41",2015,"ROB","non_critical",0
"42",2016,"ROB","non_critical",0
"43",2010,"MC","critical",100
"44",2011,"MC","critical",99.7652582159624
"45",2012,"MC","critical",99.5283018867924
"46",2013,"MC","critical",99.0369496855346
"47",2014,"MC","critical",89.2688679245283
"48",2015,"MC","critical",94.1901408450704
"49",2016,"MC","critical",97.4449685534591
"50",2010,"LOB","critical",0.216194968553459
"51",2011,"LOB","critical",0.0391236306729265
"52",2012,"LOB","critical",0
"53",2013,"LOB","critical",0.0982704402515723
"54",2014,"LOB","critical",0.0589622641509434
"55",2015,"LOB","critical",0.0586854460093897
"56",2016,"LOB","critical",0.235849056603774
"57",2010,"ROB","critical",0.0196540880503145
"58",2011,"ROB","critical",0.0195618153364632
"59",2012,"ROB","critical",0
"60",2013,"ROB","critical",0
"61",2014,"ROB","critical",0
"62",2015,"ROB","critical",0
"63",2016,"ROB","critical",0.0393081761006289
