"","water_year","position","Time_Period","value"
"1",2010,"MC","Annual",84.0506907181185
"2",2011,"MC","Annual",67.7937158469945
"3",2012,"MC","Annual",69.7146118721461
"4",2013,"MC","Annual",31.5867579908676
"5",2014,"MC","Annual",32.5
"6",2015,"MC","Annual",17.2814207650273
"7",2016,"MC","Annual",46.8264840182648
"8",2010,"LOB","Annual",9.84130608516954
"9",2011,"LOB","Annual",2.29963570127505
"10",2012,"LOB","Annual",3.17351598173516
"11",2013,"LOB","Annual",1.32420091324201
"12",2014,"LOB","Annual",2.42009132420091
"13",2015,"LOB","Annual",2.06056466302368
"14",2016,"LOB","Annual",4.88584474885845
"15",2010,"ROB","Annual",9.85272291357461
"16",2011,"ROB","Annual",2.29963570127505
"17",2012,"ROB","Annual",3.18493150684932
"18",2013,"ROB","Annual",1.32420091324201
"19",2014,"ROB","Annual",2.43150684931507
"20",2015,"ROB","Annual",2.06056466302368
"21",2016,"ROB","Annual",4.88584474885845
"22",2010,"MC","non_critical",65.9765731408336
"23",2011,"MC","non_critical",57.0533769063181
"24",2012,"MC","non_critical",38.9433551198257
"25",2013,"MC","non_critical",18.9270152505447
"26",2014,"MC","non_critical",27.8050108932462
"27",2015,"MC","non_critical",11.5468409586057
"28",2016,"MC","non_critical",37.3366013071895
"29",2010,"LOB","non_critical",3.35058567147916
"30",2011,"LOB","non_critical",1.63398692810458
"31",2012,"LOB","non_critical",1.79738562091503
"32",2013,"LOB","non_critical",0.68082788671024
"33",2014,"LOB","non_critical",0.708061002178649
"34",2015,"LOB","non_critical",0.354030501089325
"35",2016,"LOB","non_critical",1.19825708061002
"36",2010,"ROB","non_critical",3.35058567147916
"37",2011,"ROB","non_critical",1.63398692810458
"38",2012,"ROB","non_critical",1.82461873638344
"39",2013,"ROB","non_critical",0.68082788671024
"40",2014,"ROB","non_critical",0.708061002178649
"41",2015,"ROB","non_critical",0.354030501089325
"42",2016,"ROB","non_critical",1.19825708061002
"43",2010,"MC","critical",97.0911949685535
"44",2011,"MC","critical",75.5086071987481
"45",2012,"MC","critical",91.9221698113208
"46",2013,"MC","critical",40.7232704402516
"47",2014,"MC","critical",35.8883647798742
"48",2015,"MC","critical",21.4006259780908
"49",2016,"MC","critical",53.6753144654088
"50",2010,"LOB","critical",14.5243710691824
"51",2011,"LOB","critical",2.77777777777778
"52",2012,"LOB","critical",4.16666666666667
"53",2013,"LOB","critical",1.78852201257862
"54",2014,"LOB","critical",3.65566037735849
"55",2015,"LOB","critical",3.28638497652582
"56",2016,"LOB","critical",7.54716981132075
"57",2010,"ROB","critical",14.5440251572327
"58",2011,"ROB","critical",2.77777777777778
"59",2012,"ROB","critical",4.16666666666667
"60",2013,"ROB","critical",1.78852201257862
"61",2014,"ROB","critical",3.67531446540881
"62",2015,"ROB","critical",3.28638497652582
"63",2016,"ROB","critical",7.54716981132075
