"","season","position","water_year","Node","Probability_Threshold","value","Species","Life_Stage","Hydraulic"
"1","non_critical","LOB",2010,"F34D","Low",0,"Willow","Seedling","Depth"
"2","critical","LOB",2010,"F34D","Low",0,"Willow","Seedling","Depth"
"3","non_critical","LOB",2011,"F34D","Low",0,"Willow","Seedling","Depth"
"4","critical","LOB",2011,"F34D","Low",0,"Willow","Seedling","Depth"
"5","non_critical","LOB",2012,"F34D","Low",0,"Willow","Seedling","Depth"
"6","critical","LOB",2012,"F34D","Low",0,"Willow","Seedling","Depth"
"7","non_critical","LOB",2013,"F34D","Low",0,"Willow","Seedling","Depth"
"8","critical","LOB",2013,"F34D","Low",0,"Willow","Seedling","Depth"
"9","non_critical","LOB",2014,"F34D","Low",0,"Willow","Seedling","Depth"
"10","critical","LOB",2014,"F34D","Low",0,"Willow","Seedling","Depth"
"11","non_critical","LOB",2015,"F34D","Low",0,"Willow","Seedling","Depth"
"12","critical","LOB",2015,"F34D","Low",0,"Willow","Seedling","Depth"
"13","non_critical","LOB",2016,"F34D","Low",0,"Willow","Seedling","Depth"
"14","critical","LOB",2016,"F34D","Low",0,"Willow","Seedling","Depth"
"15","non_critical","MC",2010,"F34D","Low",10.6176504167142,"Willow","Seedling","Depth"
"16","critical","MC",2010,"F34D","Low",10.6176504167142,"Willow","Seedling","Depth"
"17","non_critical","MC",2011,"F34D","Low",3.16484517304189,"Willow","Seedling","Depth"
"18","critical","MC",2011,"F34D","Low",3.16484517304189,"Willow","Seedling","Depth"
"19","non_critical","MC",2012,"F34D","Low",3.92694063926941,"Willow","Seedling","Depth"
"20","critical","MC",2012,"F34D","Low",3.92694063926941,"Willow","Seedling","Depth"
"21","non_critical","MC",2013,"F34D","Low",1.60958904109589,"Willow","Seedling","Depth"
"22","critical","MC",2013,"F34D","Low",1.60958904109589,"Willow","Seedling","Depth"
"23","non_critical","MC",2014,"F34D","Low",3.162100456621,"Willow","Seedling","Depth"
"24","critical","MC",2014,"F34D","Low",3.162100456621,"Willow","Seedling","Depth"
"25","non_critical","MC",2015,"F34D","Low",2.7436247723133,"Willow","Seedling","Depth"
"26","critical","MC",2015,"F34D","Low",2.7436247723133,"Willow","Seedling","Depth"
"27","non_critical","MC",2016,"F34D","Low",6.14155251141552,"Willow","Seedling","Depth"
"28","critical","MC",2016,"F34D","Low",6.14155251141552,"Willow","Seedling","Depth"
"29","non_critical","ROB",2010,"F34D","Low",0,"Willow","Seedling","Depth"
"30","critical","ROB",2010,"F34D","Low",0,"Willow","Seedling","Depth"
"31","non_critical","ROB",2011,"F34D","Low",0,"Willow","Seedling","Depth"
"32","critical","ROB",2011,"F34D","Low",0,"Willow","Seedling","Depth"
"33","non_critical","ROB",2012,"F34D","Low",0,"Willow","Seedling","Depth"
"34","critical","ROB",2012,"F34D","Low",0,"Willow","Seedling","Depth"
"35","non_critical","ROB",2013,"F34D","Low",0,"Willow","Seedling","Depth"
"36","critical","ROB",2013,"F34D","Low",0,"Willow","Seedling","Depth"
"37","non_critical","ROB",2014,"F34D","Low",0,"Willow","Seedling","Depth"
"38","critical","ROB",2014,"F34D","Low",0,"Willow","Seedling","Depth"
"39","non_critical","ROB",2015,"F34D","Low",0,"Willow","Seedling","Depth"
"40","critical","ROB",2015,"F34D","Low",0,"Willow","Seedling","Depth"
"41","non_critical","ROB",2016,"F34D","Low",0,"Willow","Seedling","Depth"
"42","critical","ROB",2016,"F34D","Low",0,"Willow","Seedling","Depth"
"43","non_critical","LOB",2010,"F34D","Medium",0,"Willow","Seedling","Depth"
"44","critical","LOB",2010,"F34D","Medium",0,"Willow","Seedling","Depth"
"45","non_critical","LOB",2011,"F34D","Medium",0,"Willow","Seedling","Depth"
"46","critical","LOB",2011,"F34D","Medium",0,"Willow","Seedling","Depth"
"47","non_critical","LOB",2012,"F34D","Medium",0,"Willow","Seedling","Depth"
"48","critical","LOB",2012,"F34D","Medium",0,"Willow","Seedling","Depth"
"49","non_critical","LOB",2013,"F34D","Medium",0,"Willow","Seedling","Depth"
"50","critical","LOB",2013,"F34D","Medium",0,"Willow","Seedling","Depth"
"51","non_critical","LOB",2014,"F34D","Medium",0,"Willow","Seedling","Depth"
"52","critical","LOB",2014,"F34D","Medium",0,"Willow","Seedling","Depth"
"53","non_critical","LOB",2015,"F34D","Medium",0,"Willow","Seedling","Depth"
"54","critical","LOB",2015,"F34D","Medium",0,"Willow","Seedling","Depth"
"55","non_critical","LOB",2016,"F34D","Medium",0,"Willow","Seedling","Depth"
"56","critical","LOB",2016,"F34D","Medium",0,"Willow","Seedling","Depth"
"57","non_critical","MC",2010,"F34D","Medium",4.4297294211668,"Willow","Seedling","Depth"
"58","critical","MC",2010,"F34D","Medium",4.4297294211668,"Willow","Seedling","Depth"
"59","non_critical","MC",2011,"F34D","Medium",1.74180327868852,"Willow","Seedling","Depth"
"60","critical","MC",2011,"F34D","Medium",1.74180327868852,"Willow","Seedling","Depth"
"61","non_critical","MC",2012,"F34D","Medium",1.81506849315068,"Willow","Seedling","Depth"
"62","critical","MC",2012,"F34D","Medium",1.81506849315068,"Willow","Seedling","Depth"
"63","non_critical","MC",2013,"F34D","Medium",1.01598173515982,"Willow","Seedling","Depth"
"64","critical","MC",2013,"F34D","Medium",1.01598173515982,"Willow","Seedling","Depth"
"65","non_critical","MC",2014,"F34D","Medium",1.67808219178082,"Willow","Seedling","Depth"
"66","critical","MC",2014,"F34D","Medium",1.67808219178082,"Willow","Seedling","Depth"
"67","non_critical","MC",2015,"F34D","Medium",1.38888888888889,"Willow","Seedling","Depth"
"68","critical","MC",2015,"F34D","Medium",1.38888888888889,"Willow","Seedling","Depth"
"69","non_critical","MC",2016,"F34D","Medium",3.49315068493151,"Willow","Seedling","Depth"
"70","critical","MC",2016,"F34D","Medium",3.49315068493151,"Willow","Seedling","Depth"
"71","non_critical","ROB",2010,"F34D","Medium",0,"Willow","Seedling","Depth"
"72","critical","ROB",2010,"F34D","Medium",0,"Willow","Seedling","Depth"
"73","non_critical","ROB",2011,"F34D","Medium",0,"Willow","Seedling","Depth"
"74","critical","ROB",2011,"F34D","Medium",0,"Willow","Seedling","Depth"
"75","non_critical","ROB",2012,"F34D","Medium",0,"Willow","Seedling","Depth"
"76","critical","ROB",2012,"F34D","Medium",0,"Willow","Seedling","Depth"
"77","non_critical","ROB",2013,"F34D","Medium",0,"Willow","Seedling","Depth"
"78","critical","ROB",2013,"F34D","Medium",0,"Willow","Seedling","Depth"
"79","non_critical","ROB",2014,"F34D","Medium",0,"Willow","Seedling","Depth"
"80","critical","ROB",2014,"F34D","Medium",0,"Willow","Seedling","Depth"
"81","non_critical","ROB",2015,"F34D","Medium",0,"Willow","Seedling","Depth"
"82","critical","ROB",2015,"F34D","Medium",0,"Willow","Seedling","Depth"
"83","non_critical","ROB",2016,"F34D","Medium",0,"Willow","Seedling","Depth"
"84","critical","ROB",2016,"F34D","Medium",0,"Willow","Seedling","Depth"
"85","non_critical","LOB",2010,"F34D","High",0,"Willow","Seedling","Depth"
"86","critical","LOB",2010,"F34D","High",0,"Willow","Seedling","Depth"
"87","non_critical","LOB",2011,"F34D","High",0,"Willow","Seedling","Depth"
"88","critical","LOB",2011,"F34D","High",0,"Willow","Seedling","Depth"
"89","non_critical","LOB",2012,"F34D","High",0,"Willow","Seedling","Depth"
"90","critical","LOB",2012,"F34D","High",0,"Willow","Seedling","Depth"
"91","non_critical","LOB",2013,"F34D","High",0,"Willow","Seedling","Depth"
"92","critical","LOB",2013,"F34D","High",0,"Willow","Seedling","Depth"
"93","non_critical","LOB",2014,"F34D","High",0,"Willow","Seedling","Depth"
