"","LOB","MC","ROB","Species","Life_Stage","Hydraulic","Node"
"1",NA,848.858054317875,NA,"Willow","Seedling","Depth","LA13"
"2",NA,NA,NA,"Willow","Seedling","Depth","LA13"
"3",NA,NA,NA,"Willow","Seedling","Depth","LA13"
"4",NA,NA,NA,"Willow","Seedling","Depth","LA13"
"5",NA,1564.58706829732,NA,"Willow","Seedling","Depth","LA13"
"6",NA,NA,NA,"Willow","Seedling","Depth","LA13"
"7",NA,NA,NA,"Willow","Seedling","Depth","LA13"
"8",NA,NA,NA,"Willow","Seedling","Depth","LA13"
"9",NA,2127.47343752233,NA,"Willow","Seedling","Depth","LA13"
"10",NA,NA,NA,"Willow","Seedling","Depth","LA13"
"11",NA,NA,NA,"Willow","Seedling","Depth","LA13"
"12",NA,NA,NA,"Willow","Seedling","Depth","LA13"
