"","season","position","water_year","Node","Season","value","Species","Life_Stage","Hydraulic"
"1","non_critical","LOB",2010,"F37B_High","Seasonal",100,"Willow","Germination","Depth"
"2","critical","LOB",2010,"F37B_High","Seasonal",100,"Willow","Germination","Depth"
"3","non_critical","LOB",2011,"F37B_High","Seasonal",100,"Willow","Germination","Depth"
"4","critical","LOB",2011,"F37B_High","Seasonal",100,"Willow","Germination","Depth"
"5","non_critical","LOB",2012,"F37B_High","Seasonal",100,"Willow","Germination","Depth"
"6","critical","LOB",2012,"F37B_High","Seasonal",100,"Willow","Germination","Depth"
"7","non_critical","LOB",2013,"F37B_High","Seasonal",100,"Willow","Germination","Depth"
"8","critical","LOB",2013,"F37B_High","Seasonal",100,"Willow","Germination","Depth"
"9","non_critical","LOB",2014,"F37B_High","Seasonal",100,"Willow","Germination","Depth"
"10","critical","LOB",2014,"F37B_High","Seasonal",100,"Willow","Germination","Depth"
"11","non_critical","LOB",2015,"F37B_High","Seasonal",100,"Willow","Germination","Depth"
"12","critical","LOB",2015,"F37B_High","Seasonal",100,"Willow","Germination","Depth"
"13","non_critical","LOB",2016,"F37B_High","Seasonal",100,"Willow","Germination","Depth"
"14","critical","LOB",2016,"F37B_High","Seasonal",100,"Willow","Germination","Depth"
"15","non_critical","MC",2010,"F37B_High","Seasonal",20.861002976872,"Willow","Germination","Depth"
"16","critical","MC",2010,"F37B_High","Seasonal",1.1384335154827,"Willow","Germination","Depth"
"17","non_critical","MC",2011,"F37B_High","Seasonal",9.63114754098361,"Willow","Germination","Depth"
"18","critical","MC",2011,"F37B_High","Seasonal",2.89162112932605,"Willow","Germination","Depth"
"19","non_critical","MC",2012,"F37B_High","Seasonal",12.3626373626374,"Willow","Germination","Depth"
"20","critical","MC",2012,"F37B_High","Seasonal",0.910746812386157,"Willow","Germination","Depth"
"21","non_critical","MC",2013,"F37B_High","Seasonal",5.79212454212454,"Willow","Germination","Depth"
"22","critical","MC",2013,"F37B_High","Seasonal",0.728597449908925,"Willow","Germination","Depth"
"23","non_critical","MC",2014,"F37B_High","Seasonal",8.72252747252747,"Willow","Germination","Depth"
"24","critical","MC",2014,"F37B_High","Seasonal",2.18579234972678,"Willow","Germination","Depth"
"25","non_critical","MC",2015,"F37B_High","Seasonal",8.26502732240437,"Willow","Germination","Depth"
"26","critical","MC",2015,"F37B_High","Seasonal",1.29781420765027,"Willow","Germination","Depth"
"27","non_critical","MC",2016,"F37B_High","Seasonal",20.3525641025641,"Willow","Germination","Depth"
"28","critical","MC",2016,"F37B_High","Seasonal",1.29781420765027,"Willow","Germination","Depth"
"29","non_critical","ROB",2010,"F37B_High","Seasonal",100,"Willow","Germination","Depth"
"30","critical","ROB",2010,"F37B_High","Seasonal",100,"Willow","Germination","Depth"
"31","non_critical","ROB",2011,"F37B_High","Seasonal",100,"Willow","Germination","Depth"
"32","critical","ROB",2011,"F37B_High","Seasonal",100,"Willow","Germination","Depth"
"33","non_critical","ROB",2012,"F37B_High","Seasonal",100,"Willow","Germination","Depth"
"34","critical","ROB",2012,"F37B_High","Seasonal",100,"Willow","Germination","Depth"
"35","non_critical","ROB",2013,"F37B_High","Seasonal",100,"Willow","Germination","Depth"
"36","critical","ROB",2013,"F37B_High","Seasonal",100,"Willow","Germination","Depth"
"37","non_critical","ROB",2014,"F37B_High","Seasonal",100,"Willow","Germination","Depth"
"38","critical","ROB",2014,"F37B_High","Seasonal",100,"Willow","Germination","Depth"
"39","non_critical","ROB",2015,"F37B_High","Seasonal",100,"Willow","Germination","Depth"
"40","critical","ROB",2015,"F37B_High","Seasonal",100,"Willow","Germination","Depth"
"41","non_critical","ROB",2016,"F37B_High","Seasonal",100,"Willow","Germination","Depth"
"42","critical","ROB",2016,"F37B_High","Seasonal",100,"Willow","Germination","Depth"
