"","Node","Cladophora_Adult","Steelhead_Migration","Typha_Adult","Willow_Seedling","Willow_Adult","Typha_Seedling","Steelhead_Smolts","Willow_Germination","Santa Ana Sucker_Juvenile","SAS_Adult","SAS_Fry"
"1","11101250","Low","Partial","Partial","High","Low","Low","High","Low","Partial","Partial","Low"
"2","F300","High","High","Partial","Partial","Low","Partial","Low","Low","Partial","Partial","Low"
"3","F319","Partial","Low","Partial","High","Low","Partial","Partial","Low","High","Partial","Low"
"4","F34D","Low","Low","Partial","High","Low","Partial","Low","Low","Partial","Partial","Low"
"5","F37B_High","Low","Partial","Partial","High","Partial","Low","Partial","Low",NA,"Low","Partial"
"6","F37B_Low","Low","Low","Partial","High","Low","Partial","Low","Low",NA,"Partial","Low"
"7","F45B","Low","Low","Low","High","Partial","Low","Low","Low","Low","Partial","Low"
"8","F57C","High","Low","Partial","High","Low","Partial","Partial","Low","Partial","Partial","Low"
"9","GLEN","Partial","Low","Partial","High","Low","Partial","High","Low","High","Partial","Low"
"10","LA1","Low","Partial","Partial","High","Low","Partial","High","Low","Partial","Partial","Low"
"11","LA11","High","Low","Low","High","Low","Partial","Low","Low","Partial","Partial","Low"
"12","LA13","Low","Low","Partial","High","Low","Partial","Low","Low","Partial","Partial","Low"
"13","LA14","High","Low","Partial","High","Low","Partial","Low","Low","Partial","Partial","Low"
"14","LA2","Low","High","Partial","High","Low","Low","High","Low","Partial","Partial","Low"
"15","LA20_2","Partial","Low","Partial","High","Low","Partial","Low","Low",NA,"Partial","Low"
"16","LA20","Low","Partial","Partial","Partial","Low","Partial","Partial","Low","Partial","Partial","Partial"
"17","LA3","Low","High","Partial","High","Low","Partial","High","Low","Partial","Partial","Low"
"18","LA8","High","Partial","Partial","High","Low","Partial","Low","Low","High","Partial","Low"
"19","F37BHigh",NA,NA,NA,NA,NA,NA,NA,NA,"Low",NA,NA
"20","F37BLow",NA,NA,NA,NA,NA,NA,NA,NA,"Low",NA,NA
"21","LA202",NA,NA,NA,NA,NA,NA,NA,NA,"High",NA,NA
