"","LOB","MC","ROB"
"Low_Prob_1",24.5054531097412,24.5054531097412,24.5054531097412
"Low_Prob_2",40888.7421875,40888.7421875,40888.7421875
"Low_Prob_3",NA,NA,NA
"Low_Prob_4",NA,NA,NA
"Med_Prob_1",714.18124237844,300.536237898439,2264.16919825723
"Med_Prob_2",4197.75083289283,2045.92765071139,6735.31254548435
"Med_Prob_3",NA,NA,NA
"Med_Prob_4",NA,NA,NA
"High_Prob_1",1175.87856686711,512.605289521605,3039.71215341943
"High_Prob_2",3435.04280445296,1642.67811538957,5912.13199009299
"High_Prob_3",NA,NA,NA
"High_Prob_4",NA,NA,NA
