"","LOB","MC","ROB"
"Low_Prob_1",7.66123008728027,7.66123008728027,7.66123008728027
"Low_Prob_2",39231.75390625,39231.75390625,39231.75390625
"Low_Prob_3",NA,NA,NA
"Low_Prob_4",NA,NA,NA
"Med_Prob_1",309.532438644544,633.250293636978,208.019902451589
"Med_Prob_2",1874.09393260164,2733.77317437428,1413.59652407958
"Med_Prob_3",NA,NA,NA
"Med_Prob_4",NA,NA,NA
"High_Prob_1",511.810450347254,956.603189722572,353.032608728933
"High_Prob_2",1526.42293993628,2316.82175030382,1132.88608321954
"High_Prob_3",NA,NA,NA
"High_Prob_4",NA,NA,NA
