"","year","season","position","water_year","Probability_Threshold","value"
"1",2010,"summer","MC",2010,"Low",100
"2",2010,"winter","MC",2010,"Low",100
"3",2011,"winter","MC",2010,"Low",100
"4",2011,"summer","MC",2010,"Low",100
"5",2011,"summer","MC",2011,"Low",100
"6",2011,"winter","MC",2011,"Low",100
"7",2012,"winter","MC",2011,"Low",100
"8",2012,"summer","MC",2011,"Low",100
"9",2012,"summer","MC",2012,"Low",100
"10",2012,"winter","MC",2012,"Low",100
"11",2013,"winter","MC",2012,"Low",100
"12",2013,"summer","MC",2012,"Low",100
"13",2013,"summer","MC",2013,"Low",100
"14",2013,"winter","MC",2013,"Low",100
"15",2014,"winter","MC",2013,"Low",100
"16",2014,"summer","MC",2013,"Low",100
"17",2014,"summer","MC",2014,"Low",100
"18",2014,"winter","MC",2014,"Low",100
"19",2015,"winter","MC",2014,"Low",100
"20",2015,"summer","MC",2014,"Low",100
"21",2015,"summer","MC",2015,"Low",100
"22",2015,"winter","MC",2015,"Low",100
"23",2016,"winter","MC",2015,"Low",100
"24",2016,"summer","MC",2015,"Low",100
"25",2016,"summer","MC",2016,"Low",100
"26",2016,"winter","MC",2016,"Low",100
"27",2017,"winter","MC",2016,"Low",100
"28",2017,"summer","MC",2016,"Low",100
"29",2010,"summer","LOB",2010,"Low",100
"30",2010,"winter","LOB",2010,"Low",100
"31",2011,"winter","LOB",2010,"Low",100
"32",2011,"summer","LOB",2010,"Low",100
"33",2011,"summer","LOB",2011,"Low",100
"34",2011,"winter","LOB",2011,"Low",100
"35",2012,"winter","LOB",2011,"Low",100
"36",2012,"summer","LOB",2011,"Low",100
"37",2012,"summer","LOB",2012,"Low",100
"38",2012,"winter","LOB",2012,"Low",100
"39",2013,"winter","LOB",2012,"Low",100
"40",2013,"summer","LOB",2012,"Low",100
"41",2013,"summer","LOB",2013,"Low",100
"42",2013,"winter","LOB",2013,"Low",100
"43",2014,"winter","LOB",2013,"Low",100
"44",2014,"summer","LOB",2013,"Low",100
"45",2014,"summer","LOB",2014,"Low",100
"46",2014,"winter","LOB",2014,"Low",100
"47",2015,"winter","LOB",2014,"Low",100
"48",2015,"summer","LOB",2014,"Low",100
"49",2015,"summer","LOB",2015,"Low",100
"50",2015,"winter","LOB",2015,"Low",100
"51",2016,"winter","LOB",2015,"Low",100
"52",2016,"summer","LOB",2015,"Low",100
"53",2016,"summer","LOB",2016,"Low",100
"54",2016,"winter","LOB",2016,"Low",100
"55",2017,"winter","LOB",2016,"Low",100
"56",2017,"summer","LOB",2016,"Low",100
"57",2010,"summer","ROB",2010,"Low",100
"58",2010,"winter","ROB",2010,"Low",100
"59",2011,"winter","ROB",2010,"Low",100
"60",2011,"summer","ROB",2010,"Low",100
"61",2011,"summer","ROB",2011,"Low",100
"62",2011,"winter","ROB",2011,"Low",100
"63",2012,"winter","ROB",2011,"Low",100
"64",2012,"summer","ROB",2011,"Low",100
"65",2012,"summer","ROB",2012,"Low",100
"66",2012,"winter","ROB",2012,"Low",100
"67",2013,"winter","ROB",2012,"Low",100
"68",2013,"summer","ROB",2012,"Low",100
"69",2013,"summer","ROB",2013,"Low",100
"70",2013,"winter","ROB",2013,"Low",100
"71",2014,"winter","ROB",2013,"Low",100
"72",2014,"summer","ROB",2013,"Low",100
"73",2014,"summer","ROB",2014,"Low",100
"74",2014,"winter","ROB",2014,"Low",100
"75",2015,"winter","ROB",2014,"Low",100
"76",2015,"summer","ROB",2014,"Low",100
"77",2015,"summer","ROB",2015,"Low",100
"78",2015,"winter","ROB",2015,"Low",100
"79",2016,"winter","ROB",2015,"Low",100
"80",2016,"summer","ROB",2015,"Low",100
"81",2016,"summer","ROB",2016,"Low",100
"82",2016,"winter","ROB",2016,"Low",100
"83",2017,"winter","ROB",2016,"Low",100
"84",2017,"summer","ROB",2016,"Low",100
"85",2010,"summer","MC",2010,"Medium",12.9352665829433
"86",2010,"winter","MC",2010,"Medium",12.9352665829433
"87",2011,"winter","MC",2010,"Medium",12.9352665829433
"88",2011,"summer","MC",2010,"Medium",12.9352665829433
"89",2011,"summer","MC",2011,"Medium",2.86885245901639
"90",2011,"winter","MC",2011,"Medium",2.86885245901639
"91",2012,"winter","MC",2011,"Medium",2.86885245901639
"92",2012,"summer","MC",2011,"Medium",2.86885245901639
"93",2012,"summer","MC",2012,"Medium",4.73744292237443
"94",2012,"winter","MC",2012,"Medium",4.73744292237443
"95",2013,"winter","MC",2012,"Medium",4.73744292237443
"96",2013,"summer","MC",2012,"Medium",4.73744292237443
"97",2013,"summer","MC",2013,"Medium",1.33561643835616
"98",2013,"winter","MC",2013,"Medium",1.33561643835616
"99",2014,"winter","MC",2013,"Medium",1.33561643835616
"100",2014,"summer","MC",2013,"Medium",1.33561643835616
"101",2014,"summer","MC",2014,"Medium",2.59132420091324
"102",2014,"winter","MC",2014,"Medium",2.59132420091324
"103",2015,"winter","MC",2014,"Medium",2.59132420091324
"104",2015,"summer","MC",2014,"Medium",2.59132420091324
"105",2015,"summer","MC",2015,"Medium",2.50455373406193
"106",2015,"winter","MC",2015,"Medium",2.50455373406193
"107",2016,"winter","MC",2015,"Medium",2.50455373406193
"108",2016,"summer","MC",2015,"Medium",2.50455373406193
"109",2016,"summer","MC",2016,"Medium",6.22146118721461
"110",2016,"winter","MC",2016,"Medium",6.22146118721461
"111",2017,"winter","MC",2016,"Medium",6.22146118721461
"112",2017,"summer","MC",2016,"Medium",6.22146118721461
"113",2010,"summer","LOB",2010,"Medium",4.5781481904327
"114",2010,"winter","LOB",2010,"Medium",4.5781481904327
"115",2011,"winter","LOB",2010,"Medium",4.5781481904327
"116",2011,"summer","LOB",2010,"Medium",4.5781481904327
"117",2011,"summer","LOB",2011,"Medium",1.11566484517304
"118",2011,"winter","LOB",2011,"Medium",1.11566484517304
"119",2012,"winter","LOB",2011,"Medium",1.11566484517304
"120",2012,"summer","LOB",2011,"Medium",1.11566484517304
"121",2012,"summer","LOB",2012,"Medium",1.86073059360731
"122",2012,"winter","LOB",2012,"Medium",1.86073059360731
"123",2013,"winter","LOB",2012,"Medium",1.86073059360731
"124",2013,"summer","LOB",2012,"Medium",1.86073059360731
"125",2013,"summer","LOB",2013,"Medium",0.821917808219178
"126",2013,"winter","LOB",2013,"Medium",0.821917808219178
"127",2014,"winter","LOB",2013,"Medium",0.821917808219178
"128",2014,"summer","LOB",2013,"Medium",0.821917808219178
"129",2014,"summer","LOB",2014,"Medium",1.47260273972603
"130",2014,"winter","LOB",2014,"Medium",1.47260273972603
"131",2015,"winter","LOB",2014,"Medium",1.47260273972603
"132",2015,"summer","LOB",2014,"Medium",1.47260273972603
"133",2015,"summer","LOB",2015,"Medium",1.1384335154827
"134",2015,"winter","LOB",2015,"Medium",1.1384335154827
"135",2016,"winter","LOB",2015,"Medium",1.1384335154827
"136",2016,"summer","LOB",2015,"Medium",1.1384335154827
"137",2016,"summer","LOB",2016,"Medium",2.78538812785388
"138",2016,"winter","LOB",2016,"Medium",2.78538812785388
"139",2017,"winter","LOB",2016,"Medium",2.78538812785388
"140",2017,"summer","LOB",2016,"Medium",2.78538812785388
"141",2010,"summer","ROB",2010,"Medium",4.62381550405297
"142",2010,"winter","ROB",2010,"Medium",4.62381550405297
"143",2011,"winter","ROB",2010,"Medium",4.62381550405297
"144",2011,"summer","ROB",2010,"Medium",4.62381550405297
"145",2011,"summer","ROB",2011,"Medium",1.11566484517304
"146",2011,"winter","ROB",2011,"Medium",1.11566484517304
"147",2012,"winter","ROB",2011,"Medium",1.11566484517304
"148",2012,"summer","ROB",2011,"Medium",1.11566484517304
"149",2012,"summer","ROB",2012,"Medium",1.84931506849315
"150",2012,"winter","ROB",2012,"Medium",1.84931506849315
"151",2013,"winter","ROB",2012,"Medium",1.84931506849315
"152",2013,"summer","ROB",2012,"Medium",1.84931506849315
"153",2013,"summer","ROB",2013,"Medium",0.821917808219178
"154",2013,"winter","ROB",2013,"Medium",0.821917808219178
"155",2014,"winter","ROB",2013,"Medium",0.821917808219178
"156",2014,"summer","ROB",2013,"Medium",0.821917808219178
"157",2014,"summer","ROB",2014,"Medium",1.47260273972603
"158",2014,"winter","ROB",2014,"Medium",1.47260273972603
"159",2015,"winter","ROB",2014,"Medium",1.47260273972603
"160",2015,"summer","ROB",2014,"Medium",1.47260273972603
"161",2015,"summer","ROB",2015,"Medium",1.14981785063752
"162",2015,"winter","ROB",2015,"Medium",1.14981785063752
"163",2016,"winter","ROB",2015,"Medium",1.14981785063752
"164",2016,"summer","ROB",2015,"Medium",1.14981785063752
"165",2016,"summer","ROB",2016,"Medium",2.77397260273973
"166",2016,"winter","ROB",2016,"Medium",2.77397260273973
"167",2017,"winter","ROB",2016,"Medium",2.77397260273973
"168",2017,"summer","ROB",2016,"Medium",2.77397260273973
"169",2010,"summer","MC",2010,"High",6.73592875899075
"170",2010,"winter","MC",2010,"High",6.73592875899075
"171",2011,"winter","MC",2010,"High",6.73592875899075
"172",2011,"summer","MC",2010,"High",6.73592875899075
"173",2011,"summer","MC",2011,"High",1.183970856102
"174",2011,"winter","MC",2011,"High",1.183970856102
"175",2012,"winter","MC",2011,"High",1.183970856102
"176",2012,"summer","MC",2011,"High",1.183970856102
"177",2012,"summer","MC",2012,"High",1.98630136986301
"178",2012,"winter","MC",2012,"High",1.98630136986301
"179",2013,"winter","MC",2012,"High",1.98630136986301
"180",2013,"summer","MC",2012,"High",1.98630136986301
"181",2013,"summer","MC",2013,"High",0.616438356164384
"182",2013,"winter","MC",2013,"High",0.616438356164384
"183",2014,"winter","MC",2013,"High",0.616438356164384
"184",2014,"summer","MC",2013,"High",0.616438356164384
"185",2014,"summer","MC",2014,"High",1.28995433789954
"186",2014,"winter","MC",2014,"High",1.28995433789954
"187",2015,"winter","MC",2014,"High",1.28995433789954
"188",2015,"summer","MC",2014,"High",1.28995433789954
"189",2015,"summer","MC",2015,"High",1.27504553734062
"190",2015,"winter","MC",2015,"High",1.27504553734062
"191",2016,"winter","MC",2015,"High",1.27504553734062
"192",2016,"summer","MC",2015,"High",1.27504553734062
"193",2016,"summer","MC",2016,"High",2.52283105022831
"194",2016,"winter","MC",2016,"High",2.52283105022831
"195",2017,"winter","MC",2016,"High",2.52283105022831
"196",2017,"summer","MC",2016,"High",2.52283105022831
"197",2010,"summer","LOB",2010,"High",1.81527571640598
"198",2010,"winter","LOB",2010,"High",1.81527571640598
"199",2011,"winter","LOB",2010,"High",1.81527571640598
"200",2011,"summer","LOB",2010,"High",1.81527571640598
"201",2011,"summer","LOB",2011,"High",0.603369763205829
"202",2011,"winter","LOB",2011,"High",0.603369763205829
"203",2012,"winter","LOB",2011,"High",0.603369763205829
"204",2012,"summer","LOB",2011,"High",0.603369763205829
"205",2012,"summer","LOB",2012,"High",1.06164383561644
"206",2012,"winter","LOB",2012,"High",1.06164383561644
"207",2013,"winter","LOB",2012,"High",1.06164383561644
"208",2013,"summer","LOB",2012,"High",1.06164383561644
"209",2013,"summer","LOB",2013,"High",0.536529680365297
"210",2013,"winter","LOB",2013,"High",0.536529680365297
"211",2014,"winter","LOB",2013,"High",0.536529680365297
"212",2014,"summer","LOB",2013,"High",0.536529680365297
"213",2014,"summer","LOB",2014,"High",0.810502283105023
"214",2014,"winter","LOB",2014,"High",0.810502283105023
"215",2015,"winter","LOB",2014,"High",0.810502283105023
"216",2015,"summer","LOB",2014,"High",0.810502283105023
"217",2015,"summer","LOB",2015,"High",0.500910746812386
"218",2015,"winter","LOB",2015,"High",0.500910746812386
"219",2016,"winter","LOB",2015,"High",0.500910746812386
"220",2016,"summer","LOB",2015,"High",0.500910746812386
"221",2016,"summer","LOB",2016,"High",1.62100456621005
"222",2016,"winter","LOB",2016,"High",1.62100456621005
"223",2017,"winter","LOB",2016,"High",1.62100456621005
"224",2017,"summer","LOB",2016,"High",1.62100456621005
"225",2010,"summer","ROB",2010,"High",1.81527571640598
"226",2010,"winter","ROB",2010,"High",1.81527571640598
"227",2011,"winter","ROB",2010,"High",1.81527571640598
"228",2011,"summer","ROB",2010,"High",1.81527571640598
"229",2011,"summer","ROB",2011,"High",0.614754098360656
"230",2011,"winter","ROB",2011,"High",0.614754098360656
"231",2012,"winter","ROB",2011,"High",0.614754098360656
"232",2012,"summer","ROB",2011,"High",0.614754098360656
"233",2012,"summer","ROB",2012,"High",1.08447488584475
"234",2012,"winter","ROB",2012,"High",1.08447488584475
"235",2013,"winter","ROB",2012,"High",1.08447488584475
"236",2013,"summer","ROB",2012,"High",1.08447488584475
"237",2013,"summer","ROB",2013,"High",0.547945205479452
"238",2013,"winter","ROB",2013,"High",0.547945205479452
"239",2014,"winter","ROB",2013,"High",0.547945205479452
"240",2014,"summer","ROB",2013,"High",0.547945205479452
"241",2014,"summer","ROB",2014,"High",0.833333333333333
"242",2014,"winter","ROB",2014,"High",0.833333333333333
"243",2015,"winter","ROB",2014,"High",0.833333333333333
"244",2015,"summer","ROB",2014,"High",0.833333333333333
"245",2015,"summer","ROB",2015,"High",0.535063752276867
"246",2015,"winter","ROB",2015,"High",0.535063752276867
"247",2016,"winter","ROB",2015,"High",0.535063752276867
"248",2016,"summer","ROB",2015,"High",0.535063752276867
"249",2016,"summer","ROB",2016,"High",1.64383561643836
"250",2016,"winter","ROB",2016,"High",1.64383561643836
"251",2017,"winter","ROB",2016,"High",1.64383561643836
"252",2017,"summer","ROB",2016,"High",1.64383561643836
"253",2010,"summer","MC",2010,"Low.Seasonal",100
"254",2010,"winter","MC",2010,"Low.Seasonal",100
"255",2011,"winter","MC",2010,"Low.Seasonal",100
"256",2011,"summer","MC",2010,"Low.Seasonal",100
"257",2011,"summer","MC",2011,"Low.Seasonal",100
"258",2011,"winter","MC",2011,"Low.Seasonal",100
"259",2012,"winter","MC",2011,"Low.Seasonal",100
"260",2012,"summer","MC",2011,"Low.Seasonal",100
"261",2012,"summer","MC",2012,"Low.Seasonal",100
"262",2012,"winter","MC",2012,"Low.Seasonal",100
"263",2013,"winter","MC",2012,"Low.Seasonal",100
"264",2013,"summer","MC",2012,"Low.Seasonal",100
"265",2013,"summer","MC",2013,"Low.Seasonal",100
"266",2013,"winter","MC",2013,"Low.Seasonal",100
"267",2014,"winter","MC",2013,"Low.Seasonal",100
"268",2014,"summer","MC",2013,"Low.Seasonal",100
"269",2014,"summer","MC",2014,"Low.Seasonal",100
"270",2014,"winter","MC",2014,"Low.Seasonal",100
"271",2015,"winter","MC",2014,"Low.Seasonal",100
"272",2015,"summer","MC",2014,"Low.Seasonal",100
"273",2015,"summer","MC",2015,"Low.Seasonal",100
"274",2015,"winter","MC",2015,"Low.Seasonal",100
"275",2016,"winter","MC",2015,"Low.Seasonal",100
"276",2016,"summer","MC",2015,"Low.Seasonal",100
"277",2016,"summer","MC",2016,"Low.Seasonal",100
"278",2016,"winter","MC",2016,"Low.Seasonal",100
"279",2017,"winter","MC",2016,"Low.Seasonal",100
"280",2017,"summer","MC",2016,"Low.Seasonal",100
"281",2010,"summer","LOB",2010,"Low.Seasonal",100
"282",2010,"winter","LOB",2010,"Low.Seasonal",100
"283",2011,"winter","LOB",2010,"Low.Seasonal",100
"284",2011,"summer","LOB",2010,"Low.Seasonal",100
"285",2011,"summer","LOB",2011,"Low.Seasonal",100
"286",2011,"winter","LOB",2011,"Low.Seasonal",100
"287",2012,"winter","LOB",2011,"Low.Seasonal",100
"288",2012,"summer","LOB",2011,"Low.Seasonal",100
"289",2012,"summer","LOB",2012,"Low.Seasonal",100
"290",2012,"winter","LOB",2012,"Low.Seasonal",100
"291",2013,"winter","LOB",2012,"Low.Seasonal",100
"292",2013,"summer","LOB",2012,"Low.Seasonal",100
"293",2013,"summer","LOB",2013,"Low.Seasonal",100
"294",2013,"winter","LOB",2013,"Low.Seasonal",100
"295",2014,"winter","LOB",2013,"Low.Seasonal",100
"296",2014,"summer","LOB",2013,"Low.Seasonal",100
"297",2014,"summer","LOB",2014,"Low.Seasonal",100
"298",2014,"winter","LOB",2014,"Low.Seasonal",100
"299",2015,"winter","LOB",2014,"Low.Seasonal",100
"300",2015,"summer","LOB",2014,"Low.Seasonal",100
"301",2015,"summer","LOB",2015,"Low.Seasonal",100
"302",2015,"winter","LOB",2015,"Low.Seasonal",100
"303",2016,"winter","LOB",2015,"Low.Seasonal",100
"304",2016,"summer","LOB",2015,"Low.Seasonal",100
"305",2016,"summer","LOB",2016,"Low.Seasonal",100
"306",2016,"winter","LOB",2016,"Low.Seasonal",100
"307",2017,"winter","LOB",2016,"Low.Seasonal",100
"308",2017,"summer","LOB",2016,"Low.Seasonal",100
"309",2010,"summer","ROB",2010,"Low.Seasonal",100
"310",2010,"winter","ROB",2010,"Low.Seasonal",100
"311",2011,"winter","ROB",2010,"Low.Seasonal",100
"312",2011,"summer","ROB",2010,"Low.Seasonal",100
"313",2011,"summer","ROB",2011,"Low.Seasonal",100
"314",2011,"winter","ROB",2011,"Low.Seasonal",100
"315",2012,"winter","ROB",2011,"Low.Seasonal",100
"316",2012,"summer","ROB",2011,"Low.Seasonal",100
"317",2012,"summer","ROB",2012,"Low.Seasonal",100
"318",2012,"winter","ROB",2012,"Low.Seasonal",100
"319",2013,"winter","ROB",2012,"Low.Seasonal",100
"320",2013,"summer","ROB",2012,"Low.Seasonal",100
"321",2013,"summer","ROB",2013,"Low.Seasonal",100
"322",2013,"winter","ROB",2013,"Low.Seasonal",100
"323",2014,"winter","ROB",2013,"Low.Seasonal",100
"324",2014,"summer","ROB",2013,"Low.Seasonal",100
"325",2014,"summer","ROB",2014,"Low.Seasonal",100
"326",2014,"winter","ROB",2014,"Low.Seasonal",100
"327",2015,"winter","ROB",2014,"Low.Seasonal",100
"328",2015,"summer","ROB",2014,"Low.Seasonal",100
"329",2015,"summer","ROB",2015,"Low.Seasonal",100
"330",2015,"winter","ROB",2015,"Low.Seasonal",100
"331",2016,"winter","ROB",2015,"Low.Seasonal",100
"332",2016,"summer","ROB",2015,"Low.Seasonal",100
"333",2016,"summer","ROB",2016,"Low.Seasonal",100
"334",2016,"winter","ROB",2016,"Low.Seasonal",100
"335",2017,"winter","ROB",2016,"Low.Seasonal",100
"336",2017,"summer","ROB",2016,"Low.Seasonal",100
"337",2010,"summer","MC",2010,"Medium.Seasonal",3.98640996602492
"338",2010,"winter","MC",2010,"Medium.Seasonal",22.0303867403315
"339",2011,"winter","MC",2010,"Medium.Seasonal",22.0303867403315
"340",2011,"summer","MC",2010,"Medium.Seasonal",3.98640996602492
"341",2011,"summer","MC",2011,"Medium.Seasonal",0.271739130434783
"342",2011,"winter","MC",2011,"Medium.Seasonal",5.49450549450549
"343",2012,"winter","MC",2011,"Medium.Seasonal",5.49450549450549
