"","month_year","water_year","month","TimePeriod","position","Node","DaysPerMonth","Species","Life_Stage","Hydraulic","bottom_type","Suitability_Class"
"1","Mar 2010",2010,3,"critical","LOB","11101250",0,"SAS","Fry","Depth","Soft","Low"
"2","Apr 2010",2010,4,"critical","LOB","11101250",0,"SAS","Fry","Depth","Soft","Low"
"3","May 2010",2010,5,"critical","LOB","11101250",0,"SAS","Fry","Depth","Soft","Low"
"4","Jun 2010",2010,6,"critical","LOB","11101250",0,"SAS","Fry","Depth","Soft","Low"
"5","Jul 2010",2010,7,"critical","LOB","11101250",0,"SAS","Fry","Depth","Soft","Low"
"6","Mar 2010",2010,3,"critical","MC","11101250",0,"SAS","Fry","Depth","Soft","Low"
"7","Apr 2010",2010,4,"critical","MC","11101250",0,"SAS","Fry","Depth","Soft","Low"
"8","May 2010",2010,5,"critical","MC","11101250",0,"SAS","Fry","Depth","Soft","Low"
"9","Jun 2010",2010,6,"critical","MC","11101250",0,"SAS","Fry","Depth","Soft","Low"
"10","Jul 2010",2010,7,"critical","MC","11101250",0,"SAS","Fry","Depth","Soft","Low"
"11","Mar 2010",2010,3,"critical","ROB","11101250",0,"SAS","Fry","Depth","Soft","Low"
"12","Apr 2010",2010,4,"critical","ROB","11101250",0,"SAS","Fry","Depth","Soft","Low"
"13","May 2010",2010,5,"critical","ROB","11101250",0,"SAS","Fry","Depth","Soft","Low"
"14","Jun 2010",2010,6,"critical","ROB","11101250",2,"SAS","Fry","Depth","Soft","Low"
"15","Jul 2010",2010,7,"critical","ROB","11101250",0,"SAS","Fry","Depth","Soft","Low"
"16","Mar 2011",2011,3,"critical","LOB","11101250",0,"SAS","Fry","Depth","Soft","Low"
"17","Apr 2011",2011,4,"critical","LOB","11101250",0,"SAS","Fry","Depth","Soft","Low"
"18","May 2011",2011,5,"critical","LOB","11101250",0,"SAS","Fry","Depth","Soft","Low"
"19","Jun 2011",2011,6,"critical","LOB","11101250",0,"SAS","Fry","Depth","Soft","Low"
"20","Jul 2011",2011,7,"critical","LOB","11101250",0,"SAS","Fry","Depth","Soft","Low"
"21","Mar 2011",2011,3,"critical","MC","11101250",0,"SAS","Fry","Depth","Soft","Low"
"22","Apr 2011",2011,4,"critical","MC","11101250",0,"SAS","Fry","Depth","Soft","Low"
"23","May 2011",2011,5,"critical","MC","11101250",0,"SAS","Fry","Depth","Soft","Low"
"24","Jun 2011",2011,6,"critical","MC","11101250",0,"SAS","Fry","Depth","Soft","Low"
"25","Jul 2011",2011,7,"critical","MC","11101250",0,"SAS","Fry","Depth","Soft","Low"
"26","Mar 2011",2011,3,"critical","ROB","11101250",0,"SAS","Fry","Depth","Soft","Low"
"27","Apr 2011",2011,4,"critical","ROB","11101250",0,"SAS","Fry","Depth","Soft","Low"
"28","May 2011",2011,5,"critical","ROB","11101250",0,"SAS","Fry","Depth","Soft","Low"
"29","Jun 2011",2011,6,"critical","ROB","11101250",0,"SAS","Fry","Depth","Soft","Low"
"30","Jul 2011",2011,7,"critical","ROB","11101250",0,"SAS","Fry","Depth","Soft","Low"
"31","Mar 2012",2012,3,"critical","LOB","11101250",0,"SAS","Fry","Depth","Soft","Low"
"32","Apr 2012",2012,4,"critical","LOB","11101250",0,"SAS","Fry","Depth","Soft","Low"
"33","May 2012",2012,5,"critical","LOB","11101250",0,"SAS","Fry","Depth","Soft","Low"
"34","Jun 2012",2012,6,"critical","LOB","11101250",0,"SAS","Fry","Depth","Soft","Low"
"35","Jul 2012",2012,7,"critical","LOB","11101250",0,"SAS","Fry","Depth","Soft","Low"
"36","Mar 2012",2012,3,"critical","MC","11101250",0,"SAS","Fry","Depth","Soft","Low"
"37","Apr 2012",2012,4,"critical","MC","11101250",0,"SAS","Fry","Depth","Soft","Low"
"38","May 2012",2012,5,"critical","MC","11101250",0,"SAS","Fry","Depth","Soft","Low"
"39","Jun 2012",2012,6,"critical","MC","11101250",0,"SAS","Fry","Depth","Soft","Low"
"40","Jul 2012",2012,7,"critical","MC","11101250",0,"SAS","Fry","Depth","Soft","Low"
"41","Mar 2012",2012,3,"critical","ROB","11101250",0,"SAS","Fry","Depth","Soft","Low"
"42","Apr 2012",2012,4,"critical","ROB","11101250",0,"SAS","Fry","Depth","Soft","Low"
"43","May 2012",2012,5,"critical","ROB","11101250",0,"SAS","Fry","Depth","Soft","Low"
"44","Jun 2012",2012,6,"critical","ROB","11101250",0,"SAS","Fry","Depth","Soft","Low"
"45","Jul 2012",2012,7,"critical","ROB","11101250",0,"SAS","Fry","Depth","Soft","Low"
"46","Mar 2013",2013,3,"critical","LOB","11101250",0,"SAS","Fry","Depth","Soft","Low"
"47","Apr 2013",2013,4,"critical","LOB","11101250",0,"SAS","Fry","Depth","Soft","Low"
"48","May 2013",2013,5,"critical","LOB","11101250",0,"SAS","Fry","Depth","Soft","Low"
"49","Jun 2013",2013,6,"critical","LOB","11101250",0,"SAS","Fry","Depth","Soft","Low"
"50","Jul 2013",2013,7,"critical","LOB","11101250",0,"SAS","Fry","Depth","Soft","Low"
"51","Mar 2013",2013,3,"critical","MC","11101250",0,"SAS","Fry","Depth","Soft","Low"
"52","Apr 2013",2013,4,"critical","MC","11101250",0,"SAS","Fry","Depth","Soft","Low"
"53","May 2013",2013,5,"critical","MC","11101250",0,"SAS","Fry","Depth","Soft","Low"
"54","Jun 2013",2013,6,"critical","MC","11101250",0,"SAS","Fry","Depth","Soft","Low"
"55","Jul 2013",2013,7,"critical","MC","11101250",0,"SAS","Fry","Depth","Soft","Low"
"56","Mar 2013",2013,3,"critical","ROB","11101250",0,"SAS","Fry","Depth","Soft","Low"
"57","Apr 2013",2013,4,"critical","ROB","11101250",0,"SAS","Fry","Depth","Soft","Low"
"58","May 2013",2013,5,"critical","ROB","11101250",0,"SAS","Fry","Depth","Soft","Low"
"59","Jun 2013",2013,6,"critical","ROB","11101250",0,"SAS","Fry","Depth","Soft","Low"
"60","Jul 2013",2013,7,"critical","ROB","11101250",0,"SAS","Fry","Depth","Soft","Low"
"61","Mar 2014",2014,3,"critical","LOB","11101250",0,"SAS","Fry","Depth","Soft","Low"
"62","Apr 2014",2014,4,"critical","LOB","11101250",0,"SAS","Fry","Depth","Soft","Low"
"63","May 2014",2014,5,"critical","LOB","11101250",0,"SAS","Fry","Depth","Soft","Low"
"64","Jun 2014",2014,6,"critical","LOB","11101250",0,"SAS","Fry","Depth","Soft","Low"
"65","Jul 2014",2014,7,"critical","LOB","11101250",0,"SAS","Fry","Depth","Soft","Low"
"66","Mar 2014",2014,3,"critical","MC","11101250",0,"SAS","Fry","Depth","Soft","Low"
"67","Apr 2014",2014,4,"critical","MC","11101250",0,"SAS","Fry","Depth","Soft","Low"
"68","May 2014",2014,5,"critical","MC","11101250",0,"SAS","Fry","Depth","Soft","Low"
